"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.668250014E-3,2.587668915E0,6.826404419E0,6.313720551E0,9.651885562E0
1.172424998E-2,2.393522644E0,6.770271149E0,6.375092926E0,9.602464886E0
2.177925000E-2,2.359842682E0,6.781348114E0,6.507866821E0,9.690607323E0
3.183525003E-2,2.503693542E0,6.841073914E0,6.420149231E0,9.710153953E0
4.189025000E-2,2.700234833E0,6.931934967E0,6.128705292E0,9.638673098E0
5.194525002E-2,2.845582581E0,6.982080688E0,5.987548828E0,9.627955750E0
6.200124999E-2,3.074606323E0,7.036717072E0,6.152206421E0,9.839625757E0
7.205625001E-2,3.345991974E0,7.103328552E0,6.405030670E0,1.013298360E1
8.211225003E-2,3.383863220E0,7.145989838E0,6.417454834E0,1.018329159E1
9.216725000E-2,3.142864380E0,7.068600769E0,6.239474945E0,9.938498928E0
1.022222500E-1,2.822380829E0,6.922654266E0,6.042933655E0,9.612805147E0
1.122782500E-1,2.516267395E0,6.809788971E0,5.990542603E0,9.412301956E0
1.223332500E-1,1.856888580E0,6.686744843E0,6.437662811E0,9.465943918E0
1.323892500E-1,1.160836029E0,6.504423981E0,7.000791779E0,9.626326253E0
1.424442500E-1,9.159452820E-1,6.425987091E0,7.225773926E0,9.713087804E0
1.524992500E-1,7.755372620E-1,6.381978607E0,7.264692993E0,9.700869717E0
1.625552500E-1,7.794291687E-1,6.342760162E0,7.167844391E0,9.602921926E0
1.726102500E-1,8.107141113E-1,6.383325806E0,7.169341278E0,9.633460441E0
1.826662500E-1,6.530918884E-1,6.462361450E0,7.218588867E0,9.710647237E0
1.927212500E-1,5.227130127E-1,6.418652344E0,7.286248169E0,9.724286050E0
2.027762500E-1,3.704795837E-1,6.375242615E0,7.421866150E0,9.791070966E0
2.128322500E-1,2.041754150E-1,6.347550201E0,7.506140900E0,9.832356399E0
2.228872500E-1,7.319778442E-2,6.271358643E0,7.498806152E0,9.775857551E0
2.329432500E-1,-1.050814819E-1,6.248156891E0,7.375762024E0,9.667076708E0
2.429982500E-1,-3.192860413E-1,6.209686890E0,7.153025208E0,9.477759464E0
2.530532500E-1,-5.066963196E-1,6.150110779E0,6.865772552E0,9.231437401E0
2.631092500E-1,-7.126679993E-1,6.089037781E0,6.568939819E0,8.985279468E0
2.731642500E-1,-9.035211182E-1,6.008954315E0,6.266568604E0,8.728903965E0
2.832202500E-1,-1.075363770E0,5.902525635E0,5.979765015E0,8.470761816E0
2.932752500E-1,-1.149908752E0,5.799988861E0,5.671855316E0,8.193418313E0
3.033302500E-1,9.964778137E-1,5.310357056E0,4.870571594E0,7.274292251E0
3.133862500E-1,3.781137085E0,5.598058777E0,4.324207764E0,8.020849862E0
3.234412500E-1,2.506238251E0,6.919660492E0,5.081333313E0,8.943314807E0
3.334972500E-1,-4.534071350E-1,6.554869080E0,7.836952972E0,1.022691149E1
3.435522500E-1,-4.231251068E0,5.517975311E0,6.594087524E0,9.582981134E0
3.536072500E-1,-4.373155975E0,4.254602509E0,4.816533966E0,7.773360608E0
3.636632500E-1,-5.005890198E0,4.421505432E0,3.570375366E0,7.573389414E0
3.737182500E-1,-5.049299927E0,4.474345551E0,4.409979401E0,8.059969986E0
3.837742500E-1,-3.453468475E0,4.405339050E0,4.906347198E0,7.443500486E0
3.938292500E-1,-2.370769958E0,4.650828552E0,4.717589722E0,7.036079107E0
4.038842500E-1,-1.606459351E0,4.681065674E0,4.522545319E0,6.704215364E0
4.139402500E-1,-1.756597137E0,5.450166321E0,4.187541962E0,7.094043565E0
4.239952500E-1,-2.486179962E0,6.224955139E0,3.455564117E0,7.541358012E0
4.340512500E-1,-2.420466614E0,5.644013214E0,3.089126129E0,6.874317714E0
4.441062500E-1,-1.897753601E0,4.710404663E0,3.022364960E0,5.909659108E0
4.541612500E-1,-1.249751129E0,4.033063202E0,3.003803558E0,5.181728717E0
4.642168750E-1,-1.050814819E0,3.406915283E0,3.052452393E0,4.693479428E0
4.742718750E-1,-1.849853210E0,2.546205139E0,3.466790771E0,4.682281043E0
4.843278750E-1,-2.274220734E0,1.848955078E0,4.251608734E0,5.163999579E0
4.943828750E-1,-2.121238861E0,1.678759003E0,4.528682556E0,5.275116282E0
5.044378750E-1,-2.751428375E0,1.440753937E0,4.610562286E0,5.559083972E0
5.144938750E-1,-2.747237091E0,1.497186584E0,4.968018951E0,5.871123539E0
5.245488750E-1,-3.221001892E0,1.181343384E0,5.133125610E0,6.174091343E0
5.346048750E-1,-3.377276917E0,6.854246521E-1,5.379363556E0,6.388533368E0
5.446598750E-1,-3.549568634E0,2.423460388E-1,5.666915588E0,6.691195811E0
5.547148750E-1,-3.636238403E0,-1.463955688E-1,5.775140533E0,6.826119657E0
5.647708750E-1,-3.695515137E0,-4.261637878E-1,5.633235626E0,6.750688211E0
5.748258750E-1,-4.195176086E0,-4.275109863E-1,5.433850250E0,6.878153574E0
5.848818750E-1,-5.504653015E0,-8.786727905E-2,5.333858185E0,7.665439884E0
5.949368750E-1,-7.176226959E0,2.853067017E-1,5.497617645E0,9.044525032E0
6.049918750E-1,-8.911568298E0,6.354286194E-1,5.857469330E0,1.068315337E1
6.150478750E-1,-1.000369720E1,9.541159058E-1,6.240373077E0,1.182905538E1
6.251028750E-1,-1.023002655E1,9.089099121E-1,6.465804291E0,1.213615201E1
6.351588750E-1,-9.963880005E0,5.442681885E-1,6.482719116E0,1.189961259E1
6.452138750E-1,-9.532028046E0,1.522334290E-1,6.323749695E0,1.143995384E1
6.552698750E-1,-9.202563171E0,-4.236190796E-2,6.089337158E0,1.103489875E1
6.653248750E-1,-8.968899078E0,7.873626709E-2,5.978417816E0,1.077909225E1
6.753798750E-1,-8.839717712E0,3.929328918E-1,5.976322174E0,1.067761360E1
6.854358750E-1,-8.838220825E0,5.468128967E-1,5.836363220E0,1.060548383E1
6.954908750E-1,-8.828790436E0,4.228706360E-1,5.511389008E0,1.041641824E1
7.055468750E-1,-8.663085022E0,3.257226562E-1,5.172643433E0,1.009511651E1
7.156018750E-1,-8.363258514E0,1.095721436E-1,4.801415405E0,9.644153095E0
7.256568750E-1,-8.233478394E0,-2.004331970E-1,4.388274536E0,9.332057293E0
7.357128750E-1,-8.077951813E0,-4.598437500E-1,3.979923706E0,9.016903818E0
7.457678750E-1,-7.861651611E0,-6.806346130E-1,3.610342255E0,8.677753207E0
7.558238750E-1,-7.985144806E0,-9.584568787E-1,3.402723999E0,8.732680446E0
7.658788750E-1,-8.410111084E0,-1.036444702E0,3.278182983E0,9.085739911E0
7.759338750E-1,-9.017098846E0,-9.093589783E-1,3.270099792E0,9.634757808E0
7.859898750E-1,-9.964478760E0,-8.319699097E-1,3.502117310E0,1.059470795E1
7.960448750E-1,-1.033555710E1,-8.424481201E-1,3.910617828E0,1.108270685E1
8.061008750E-1,-1.010383896E1,-1.174158325E0,4.245621185E0,1.102231866E1
8.161558750E-1,-9.842482452E0,-2.062860260E0,4.627327423E0,1.106986957E1
8.262108750E-1,-9.033714294E0,-2.730621643E0,4.978048096E0,1.066982902E1
8.362668750E-1,-8.096962280E0,-2.751877441E0,4.999004517E0,9.905739436E0
8.463218750E-1,-8.268505554E0,-2.338736572E0,4.918471985E0,9.900971645E0
8.563778750E-1,-9.473499756E0,-1.825903015E0,5.331463165E0,1.102295872E1
8.664328750E-1,-1.139400604E1,-1.629361725E0,6.489604797E0,1.321337064E1
8.764878750E-1,-1.318473221E1,-1.861678619E0,7.340136108E0,1.520462459E1
8.865438750E-1,-1.416100204E1,-2.018253021E0,7.245832214E0,1.603463154E1
8.965988750E-1,-1.418600006E1,-2.015558624E0,7.070995789E0,1.597823694E1
9.066548750E-1,-1.396880173E1,-2.220781860E0,6.713539124E0,1.565665677E1
9.167098750E-1,-1.400233200E1,-2.208956451E0,6.318360901E0,1.551987353E1
9.267648750E-1,-1.404873550E1,-2.124532013E0,5.427563324E0,1.520983396E1
9.368208750E-1,-1.394036087E1,-2.098785553E0,4.205803986E0,1.471146999E1
9.468758750E-1,-1.349354004E1,-1.745520172E0,3.257525940E0,1.399049458E1
9.569318750E-1,-1.279673904E1,-1.494342499E0,2.475552063E0,1.311937299E1
9.669868750E-1,-1.278446457E1,-1.527124329E0,1.400487671E0,1.295129371E1
9.770418750E-1,-1.305899368E1,-2.394121399E0,6.902146912E-1,1.329456767E1
9.870978750E-1,-1.298295181E1,-2.796933746E0,2.883004761E-1,1.328393742E1
9.971528750E-1,-1.251322861E1,-2.367327118E0,-3.367996216E-2,1.273523703E1
1.007208875E0,-1.162752045E1,-2.227218475E0,-8.626560974E-1,1.187029525E1
1.017263875E0,-1.122021744E1,-2.406695251E0,-1.861528931E0,1.162543553E1
1.027318875E0,-1.175176208E1,-3.301235046E0,-2.436333618E0,1.244740079E1
1.037374875E0,-1.257100845E1,-3.971391449E0,-2.362537079E0,1.339342320E1
1.047429875E0,-1.275452682E1,-4.587210846E0,-1.452279968E0,1.363193218E1
1.057485875E0,-1.223271194E1,-5.123096466E0,-5.358856201E-2,1.326228603E1
1.067540875E0,-1.276740005E1,-5.645959167E0,5.649252319E-1,1.397148881E1
1.077595875E0,-1.513622406E1,-4.843777313E0,-1.378633118E-1,1.589296900E1
1.087651875E0,-1.583527039E1,-3.337310028E0,-1.973346405E0,1.630299121E1
1.097706875E0,-1.469898331E1,-2.537373505E0,-3.694018250E0,1.536698231E1
1.107762875E0,-1.051308792E1,-3.791764984E0,-3.275039520E0,1.164595995E1
1.117817875E0,-1.207269470E1,-5.053341522E0,-2.912493439E0,1.340779012E1
1.127872875E0,-1.412043640E1,-4.433031464E0,-2.498155060E0,1.500930614E1
1.137928875E0,-9.128167877E0,-5.761818237E0,-3.164419556E-1,1.079917283E1
