"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.097500445E-4,4.204756165E-1,3.357368317E0,9.027127991E0,9.640423306E0
1.066575001E-2,1.857637024E-1,3.403771820E0,8.915609894E0,9.545065245E0
2.072175004E-2,-9.864486694E-2,3.579506378E0,9.034313049E0,9.718096984E0
3.077775001E-2,-3.170407104E-1,3.723656616E0,9.019643555E0,9.763201486E0
4.083375004E-2,-1.992356873E-1,3.741020508E0,8.880882111E0,9.638723793E0
5.088875000E-2,9.669891357E-2,3.707490234E0,8.861871643E0,9.606643719E0
6.094475003E-2,3.076103210E-1,3.657344513E0,8.777447205E0,9.513904163E0
7.100075000E-2,3.978726196E-1,3.625311127E0,8.969497833E0,9.682617145E0
8.105675003E-2,3.185375977E-1,3.665876770E0,9.430838470E0,1.012328173E1
9.111275000E-2,1.466949463E-1,3.631598053E0,9.148375854E0,9.843922216E0
1.011687500E-1,-7.304809570E-2,3.576362915E0,8.741521912E0,9.445099949E0
1.112247500E-1,-1.324745178E-1,3.509302368E0,8.709189148E0,9.390565916E0
1.212807500E-1,-1.522334290E-1,3.320095825E0,8.671467590E0,9.286579644E0
1.313367500E-1,-1.676513672E-2,3.077001343E0,8.750203857E0,9.275466882E0
1.413927500E-1,3.297642517E-1,2.968027954E0,8.891360321E0,9.379457487E0
1.514477500E-1,6.608757019E-1,2.853665771E0,8.637787628E0,9.120939652E0
1.615037500E-1,8.987310791E-1,2.769989777E0,8.052205353E0,8.562626464E0
1.715597500E-1,1.029559021E0,2.618804169E0,7.623496857E0,8.126243374E0
1.816157500E-1,9.621990967E-1,2.462080078E0,7.566914520E0,8.015351569E0
1.916717500E-1,5.938151550E-1,2.240840149E0,7.946225739E0,8.277468484E0
2.017277500E-1,3.204835510E-1,1.748513947E0,8.596323853E0,8.778199958E0
2.117837500E-1,7.828720093E-1,1.531165924E0,8.944050751E0,9.107875795E0
2.218397500E-1,2.315385132E0,1.923799438E0,9.397607574E0,9.867980579E0
2.318957500E-1,3.713178406E0,2.389630737E0,9.921218719E0,1.085949399E1
2.419517500E-1,3.777394867E0,2.239792328E0,9.923014984E0,1.085134130E1
2.520067500E-1,3.366948395E0,1.909579010E0,9.794282684E0,1.053141998E1
2.620627500E-1,2.580334167E0,1.762884064E0,9.779313812E0,1.026649226E1
2.721187500E-1,1.370250549E0,1.240171051E0,9.522747345E0,9.700429259E0
2.821747500E-1,9.238787842E-1,4.791535950E-1,9.535321198E0,9.591949255E0
