"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.024999994E-3,-1.278641052E0,6.332731018E0,7.196584625E0,9.671051409E0
1.208200003E-2,-1.245260468E0,6.309080200E0,7.220534821E0,9.669089393E0
2.213800000E-2,-1.133592682E0,6.265969849E0,7.280859375E0,9.672555182E0
3.219500004E-2,-1.009351044E0,6.173013153E0,7.372319183E0,9.668297216E0
4.225100001E-2,-9.294172668E-1,6.065237274E0,7.547904053E0,9.727372473E0
5.230800004E-2,-8.978329468E-1,5.967340851E0,7.647746429E0,9.741831772E0
6.236400001E-2,-8.277786255E-1,5.871689758E0,7.695497131E0,9.715072525E0
7.242100005E-2,-8.090675354E-1,5.840704193E0,7.752079468E0,9.739771651E0
8.247700002E-2,-8.390052795E-1,5.820196838E0,7.727380829E0,9.710357129E0
9.253400000E-2,-8.623567200E-1,5.887856140E0,7.663763123E0,9.702771472E0
1.025900000E-1,-9.256750488E-1,6.036796417E0,7.555388489E0,9.715126376E0
1.126470000E-1,-9.732760620E-1,6.071075134E0,7.420069885E0,9.636527211E0
1.227040000E-1,-9.455836487E-1,6.254892883E0,7.365283813E0,9.709027710E0
1.327600000E-1,-9.231303406E-1,6.262826385E0,7.326514435E0,9.682612133E0
1.428170000E-1,-8.104147339E-1,6.163133698E0,7.311395874E0,9.596744169E0
1.528730000E-1,-7.343728638E-1,6.039341125E0,7.413184204E0,9.590007548E0
1.629300000E-1,-7.074288940E-1,5.851032715E0,7.486531677E0,9.528021622E0
1.729860000E-1,-6.462062073E-1,5.644761658E0,7.656578064E0,9.534364388E0
1.830430000E-1,-5.653742981E-1,5.493725739E0,7.784412231E0,9.544513837E0
1.930990000E-1,-3.492237854E-1,5.400020599E0,7.878716125E0,9.558051450E0
2.031560000E-1,2.454895020E-2,5.140610046E0,8.050409088E0,9.551730774E0
2.132120000E-1,5.806425476E-1,4.718936920E0,8.137078857E0,9.424307070E0
2.232690000E-1,9.506730652E-1,4.283791809E0,7.689808960E0,8.853689253E0
2.333250000E-1,1.001267853E0,4.317322083E0,7.282356262E0,8.524935191E0
2.433820000E-1,9.075627136E-1,4.541406097E0,7.352260895E0,8.689291092E0
2.534380000E-1,1.052910461E0,4.459975433E0,7.464976501E0,8.759330766E0
2.634950000E-1,1.306782532E0,4.108506317E0,7.547305298E0,8.691911297E0
