"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.114916675E-3,-1.397344208E0,5.098397827E0,8.310867462E0,9.849708078E0
1.317091665E-2,-1.172062683E0,5.315596161E0,8.299491119E0,9.925263035E0
2.322791668E-2,-6.619235229E-1,5.382806396E0,8.002059631E0,9.666731909E0
3.328391665E-2,-6.382727051E-1,5.161117401E0,7.602839813E0,9.211281024E0
4.334091669E-2,-7.481442261E-1,5.038222961E0,7.604935455E0,9.153057067E0
5.339791666E-2,-8.259823608E-1,5.078938293E0,8.035739594E0,9.542063292E0
6.345391669E-2,-8.032296753E-1,5.140909424E0,8.272098083E0,9.772498878E0
7.351091667E-2,-7.180567932E-1,5.102140045E0,8.172555084E0,9.661164278E0
8.356691670E-2,-6.885681152E-1,5.016967163E0,8.041278076E0,9.502959469E0
9.362391668E-2,-6.578819275E-1,4.963677979E0,8.118068390E0,9.538026111E0
1.036799166E-1,-4.647834778E-1,4.969515839E0,8.238867188E0,9.632810799E0
1.137369167E-1,-2.541714478E-1,4.940775604E0,8.246351624E0,9.616557689E0
1.237929167E-1,-1.604663086E-1,4.854854279E0,8.156688080E0,9.493519892E0
1.338499167E-1,-8.083190918E-2,4.768334198E0,8.052055664E0,9.358373002E0
1.439059167E-1,-2.050735474E-2,4.696633301E0,8.012088776E0,9.287214408E0
1.539629167E-1,1.032852173E-2,4.640050964E0,8.061785431E0,9.301750586E0
1.640189167E-1,2.125579834E-2,4.636757812E0,8.194259949E0,9.415193621E0
1.740759167E-1,-5.568420410E-2,4.590054932E0,8.450527039E0,9.616814038E0
1.841329167E-1,-5.987548828E-2,4.548591156E0,8.512049103E0,9.651333924E0
1.941889166E-1,2.679428101E-2,4.499942322E0,8.652008057E0,9.752304458E0
2.042459167E-1,1.631607056E-2,4.445006561E0,8.833730164E0,9.889041316E0
2.143019167E-1,-2.020797729E-2,4.414769440E0,8.915609894E0,9.948803815E0
2.243589167E-1,-6.915618896E-2,4.420906677E0,8.888965302E0,9.927885100E0
2.344149167E-1,-1.136137390E-1,4.448898468E0,8.763975220E0,9.829184468E0
2.444719167E-1,-1.160087585E-1,4.482578430E0,8.607999573E0,9.705906658E0
2.545279167E-1,-3.248245239E-2,4.474794617E0,8.447383575E0,9.559452455E0
2.645849167E-1,1.076261902E-1,4.458777924E0,8.299790497E0,9.422250594E0
2.746409167E-1,2.347119141E-1,4.429289246E0,8.228388977E0,9.347731172E0
2.846979166E-1,3.484753418E-1,4.398153992E0,8.217312012E0,9.326811368E0
2.947539167E-1,4.408332825E-1,4.353247375E0,8.199049988E0,9.293520183E0
3.048109167E-1,4.713697815E-1,4.301455078E0,8.216413879E0,9.286235098E0
3.148679167E-1,4.179309082E-1,4.233945465E0,8.306676178E0,9.332836095E0
3.249239167E-1,3.707789612E-1,4.189188538E0,8.454418945E0,9.442667915E0
3.349809167E-1,2.248324585E-1,4.168381805E0,8.575966187E0,9.537984721E0
3.450369167E-1,2.377056885E-1,4.195924530E0,8.519383850E0,9.499588825E0
3.550939166E-1,3.881428528E-1,4.136797485E0,8.239016876E0,9.227412822E0
3.651499167E-1,2.826123047E-1,4.016597443E0,8.274343414E0,9.202047798E0
3.752069167E-1,4.520599365E-2,3.964954834E0,8.649762726E0,9.515319523E0
3.852629167E-1,-1.216969299E-1,4.030817871E0,9.118587799E0,9.970503814E0
3.953199167E-1,-8.607101440E-2,4.148323517E0,9.064999237E0,9.969463746E0
4.053759167E-1,-1.046324158E-1,4.135001221E0,8.878038025E0,9.794321937E0
4.154329167E-1,-1.546284485E-1,4.069886627E0,8.865164795E0,9.755974270E0
4.254889167E-1,-1.011895752E-1,3.988306274E0,8.982969818E0,9.829067760E0
4.355459167E-1,6.137237549E-3,3.958817596E0,9.040899353E0,9.869657316E0
4.456029166E-1,1.041833496E-1,3.884871368E0,9.107061768E0,9.901598546E0
4.556589167E-1,1.284329224E-1,3.828289032E0,9.099727020E0,9.873060507E0
4.657159167E-1,1.923500061E-1,3.809727631E0,9.093290405E0,9.860981368E0
4.757719167E-1,2.490820312E-1,3.827540588E0,9.075178070E0,9.852459887E0
4.858289167E-1,3.001258850E-1,3.865262146E0,8.935368805E0,9.740181861E0
4.958849167E-1,3.198847961E-1,3.894152069E0,8.825646973E0,9.651880185E0
5.059419167E-1,3.812571716E-1,3.895948334E0,8.730894012E0,9.568295601E0
5.159979167E-1,4.742138672E-1,3.874243469E0,8.631949768E0,9.473394220E0
