"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.093125029E-3,-2.186203766E0,4.591102753E0,8.534203033E0,9.934300821E0
1.114912500E-2,-2.135010223E0,4.829706573E0,8.701105957E0,1.017809310E1
2.120512503E-2,-2.015109558E0,4.795427856E0,8.740773468E0,1.017142643E1
3.126112500E-2,-2.282154236E0,4.544100494E0,8.470585327E0,9.879670695E0
4.131712503E-2,-2.239642639E0,4.509522400E0,8.090675354E0,9.529471082E0
5.137312500E-2,-1.566492462E0,4.475543060E0,7.809559937E0,9.136389370E0
6.142912502E-2,-1.408421173E0,4.262985077E0,7.885751495E0,9.074236531E0
7.148512499E-2,-1.539398804E0,4.161645813E0,8.165070648E0,9.292869484E0
8.154112502E-2,-1.734293518E0,4.185446320E0,8.405470734E0,9.548700077E0
9.159812500E-2,-2.076931000E0,4.168082428E0,8.677006073E0,9.847689470E0
1.016541250E-1,-2.307152252E0,4.116439819E0,8.992998962E0,1.015588788E1
1.117101250E-1,-2.260000305E0,4.149221649E0,9.179062042E0,1.032370194E1
1.217661250E-1,-2.027384033E0,4.097429352E0,9.309291229E0,1.037121577E1
1.318221250E-1,-1.683698730E0,4.009412384E0,9.325607300E0,1.028966377E1
1.418781250E-1,-1.487157440E0,3.831582184E0,9.284293213E0,1.015336199E1
1.519341250E-1,-1.311123505E0,3.548071747E0,9.149723053E0,9.900772188E0
1.619901250E-1,-7.556286621E-1,3.390449524E0,8.845854950E0,9.503434771E0
1.720461250E-1,-5.161267090E-1,3.166814575E0,8.547974396E0,9.130332283E0
1.821021250E-1,-3.808081055E-1,3.139870605E0,8.422385559E0,8.996687209E0
1.921581250E-1,1.960922241E-2,3.363355865E0,8.204588470E0,8.867232892E0
2.022141250E-1,3.456312561E-1,3.420237579E0,8.032446442E0,8.737143807E0
2.122701250E-1,5.469625854E-1,3.065026245E0,7.955805817E0,8.543324888E0
2.223261250E-1,8.430468750E-1,2.664309540E0,7.812853088E0,8.297586802E0
2.323821250E-1,8.958869934E-1,2.444416809E0,8.088130646E0,8.496802009E0
2.424381250E-1,1.218166809E0,2.524799652E0,8.124954071E0,8.594964940E0
2.524941250E-1,9.168434143E-1,2.185904388E0,8.469387817E0,8.794845641E0
2.625511250E-1,9.051676941E-1,1.744921417E0,8.946445770E0,9.159856507E0
2.726071250E-1,1.039139099E0,1.690584412E0,9.205107880E0,9.416575641E0
2.826631250E-1,5.037025452E-1,1.933529205E0,9.649833069E0,9.854518238E0
2.927191250E-1,2.171983337E-1,2.170037384E0,8.727301483E0,8.995667209E0
3.027751250E-1,-1.587598572E0,2.095791779E0,7.757468262E0,8.190917301E0
3.128311250E-1,-2.269580383E0,2.942431183E0,8.647218018E0,9.411868881E0
3.228871250E-1,4.011657715E-2,4.247417450E0,8.778045959E0,9.751730882E0
3.329431250E-1,2.247426453E0,4.164040833E0,7.753875732E0,9.083652932E0
3.429991250E-1,2.805016937E0,3.588787079E0,7.771389313E0,9.007885688E0
3.530551250E-1,2.764451294E0,3.033890991E0,8.436156921E0,9.381653858E0
3.631111250E-1,1.868863678E0,2.192939758E0,8.802445221E0,9.262001841E0
3.731671250E-1,9.225315857E-1,1.590143280E0,9.090895386E0,9.274912350E0
3.832231250E-1,4.189787292E-1,1.087937622E0,9.515412598E0,9.586564992E0
3.932791250E-1,1.517843628E-1,7.387138367E-1,1.007659561E1,1.010477688E1
4.033351250E-1,2.890489197E-1,7.015910339E-1,1.066457291E1,1.069153378E1
4.133911250E-1,9.521699524E-1,5.071453857E-1,1.310105621E1,1.314539836E1
4.234471250E-1,5.340893555E-1,3.144960022E-1,1.102951401E1,1.104691533E1
