"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.291083333E-3,-2.563269653E0,2.129771118E0,6.578669586E0,7.374630150E0
1.722408333E-2,-2.253414001E0,1.936073914E0,6.623426514E0,7.259203513E0
2.715808334E-2,-2.436932373E0,1.927990723E0,6.949298859E0,7.612393989E0
3.709208334E-2,-2.534080353E0,2.160606995E0,7.042255554E0,7.789938967E0
4.702508334E-2,-2.133962402E0,1.951940918E0,6.939868469E0,7.518353759E0
5.695908333E-2,-1.570384369E0,1.188678131E0,6.675967255E0,6.960431133E0
6.689208333E-2,-9.476792908E-1,3.118016052E-1,6.446793823E0,6.523531780E0
7.682608334E-2,-1.374890900E0,-4.352947998E-1,6.219566345E0,6.384576107E0
8.676008334E-2,-1.162931671E0,-5.381309509E-1,6.522236938E0,6.646921819E0
9.669308334E-2,-7.711962891E-1,-8.087681580E-1,6.762786713E0,6.854497339E0
1.066270833E-1,-8.557704163E-1,-8.057743835E-1,6.915169830E0,7.014355932E0
1.165600833E-1,-9.621990967E-1,-3.634442139E-1,6.850803680E0,6.927584707E0
1.264940833E-1,-3.240760803E-1,-3.174897766E-1,6.339766388E0,6.355978518E0
1.364280833E-1,8.907975769E-1,-1.469943237E0,5.081483002E0,5.364300788E0
1.463610833E-1,1.339414673E0,-3.304378510E0,5.181624756E0,6.289847702E0
1.562950833E-1,9.306147766E-1,-4.907395020E0,6.053411865E0,7.848080335E0
1.662280833E-1,-5.014572144E-2,-6.163283386E0,7.216942291E0,9.490670826E0
1.761620833E-1,-4.809498596E-1,-5.582940216E0,8.252788239E0,9.975422193E0
1.860960833E-1,-3.872447205E-1,-4.437222748E0,7.985893250E0,9.144036044E0
1.960290833E-1,-1.137933655E0,-3.643872528E0,6.412964172E0,7.463163503E0
2.059630833E-1,-2.107018433E0,-2.174228668E0,7.946674805E0,8.503907186E0
2.158960833E-1,2.020797729E-2,5.849835205E-1,1.696048050E1,1.697057786E1
2.258300833E-1,4.268373871E0,1.623374176E0,1.774649597E1,1.832464129E1
2.357640833E-1,4.490362244E0,2.412832489E0,1.228390549E1,1.329960329E1
2.456970833E-1,2.389930115E0,1.864373016E0,6.451434174E0,7.128019051E0
2.556310833E-1,2.746788025E0,-7.616162109E-1,-2.027982788E0,3.498230681E0
2.655640833E-1,1.599573669E0,-2.243534546E0,-1.691632233E0,3.233218643E0
2.754980833E-1,4.528083801E-1,-5.166805573E0,3.670217743E0,6.353850292E0
2.854320833E-1,1.137634277E-1,-7.880362701E0,5.998625793E0,9.904371249E0
2.953650833E-1,-1.499431915E0,-8.483009491E0,9.675729218E0,1.295490185E1
3.052990833E-1,-3.106190643E0,-6.580316162E0,1.178783707E1,1.385287276E1
3.152320833E-1,-3.595672760E0,-5.528303833E0,1.365445541E1,1.516361298E1
3.251660833E-1,-2.913541260E0,-5.111271057E0,1.223301132E1,1.357425433E1
3.351000833E-1,-1.728156281E0,-5.954916687E0,8.216413879E0,1.029354234E1
3.450330833E-1,-8.768765259E-1,-7.937693481E0,4.693938904E0,9.263312187E0
