"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.738750014E-4,-3.265459442E0,5.442382507E0,6.881789246E0,9.361718643E0
1.100687500E-2,-2.631827087E0,5.339246979E0,7.866291962E0,9.864715979E0
2.103987500E-2,-2.497107239E0,5.278173981E0,8.539292450E0,1.034476586E1
3.107187500E-2,-2.591111755E0,5.364394684E0,8.682095490E0,1.052945262E1
4.110487500E-2,-2.768792267E0,5.447322235E0,8.459358673E0,1.043552966E1
5.113787500E-2,-2.999761963E0,5.479954376E0,8.118966522E0,1.024431985E1
6.116987500E-2,-3.331472168E0,5.490432587E0,7.862100677E0,1.015165917E1
7.120287500E-2,-3.435356140E0,5.330864410E0,7.788603516E0,1.004400975E1
8.123587500E-2,-3.223696289E0,5.200036469E0,7.831264801E0,9.937872278E0
9.126887500E-2,-2.740650787E0,5.216651917E0,8.310867462E0,1.018799008E1
1.013008750E-1,-1.687590637E0,5.420677643E0,9.255103912E0,1.085765429E1
1.113338750E-1,-1.281036072E0,5.555696869E0,9.273066559E0,1.088561365E1
1.213668750E-1,-1.448537750E0,5.677842865E0,8.912316742E0,1.066609352E1
1.313988750E-1,-1.687440948E0,5.849236450E0,8.483907623E0,1.044211246E1
1.414318750E-1,-2.082020416E0,5.964347076E0,7.982899475E0,1.018012422E1
1.514648750E-1,-2.455942841E0,6.014193420E0,7.622299347E0,1.001506990E1
1.614968750E-1,-2.681673431E0,6.015241241E0,7.292086029E0,9.825935998E0
1.715298750E-1,-2.661166077E0,6.036796417E0,7.099436646E0,9.691579673E0
1.815628750E-1,-2.285447388E0,6.138135681E0,7.242539063E0,9.764955273E0
1.915958750E-1,-2.007026367E0,6.215375061E0,7.412585449E0,9.879547815E0
2.016278750E-1,-1.813478851E0,6.098318481E0,7.521708527E0,9.851613726E0
2.116608750E-1,-1.735041962E0,5.903573456E0,7.763605499E0,9.906367675E0
2.216938750E-1,-1.749711456E0,5.949976959E0,7.925568695E0,1.006371478E1
2.317258750E-1,-1.761686554E0,6.220464478E0,7.989036713E0,1.027727714E1
2.417588750E-1,-1.643582153E0,6.505920868E0,8.173004150E0,1.057479860E1
2.517918750E-1,-1.495989075E0,6.828350372E0,8.318052521E0,1.086528186E1
2.618238750E-1,-1.389710083E0,7.188052368E0,8.319699097E0,1.108227341E1
2.718568750E-1,-1.248254242E0,7.561226349E0,8.273744659E0,1.127763864E1
2.818898750E-1,-1.282383270E0,7.836204529E0,8.420589294E0,1.157397651E1
2.919220000E-1,-1.250499573E0,8.117319946E0,8.803043976E0,1.203944415E1
3.019550000E-1,-1.189426575E0,8.204139404E0,9.099727020E0,1.230965762E1
3.119880000E-1,-1.581311646E0,7.880961456E0,9.426347809E0,1.238814486E1
3.220210000E-1,-2.074086914E0,7.536228333E0,9.770332489E0,1.251223285E1
3.320530000E-1,-2.009421387E0,7.489076385E0,9.815089417E0,1.250839797E1
3.420860000E-1,-1.583257599E0,7.707172852E0,9.399852905E0,1.225824019E1
3.521190000E-1,-1.469194794E0,8.031548309E0,8.721164246E0,1.194667349E1
3.621510000E-1,-1.695973206E0,8.396489410E0,7.754773865E0,1.155482052E1
3.721840000E-1,-2.378703461E0,8.473728790E0,6.721921692E0,1.107458988E1
3.822170000E-1,-1.939217377E0,8.261021118E0,6.422843628E0,1.064227204E1
3.922490000E-1,-1.451381836E0,8.040829010E0,6.906487885E0,1.069864549E1
4.022820000E-1,-1.596130829E0,8.215815125E0,6.635401611E0,1.068062762E1
4.123150000E-1,-1.474882965E0,8.163424072E0,7.021299133E0,1.086809155E1
4.223480000E-1,-1.066681824E0,8.015381927E0,7.257208557E0,1.086513845E1
4.323800000E-1,-4.851411438E-1,8.016429749E0,7.199728088E0,1.078585149E1
4.424130000E-1,6.900650024E-2,7.875422974E0,6.856791229E0,1.044234815E1
4.524460000E-1,3.382965088E-2,7.849676514E0,6.788233795E0,1.037779764E1
4.624780000E-1,-2.421963501E-1,7.987390137E0,7.157066803E0,1.072756568E1
4.725110000E-1,9.804611206E-2,7.797435150E0,6.745871887E0,1.031098421E1
4.825440000E-1,7.926017761E-1,7.088209991E0,5.393434296E0,8.942039586E0
4.925760000E-1,9.517208862E-1,6.750212860E0,4.556824036E0,8.199743386E0
5.026090000E-1,7.059320068E-1,6.799610138E0,4.031865692E0,7.936559644E0
5.126420000E-1,4.171824646E-1,6.735842743E0,3.639980621E0,7.667794832E0
5.226740000E-1,6.556365967E-1,6.691684570E0,3.383713531E0,7.527152117E0
5.327070000E-1,1.590143280E0,6.779102783E0,2.952011261E0,7.563012672E0
5.427400000E-1,1.659449158E0,6.732250214E0,2.016157379E0,7.220931728E0
5.527730000E-1,7.634124756E-2,6.868167572E0,1.198557587E0,6.972380804E0
5.628050000E-1,-2.626887360E0,7.292235718E0,8.412506104E-1,7.796469814E0
5.728380000E-1,-7.369774475E0,8.374036102E0,-4.748126221E-1,1.116528116E1
5.828710000E-1,-1.420755524E1,9.853858795E0,-2.239343262E0,1.743467284E1
5.929030000E-1,-1.176583282E1,8.293653259E0,2.417323151E0,1.459667625E1
6.029360000E-1,-3.158282318E0,6.063291321E0,2.182611237E0,7.176492225E0
6.129690000E-1,1.714684296E0,6.286477203E0,6.174659729E-1,6.545319098E0
6.230010000E-1,2.841091919E0,7.742050323E0,1.389111328E0,8.363060252E0
6.330340000E-1,2.204914856E-1,8.694220276E0,2.560724945E0,9.066167600E0
6.430670000E-1,-2.176623688E0,8.674910431E0,2.706372070E0,9.344314391E0
6.531000000E-1,-2.456541595E0,7.978408813E0,-5.119354248E-2,8.348186904E0
6.631320000E-1,-2.677631836E0,7.353458405E0,-1.954785004E0,8.066241204E0
6.731650000E-1,-3.446732483E0,7.127578125E0,-1.445693665E0,8.048128038E0
6.831980000E-1,-4.943619690E0,7.102131042E0,-5.472619629E-1,8.670590328E0
6.932300000E-1,-5.203479309E0,6.978039093E0,-7.327262878E-1,8.735337104E0
7.032630000E-1,-3.915407867E0,7.142247620E0,-1.951342163E0,8.375551090E0
7.132960000E-1,-3.109184418E0,7.749684448E0,-3.348087616E0,8.996350787E0
7.233280000E-1,-3.201392670E0,8.538244629E0,-3.439248047E0,9.745715135E0
7.333610000E-1,-3.917353821E0,9.247020721E0,-3.195854187E0,1.053881099E1
7.433940000E-1,-4.167633362E0,9.308842163E0,-2.848276978E0,1.058944720E1
7.534270000E-1,-4.326153717E0,9.135352936E0,-2.690654755E0,1.045991885E1
7.634590000E-1,-4.571044464E0,9.097781067E0,-2.239043884E0,1.042484462E1
7.734920000E-1,-4.795876923E0,8.561147003E0,-1.598675537E0,9.942305414E0
7.835250000E-1,-5.069956970E0,7.579338684E0,-1.677262115E0,9.271679825E0
7.935570000E-1,-4.095184021E0,7.000791779E0,-9.990225220E-1,8.171882506E0
8.035900000E-1,-3.697311401E0,7.271878052E0,-8.550219727E-1,8.202523061E0
8.136230000E-1,-3.922293549E0,7.487130432E0,-5.403762817E-1,8.469564057E0
8.236550000E-1,-4.615052948E0,7.299570465E0,-2.345622253E-1,8.639297548E0
8.336880000E-1,-3.741918640E0,6.540049896E0,4.863386536E-1,7.550545215E0
8.437210000E-1,-3.442990265E0,6.350543976E0,-1.052760773E0,7.300129862E0
8.537530000E-1,-4.238286438E0,6.159092102E0,-1.860930176E0,7.704579714E0
8.637860000E-1,-4.229604492E0,5.970783691E0,-2.507585449E0,7.734843039E0
8.738190000E-1,-5.931415558E0,5.978866882E0,-3.549868011E0,9.139480435E0
8.838520000E-1,-7.908953247E0,6.095624084E0,-3.855083313E0,1.070373027E1
8.938840000E-1,-8.289611664E0,5.792953491E0,-3.767515411E0,1.079213343E1
9.039170000E-1,-6.607260132E0,5.421875153E0,-3.692970428E0,9.310781235E0
9.139500000E-1,-5.054688721E0,5.772895203E0,-5.453010406E0,9.413369194E0
9.239820000E-1,-8.168363800E0,6.735842743E0,-6.806944885E0,1.258682817E1
9.340150000E-1,-7.716453552E0,6.866221619E0,-5.419629822E0,1.166452066E1
9.440480000E-1,-5.713768158E0,6.518794098E0,-5.562133484E0,1.029947338E1
9.540810000E-1,-5.927972717E0,6.992858276E0,-5.851781158E0,1.087585721E1
9.641130000E-1,-7.305108948E0,7.793543243E0,-3.869752808E0,1.136129041E1
9.741460000E-1,-5.704038391E0,8.006699982E0,-1.820514221E0,9.997878305E0
9.841790000E-1,-3.320694580E0,7.762707367E0,-1.863325195E0,8.646306665E0
9.942110000E-1,-4.022584991E0,8.146958313E0,-1.685345306E0,9.240914921E0
1.004244000E0,-5.110522614E0,8.028255157E0,-1.397493896E0,9.618903859E0
1.014277000E0,-6.044879608E0,7.153474274E0,-1.461710358E0,9.478890274E0
1.024309000E0,-7.078629913E0,6.443949738E0,-1.324146423E0,9.663583881E0
1.034342000E0,-7.883506165E0,5.850134583E0,-1.367705841E0,9.911829465E0
1.044375000E0,-8.341104584E0,5.619464264E0,-1.477277985E0,1.016537036E1
1.054407000E0,-8.093220062E0,5.657634888E0,-1.562001801E0,9.997444330E0
1.064440000E0,-7.901917877E0,6.099216614E0,-1.893412628E0,1.016000791E1
1.074473000E0,-7.496710510E0,6.193819885E0,-1.984722748E0,9.924877714E0
1.084506000E0,-7.038663025E0,5.850433960E0,-2.140997772E0,9.399692876E0
1.094538000E0,-6.787185974E0,5.482050018E0,-2.470163269E0,9.067550520E0
1.104571000E0,-6.978188782E0,5.417384491E0,-3.143313446E0,9.376758119E0
1.114604000E0,-7.313042450E0,5.219496002E0,-3.582500153E0,9.672540294E0
1.124636000E0,-7.465425568E0,4.866679688E0,-3.418441315E0,9.544783450E0
1.134669000E0,-7.986042938E0,4.734205170E0,-3.059787140E0,9.775064079E0
1.144702000E0,-8.981921997E0,4.790338440E0,-2.765499115E0,1.054847148E1
1.154734000E0,-8.180488586E0,4.605622559E0,-3.082539825E0,9.881002198E0
1.164767000E0,-8.523874512E0,4.767885132E0,-3.093018036E0,1.024479994E1
1.174800000E0,-8.354576569E0,4.576882324E0,-2.843636627E0,9.941482320E0
1.184832000E0,-7.951913910E0,4.338428192E0,-2.393971710E0,9.369418048E0
1.194865000E0,-7.956105194E0,4.364474030E0,-2.108964386E0,9.316435702E0
1.204898000E0,-8.422086182E0,4.397405548E0,-1.968256989E0,9.702718525E0
1.214931000E0,-8.764723663E0,4.415817261E0,-2.011517029E0,1.001828447E1
1.224963000E0,-8.523275757E0,4.543052673E0,-2.240091705E0,9.914815584E0
1.234996000E0,-5.719007263E0,5.409600677E0,-2.089205475E0,8.144667156E0
1.245029000E0,-5.592220917E0,3.462300110E0,-1.575174408E0,6.763255965E0
1.255061000E0,-6.379882965E0,2.843337250E0,-1.157093811E0,7.079995724E0
1.265094000E0,-6.513554993E0,2.602039032E0,-1.383722534E0,7.149244283E0
1.275127000E0,-6.733747101E0,1.936373291E0,-9.006770325E-1,7.064284157E0
1.285160000E0,-6.769822083E0,1.494641876E0,-8.442443848E-2,6.933366632E0
1.295192167E0,-6.158792725E0,1.006956024E0,3.811074829E-1,6.252194109E0
1.305225167E0,-5.610482941E0,7.631130981E-1,8.080197144E-1,5.719506647E0
1.315258167E0,-5.246739349E0,6.846762085E-1,1.791923676E0,5.586416183E0
1.325290167E0,-8.361162872E0,1.370100861E0,2.756068726E0,8.909665300E0
1.335323167E0,-7.341932373E0,1.227447510E0,2.386038208E0,7.816890474E0
1.345356167E0,-5.452860718E0,1.444795532E0,2.899620209E0,6.342627334E0
1.355388167E0,-5.052593079E0,1.570384369E0,2.441572723E0,5.827184676E0
1.365421167E0,-5.204377441E0,2.205363922E0,2.998564453E0,6.398481332E0
1.375454167E0,-4.922513580E0,3.234773254E0,3.830234985E0,7.026065613E0
