"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.193375000E-3,-1.798509979E0,2.516267395E0,7.929460602E0,8.511321001E0
1.622537500E-2,-1.943558350E0,2.325114899E0,8.268505554E0,8.806347850E0
2.625737500E-2,-2.138902130E0,2.219883728E0,8.661588135E0,9.193796556E0
3.629037500E-2,-2.447111206E0,2.263293457E0,8.583450623E0,9.207957163E0
4.632237500E-2,-2.802322540E0,2.273172913E0,8.187074890E0,8.946983959E0
5.635537500E-2,-3.077749786E0,2.049987030E0,7.825876007E0,8.655595060E0
6.638737500E-2,-3.343147888E0,1.850002899E0,7.557184753E0,8.468186933E0
7.642037500E-2,-3.533701630E0,1.731898499E0,7.492968292E0,8.463515431E0
8.645237500E-2,-3.769012299E0,1.660197601E0,7.802225189E0,8.822495547E0
9.648537500E-2,-3.969894562E0,1.544787598E0,8.061036987E0,9.117387173E0
1.065173750E-1,-4.254153442E0,1.822759552E0,8.347391510E0,9.544591082E0
1.165503750E-1,-4.633913727E0,2.237846375E0,8.589737549E0,1.001322645E1
1.265823750E-1,-4.707261200E0,2.520608368E0,8.544531555E0,1.007575278E1
1.366153750E-1,-4.409230957E0,2.571502533E0,8.458310852E0,9.879117642E0
1.466473750E-1,-4.322261810E0,2.519560547E0,8.629105682E0,9.974547478E0
1.566803750E-1,-4.360282745E0,2.542163544E0,9.037905579E0,1.035173407E1
1.667125417E-1,-4.406087494E0,2.625540161E0,9.308991852E0,1.062847108E1
1.767455417E-1,-4.294868774E0,2.615810394E0,9.498497772E0,1.074754957E1
1.867775417E-1,-3.892505493E0,2.518063660E0,9.574689331E0,1.063799414E1
1.968105417E-1,-3.544329529E0,2.429597626E0,9.500593414E0,1.042719961E1
2.068425417E-1,-3.174598389E0,2.344873810E0,9.431886292E0,1.022433309E1
2.168755417E-1,-2.994822235E0,2.149679718E0,9.604178009E0,1.028738637E1
2.269075417E-1,-3.187022552E0,2.066602478E0,9.825567627E0,1.053421747E1
2.369405417E-1,-3.440744934E0,2.104174347E0,9.858948212E0,1.065200147E1
2.469725417E-1,-3.740122375E0,2.278112640E0,9.627679138E0,1.057688603E1
2.570055417E-1,-3.990401917E0,2.509531403E0,9.287286987E0,1.041512145E1
2.670375417E-1,-3.999383240E0,2.637515259E0,9.005273438E0,1.020031876E1
2.770705417E-1,-3.923041992E0,2.556234283E0,8.896749115E0,1.005369270E1
2.871025417E-1,-3.886967010E0,2.338137817E0,8.729995880E0,9.838100887E0
2.971355417E-1,-3.827540588E0,2.029030609E0,8.492739258E0,9.533816249E0
3.071675417E-1,-3.676055603E0,1.678309937E0,8.239915009E0,9.177489220E0
3.172005417E-1,-3.405418396E0,1.239272919E0,8.017327881E0,8.798307688E0
3.272325417E-1,-2.972967682E0,6.610253906E-1,7.918533325E0,8.484023894E0
3.372655417E-1,-2.824177094E0,-1.944456482E-1,7.800877991E0,8.298643431E0
3.472975417E-1,-2.615810394E0,-1.112935638E0,7.781867523E0,8.284838677E0
3.573305417E-1,-2.038161621E0,-1.839674377E0,8.201445007E0,8.648826788E0
3.673625417E-1,-2.002386017E0,-2.580184479E0,7.843539276E0,8.496352752E0
3.773955417E-1,-2.120340729E0,-3.163222046E0,7.243137817E0,8.183206215E0
3.874275417E-1,-2.175276489E0,-3.449875946E0,6.758296051E0,7.893544030E0
3.974605417E-1,-2.016905823E0,-3.339255981E0,6.554869080E0,7.627899335E0
4.074925417E-1,-2.248324585E0,-2.905907135E0,6.586603088E0,7.542055420E0
4.175255417E-1,-2.840343475E0,-2.578687592E0,6.737788696E0,7.753384891E0
4.275575417E-1,-3.630101166E0,-2.477947083E0,6.677913208E0,7.994521939E0
4.375905417E-1,-4.087699585E0,-2.559078369E0,6.564449158E0,8.145560922E0
4.476225417E-1,-4.892426147E0,-2.478845215E0,6.244115295E0,8.310805197E0
4.576555417E-1,-6.555767212E0,-1.775607605E0,6.280040588E0,9.250393283E0
4.676875417E-1,-8.706494751E0,-5.050497437E-1,6.938970337E0,1.114483896E1
4.777205417E-1,-1.011656250E1,6.200106812E-1,7.662266235E0,1.270588737E1
4.877525417E-1,-1.046054718E1,1.444196777E0,8.024363251E0,1.326269796E1
4.977855417E-1,-1.060394897E1,2.048939209E0,8.193511505E0,1.355638287E1
5.078175417E-1,-1.075618240E1,2.360740814E0,8.031697998E0,1.362999376E1
5.178505417E-1,-1.069495972E1,2.482437744E0,7.669301605E0,1.339264155E1
5.278825417E-1,-1.049826874E1,2.562221832E0,7.547604675E0,1.318123528E1
5.379155417E-1,-1.038435562E1,2.560126190E0,7.422614594E0,1.301861341E1
5.479475417E-1,-1.021041733E1,2.546803894E0,6.982080688E0,1.262886704E1
5.579805417E-1,-9.865534515E0,2.634970551E0,6.460116119E0,1.208325045E1
5.680125417E-1,-9.536668396E0,2.881657562E0,5.822142792E0,1.153903554E1
5.780455417E-1,-9.856553192E0,3.365002441E0,5.352419586E0,1.170996489E1
5.880775417E-1,-1.047431854E1,3.742068329E0,4.794380035E0,1.211199836E1
5.981105417E-1,-1.106394241E1,3.719914398E0,4.211492157E0,1.240907938E1
6.081425417E-1,-1.122889938E1,3.344046021E0,4.112547913E0,1.241707999E1
6.181755417E-1,-1.095916031E1,2.845432892E0,3.984414368E0,1.200313463E1
6.282075417E-1,-1.056502991E1,2.345322876E0,3.705095215E0,1.143888661E1
