"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.256708336E-3,-3.485501862E0,4.928800507E0,6.004313965E0,8.514316405E0
8.776291666E-3,-3.403023376E0,4.723427582E0,6.320456543E0,8.592991745E0
1.880929167E-2,-3.157384186E0,4.840783539E0,7.160210266E0,9.201677631E0
2.884229166E-2,-2.886297913E0,4.899162140E0,8.028853912E0,9.838445022E0
3.887529167E-2,-2.547103271E0,4.755161591E0,8.658594360E0,1.020149759E1
4.890929167E-2,-2.399659882E0,4.440066833E0,9.101672974E0,1.040735374E1
5.894229166E-2,-2.220033417E0,4.185446320E0,9.307644653E0,1.044407766E1
6.897529167E-2,-1.947300568E0,3.962110748E0,9.294921112E0,1.029008550E1
7.900829166E-2,-1.930086365E0,3.933669891E0,9.092092896E0,1.009282643E1
8.904129167E-2,-1.860331421E0,4.008065186E0,8.999734955E0,1.002599864E1
9.907429167E-2,-1.694775696E0,4.027824097E0,8.940158844E0,9.950983457E0
1.091072917E-1,-1.463656311E0,4.045786743E0,8.666378174E0,9.675577028E0
1.191402917E-1,-1.301842804E0,4.148622894E0,8.503816223E0,9.550955814E0
1.291732917E-1,-1.199605408E0,4.174968109E0,8.569828949E0,9.607881143E0
1.392062917E-1,-9.716294861E-1,4.151317291E0,8.556506653E0,9.559879979E0
1.492402917E-1,-7.372169495E-1,4.118685150E0,8.579409027E0,9.545329510E0
1.592732917E-1,-9.005273438E-1,4.417912903E0,8.406518555E0,9.539311198E0
1.693062917E-1,-1.232536926E0,4.466711426E0,7.516469421E0,8.829947384E0
1.793392917E-1,-5.496569824E-1,3.751648407E0,7.008874969E0,7.968771355E0
1.893722917E-1,2.959346008E-1,3.556154938E0,7.528145142E0,8.331073430E0
1.994048750E-1,7.616162109E-1,3.423979797E0,8.281378784E0,8.993605032E0
2.094378750E-1,1.029109955E0,3.269051971E0,8.659043427E0,9.312615162E0
2.194708750E-1,9.842033386E-1,3.093616791E0,8.735234985E0,9.318983384E0
2.295038750E-1,7.485932922E-1,2.952460327E0,8.771908722E0,9.285676956E0
2.395368750E-1,6.125262451E-1,2.826572113E0,8.662486267E0,9.132544368E0
2.495708750E-1,3.589535522E-1,2.440375214E0,8.526568909E0,8.876184777E0
2.596038750E-1,4.086502075E-2,1.655706940E0,8.279881897E0,8.443901921E0
2.696368750E-1,8.903485107E-1,1.500779114E0,7.948770447E0,8.138059353E0
2.796698750E-1,1.230141907E0,8.837622070E-1,7.630831604E0,7.779709231E0
2.897028750E-1,8.283773804E-1,-3.002755737E-1,6.599326630E0,6.657889040E0
2.997358750E-1,2.016307068E0,8.140072632E-1,6.292614441E0,6.657709705E0
3.097688750E-1,2.996019745E0,1.728006592E0,6.246510315E0,7.140100294E0
3.198018750E-1,4.036356354E0,1.984573059E0,5.817502441E0,7.353505116E0
3.298348750E-1,5.355563049E0,1.716480560E0,5.491181030E0,7.860116424E0
3.398678750E-1,6.197113037E0,1.331181793E0,4.861590271E0,7.988198478E0
3.499018750E-1,5.785019989E0,6.222560120E-1,3.753594360E0,6.924097735E0
3.599348750E-1,4.360133057E0,-1.757345581E-1,3.111579437E0,5.359437424E0
3.699678750E-1,3.443439331E0,-4.260140991E-1,2.872825928E0,4.504652179E0
3.800008750E-1,3.493135986E0,-4.802014160E-1,3.158432007E0,4.733739025E0
3.900338750E-1,3.559298401E0,-6.578819275E-1,3.555556183E0,5.073794784E0
4.000668750E-1,3.354973297E0,-6.804849243E-1,3.968996429E0,5.241358432E0
4.100998750E-1,2.927312622E0,-7.691006470E-1,3.949087830E0,4.975537125E0
4.201328750E-1,2.806064758E0,-1.215771790E0,2.781964874E0,4.134178157E0
4.301658750E-1,2.756368103E0,-1.642384644E0,2.352807312E0,3.978780552E0
4.401988750E-1,3.003354492E0,-1.741777954E0,2.090253296E0,4.052540868E0
4.502328750E-1,3.491788788E0,-1.781295776E0,1.781146088E0,4.305587645E0
4.602658750E-1,4.295018463E0,-1.925895081E0,2.047741699E0,5.133176553E0
4.702988750E-1,4.996010742E0,-2.212848358E0,2.881657562E0,6.177440530E0
4.803318750E-1,5.239254913E0,-2.609074402E0,3.665427704E0,6.905969992E0
4.903648750E-1,5.307662659E0,-3.187621307E0,4.675227814E0,7.758219358E0
5.003978750E-1,5.298531647E0,-3.770808563E0,5.647156677E0,8.613002576E0
5.104308750E-1,5.618865509E0,-4.270469513E0,6.534212036E0,9.617925265E0
5.204638750E-1,6.382577362E0,-4.684358826E0,7.494614868E0,1.090182386E1
5.304968750E-1,7.690108337E0,-4.684059448E0,8.193960571E0,1.217452952E1
5.405308750E-1,9.423354034E0,-4.279301147E0,8.676257629E0,1.350516442E1
5.505638750E-1,1.109073669E1,-3.836671600E0,9.105564880E0,1.485381436E1
5.605968750E-1,1.256741592E1,-3.450624390E0,9.545649719E0,1.615444769E1
5.706298750E-1,1.370385269E1,-2.986439667E0,9.908644867E0,1.717252584E1
5.806628750E-1,1.430664917E1,-2.574795685E0,1.009590546E1,1.769850531E1
5.906958750E-1,1.509206589E1,-2.140698395E0,1.022179367E1,1.835314982E1
6.007288750E-1,1.606983261E1,-1.597328339E0,1.033495834E1,1.917295861E1
6.107618750E-1,1.685494995E1,-1.142274628E0,1.014380585E1,1.970509899E1
6.207948750E-1,1.773482025E1,-9.602531433E-1,1.019065842E1,2.047670517E1
6.308278750E-1,1.720387436E1,-6.159690857E-1,1.034558624E1,2.008441848E1
6.408608750E-1,1.670466248E1,1.844165039E-1,9.655371552E0,1.929523147E1
6.508948750E-1,1.730207016E1,5.478607178E-2,8.841663666E0,1.943037956E1
6.609278750E-1,1.684102890E1,-2.357597351E-1,7.519912262E0,1.844518684E1
6.709608750E-1,1.605695938E1,-6.631210327E-2,6.511758728E0,1.732724282E1
6.809938750E-1,1.528965500E1,1.583706665E-1,5.226681061E0,1.615910970E1
6.910268750E-1,1.455543182E1,2.305206299E-1,4.076173553E0,1.511717322E1
7.010598750E-1,1.425350967E1,2.691403198E-1,3.870800629E0,1.477220607E1
7.110928750E-1,1.366373611E1,3.929328918E-1,3.929927673E0,1.422309433E1
7.211258750E-1,1.282892212E1,4.490661621E-3,3.874243469E0,1.340115761E1
7.311588750E-1,1.187031555E1,-4.930746460E-1,3.304079132E0,1.233144164E1
7.411928750E-1,1.141122025E1,-7.291337585E-1,2.551743622E0,1.171575772E1
7.512258750E-1,1.133652557E1,-1.047821045E0,2.324366455E0,1.161969967E1
7.612588750E-1,1.160955780E1,-1.574425964E0,2.697839813E0,1.202243690E1
7.712918750E-1,1.397329239E1,-1.732946320E0,-4.360881500E0,1.474019303E1
7.813248750E-1,1.351329895E1,-4.047583008E-1,-6.459517365E0,1.498327209E1
7.913578750E-1,1.198931808E1,-2.970572662E0,-1.225800934E0,1.241251941E1
8.013908750E-1,1.181523010E1,-3.913012848E0,2.713856506E-1,1.244929645E1
8.114238750E-1,1.118159775E1,-4.152664490E0,8.068222046E-2,1.192808703E1
8.214568750E-1,1.055410263E1,-4.537065125E0,-9.689350891E-1,1.152878474E1
8.314908750E-1,9.839937744E0,-3.717818756E0,-1.142723694E0,1.058075463E1
8.415238750E-1,1.021296204E1,-2.017654266E0,-6.975494385E-1,1.043370009E1
8.515568750E-1,1.054063065E1,-1.679657135E0,1.005309448E0,1.072085769E1
8.615898750E-1,1.072968750E1,-1.686542816E0,2.419269104E0,1.112760008E1
8.716228750E-1,1.103205872E1,-1.574725342E0,3.470383301E0,1.167174536E1
8.816558750E-1,1.095721436E1,-2.019749908E0,4.061354370E0,1.185894327E1
8.916888750E-1,1.020353165E1,-2.493215332E0,3.592229919E0,1.110100430E1
9.017218750E-1,9.915081482E0,-2.734064484E0,3.357518005E0,1.081928263E1
9.117548750E-1,9.916877747E0,-2.456391907E0,3.369044037E0,1.075773132E1
9.217878750E-1,9.689201202E0,-1.793719940E0,2.450554047E0,1.015397786E1
9.318208750E-1,8.825796661E0,-1.497485962E0,1.328038330E0,9.049908106E0
9.418548750E-1,7.847131805E0,-1.648970947E0,5.542973328E-1,8.037650670E0
9.518878750E-1,8.232729950E0,-1.624871063E0,1.502874756E-1,8.392891917E0
9.619208750E-1,8.515192566E0,-1.603914642E0,6.146218872E-1,8.686702866E0
9.719538750E-1,8.411757660E0,-1.962269440E0,1.301244049E0,8.735067507E0
9.819868750E-1,7.791447601E0,-2.595003662E0,1.043330383E0,8.278238824E0
9.920198750E-1,7.713908844E0,-2.758613434E0,1.628613281E-1,8.193952742E0
1.002052875E0,8.750503235E0,-2.027982788E0,1.916015625E-1,8.984471727E0
1.012085875E0,9.151219940E0,-1.962868195E0,3.441343689E-1,9.365687717E0
1.022118875E0,9.135203247E0,-2.594853973E0,-6.825805664E-2,9.496834455E0
1.032151875E0,9.523046722E0,-3.106040955E0,3.203338623E-2,1.001683260E1
1.042185875E0,1.008887009E1,-3.451372833E0,7.873626709E-1,1.069192284E1
1.052218875E0,1.080662750E1,-3.198548584E0,5.774990845E-1,1.128483124E1
1.062251875E0,1.158725418E1,-2.558629303E0,-1.136137390E-1,1.186692679E1
1.072284875E0,1.198048645E1,-1.861977997E0,-6.429130554E-1,1.214134897E1
1.082317875E0,1.180370407E1,-1.350491638E0,-6.923103333E-1,1.190086346E1
1.092350875E0,1.191073151E1,-5.682183838E-1,-3.965254211E-1,1.193086877E1
1.102383875E0,1.329595093E1,8.517288208E-2,5.697152710E-1,1.330842369E1
1.112416875E0,1.630110168E1,2.399061127E0,5.151387634E0,1.726320379E1
1.122449875E0,1.487950790E1,2.706521759E0,-1.004111938E0,1.515695406E1
1.132483875E0,9.594298553E0,1.456471252E0,-1.576820984E0,9.831492138E0
1.142516875E0,8.447832642E0,-1.773062897E0,2.522554321E0,8.992936599E0
1.152549875E0,6.388415222E0,-3.186274109E0,4.914879456E0,8.667192845E0
1.162582875E0,1.645528107E0,-4.412374420E0,1.541494446E0,4.955099989E0
1.172615875E0,3.950285339E-1,-4.974305878E0,5.315446472E-1,5.018197507E0
1.182648875E0,2.162552948E0,-7.266489258E0,-5.932164001E-1,7.604630634E0
1.192681875E0,1.275946655E0,-4.885540466E0,-2.964136047E0,5.855138600E0
1.202715250E0,-2.300715637E0,-1.480421448E-1,-4.894372101E0,5.410183655E0
1.212748250E0,-1.632954254E0,-8.740324402E-1,-4.386178894E0,4.761201276E0
1.222781250E0,2.032922516E0,-3.741768951E0,-6.912325745E0,8.118734879E0
1.232815250E0,4.878056030E0,-5.599405975E0,-9.038204956E0,1.169777444E1
1.242848250E0,1.526091476E1,-4.811294861E0,2.733914795E0,1.623324884E1
1.252881250E0,2.025677582E1,-2.193538513E0,1.544233749E1,2.556588283E1
1.262914250E0,1.641606262E1,-1.742676086E0,1.041234741E1,1.951771018E1
1.272947250E0,1.277308823E1,-1.375040588E0,4.095782776E0,1.348398888E1
1.282980250E0,1.116348541E1,-1.481618958E0,2.446362762E0,1.152403107E1
1.293013250E0,9.966424713E0,-1.538350983E0,3.501368866E0,1.067500488E1
1.303046250E0,1.105241638E1,-9.397457886E-1,4.027973785E0,1.180100008E1
1.313079250E0,1.201730988E1,-4.924758911E-2,3.551065521E0,1.253109047E1
1.323112250E0,1.207089844E1,-1.149609375E0,2.077529755E0,1.230220796E1
1.333146250E0,1.222193436E1,-2.076032867E0,2.776276703E0,1.270406644E1
1.343179250E0,1.278311737E1,-1.919458466E0,2.898123322E0,1.324732159E1
1.353212250E0,1.152243896E1,-2.358495483E0,1.260678406E0,1.182871129E1
1.363245250E0,9.917775879E0,-3.301384735E0,2.531236267E-1,1.045588309E1
1.373278250E0,8.776698761E0,-3.481160889E0,7.473957825E-1,9.471405531E0
1.383311250E0,7.926616516E0,-3.241359558E0,1.424437866E0,8.681398759E0
1.393344250E0,7.289391632E0,-2.447709961E0,1.987267456E0,7.942024072E0
1.403377250E0,6.852899323E0,-1.927092590E0,1.423839111E0,7.259699222E0
1.413410250E0,8.300538940E0,-2.542612610E0,-1.697470093E-1,8.682893506E0
1.423443250E0,6.507118378E0,-3.689527588E0,-3.760180664E0,8.372225632E0
1.433477250E0,5.683680725E0,-6.938072205E0,-4.988675995E0,1.026294113E1
1.443510250E0,4.652475128E0,-8.552315369E0,-4.115242310E0,1.056990266E1
1.453543250E0,5.977070618E0,-9.557325439E0,-3.049757996E0,1.167770810E1
1.463576250E0,5.507197723E0,-1.170356232E1,-1.062490540E0,1.297811557E1
1.473609250E0,7.672594757E0,-1.422566757E1,1.322350159E0,1.621687202E1
1.483642250E0,1.044003983E1,-1.135927826E1,1.385818176E0,1.549025907E1
1.493675250E0,1.020787262E1,-7.265740814E0,2.594105530E-1,1.253231610E1
1.503708250E0,1.177915512E1,-5.552703094E0,-2.290237427E-1,1.302434102E1
1.513741250E0,1.142469223E1,-3.996838531E0,-9.912387085E-1,1.214417000E1
1.523774250E0,7.866591339E0,-2.715802460E0,-2.076931000E0,8.577440450E0
1.533808250E0,5.807323608E0,-4.315226440E0,-1.938917999E0,7.490366462E0
1.543841250E0,4.493056641E0,-6.948999481E0,-1.152303772E0,8.354876166E0
1.553874250E0,3.761827240E0,-9.340875549E0,3.487747192E-2,1.006998097E1
1.563907250E0,4.760999451E0,-1.052670959E1,1.857786713E0,1.170171364E1
1.573940250E0,6.145919495E0,-1.022793091E1,2.477198639E0,1.218685399E1
1.583973250E0,6.526727600E0,-8.821605377E0,1.713486786E0,1.110652653E1
1.594006250E0,5.811963959E0,-7.625442810E0,1.079555054E0,9.648406201E0
1.604039250E0,5.694907379E0,-6.555617523E0,8.083190918E-1,8.721322774E0
1.614072250E0,6.037844238E0,-5.782475281E0,4.947212219E-1,8.374803431E0
1.624105250E0,6.737639008E0,-5.050048370E0,-1.639091492E-1,8.421735816E0
1.634139250E0,7.705825653E0,-4.631219330E0,-7.427554321E-1,9.021065741E0
1.644172250E0,8.134384460E0,-4.821024628E0,-8.704399109E-1,9.495691373E0
1.654205250E0,7.800279236E0,-5.206173706E0,-4.071533203E-2,9.378179917E0
1.664238250E0,6.219117279E0,-5.456303558E0,1.097218323E0,8.345810704E0
1.674271250E0,5.418582001E0,-6.144871674E0,1.393452301E0,8.310366304E0
1.684304250E0,5.419779510E0,-6.569089508E0,3.107537842E-1,8.521943136E0
1.694337250E0,4.356540527E0,-6.444548492E0,-6.104306030E-1,7.802837699E0
1.704370250E0,3.968247986E0,-7.273524628E0,-6.131250000E-1,8.308253418E0
1.714403250E0,4.381987610E0,-7.812853088E0,3.484753418E-1,8.964592788E0
1.724436250E0,5.276527405E0,-7.983049164E0,7.162605286E-1,9.596032751E0
1.734470250E0,6.072572021E0,-8.192613373E0,8.755293274E-1,1.023531125E1
1.744503250E0,6.351741486E0,-8.420589294E0,1.044228516E0,1.059912058E1
1.754536250E0,6.131998444E0,-8.963809662E0,6.744973755E-1,1.088146292E1
1.764569250E0,5.985153809E0,-1.002794678E1,6.391708374E-2,1.167843603E1
1.774602250E0,6.156397705E0,-1.133577713E1,-9.774673462E-2,1.290002443E1
1.784635250E0,6.495592346E0,-1.260783188E1,7.391629028E-1,1.420198952E1
1.794668250E0,6.982380066E0,-1.151884644E1,1.693727875E0,1.357594080E1
