"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.444999996E-4,-1.470392303E0,5.990392914E0,4.935087433E0,7.899490411E0
1.097750000E-2,-1.074914703E0,5.934858398E0,5.426066437E0,8.112963873E0
2.101050000E-2,-6.500981140E-1,5.858367462E0,5.951773224E0,8.376556655E0
3.104350000E-2,-3.475772095E-1,5.755830688E0,6.267766113E0,8.516765165E0
4.107650000E-2,-1.607656860E-1,5.641019440E0,6.298751678E0,8.457021854E0
5.110950000E-2,8.637039185E-2,5.606740723E0,6.043233032E0,8.244007937E0
6.114150000E-2,5.568420410E-2,5.579197998E0,5.437742157E0,7.790994211E0
7.117450000E-2,-1.562750244E-1,5.469176788E0,4.481829987E0,7.072702217E0
8.120750000E-2,-1.133143616E-1,5.299429779E0,3.484004974E0,6.343113336E0
9.124050000E-2,5.613327026E-2,5.159470825E0,2.838397522E0,5.888954970E0
1.012735000E-1,-2.522254944E-1,4.952601013E0,2.598446503E0,5.598553271E0
1.113065000E-1,-4.284091187E-1,4.607568512E0,2.435435486E0,5.229203378E0
1.213395000E-1,-3.544628906E-1,4.104913788E0,2.348915405E0,4.742717020E0
1.313725000E-1,-2.056723022E-1,3.730991364E0,2.495310974E0,4.493236529E0
1.414055000E-1,3.981719971E-2,3.560196533E0,2.753074951E0,4.500667334E0
1.514375000E-1,6.069877625E-1,3.536246338E0,3.072810059E0,4.723942629E0
1.614705000E-1,1.200802917E0,3.456761627E0,3.378175049E0,4.980280640E0
1.715035000E-1,1.853296051E0,3.366349640E0,3.463796997E0,5.173481013E0
1.815365000E-1,2.348466339E0,3.212469635E0,3.531007233E0,5.320081520E0
1.915695000E-1,2.769690399E0,3.128045197E0,3.610042877E0,5.521617628E0
2.016025000E-1,3.008144531E0,3.052153015E0,3.727698212E0,5.679815623E0
2.116355000E-1,3.045117645E0,2.869682465E0,3.856131134E0,5.690128842E0
2.216685000E-1,3.094215546E0,2.460283813E0,3.835773468E0,5.508205187E0
2.317015000E-1,3.102298737E0,1.924098816E0,4.013154602E0,5.425110466E0
2.417335000E-1,3.246748352E0,1.225651245E0,4.012406158E0,5.304997551E0
2.517665000E-1,3.368445282E0,4.601431274E-1,3.838916931E0,5.127907811E0
2.617995000E-1,3.337160339E0,-2.567161560E-1,3.723057861E0,5.006366163E0
2.718325000E-1,3.203937378E0,-8.599617004E-1,3.462449799E0,4.795133727E0
2.818655000E-1,3.328029327E0,-1.405577087E0,3.276087341E0,4.876902134E0
2.918985000E-1,3.866010590E0,-2.164947968E0,3.088527374E0,5.401114600E0
3.019315000E-1,4.258644104E0,-3.187920685E0,2.873274994E0,6.046039785E0
3.119645000E-1,4.301155701E0,-4.192032623E0,2.906655579E0,6.672460156E0
3.219975000E-1,4.291276245E0,-4.929848328E0,3.165617065E0,7.262202679E0
3.320305000E-1,4.700824585E0,-5.462291107E0,3.483256531E0,8.004214638E0
3.420625000E-1,5.400619354E0,-5.861361237E0,3.928281097E0,8.885585931E0
3.520955000E-1,6.264472961E0,-6.149661713E0,4.054319000E0,9.669512047E0
3.621285000E-1,7.228767700E0,-6.298452301E0,4.021088104E0,1.039686171E1
3.721615000E-1,8.268804932E0,-6.219865723E0,3.804488525E0,1.102424589E1
3.821945000E-1,9.575138397E0,-5.900579681E0,3.480412445E0,1.177341865E1
3.922275000E-1,1.093116852E1,-5.346282349E0,3.072660370E0,1.255047497E1
4.022605000E-1,1.233330276E1,-4.712949371E0,2.452350311E0,1.342893409E1
4.122935000E-1,1.360490845E1,-4.004173279E0,1.694176941E0,1.428275789E1
4.223265000E-1,1.417222870E1,-3.356769562E0,8.346643066E-1,1.458823611E1
4.323595000E-1,1.394140869E1,-2.885998535E0,1.094224548E-1,1.423740978E1
4.423915000E-1,1.304162979E1,-2.487676849E0,-1.754351807E-1,1.327792985E1
4.524245000E-1,1.185729263E1,-2.153721313E0,5.281018066E-1,1.206286846E1
4.624575000E-1,1.115240845E1,-1.887574768E0,2.109712830E0,1.150608712E1
4.724905000E-1,1.044303360E1,-1.744771729E0,3.536994781E0,1.116295262E1
4.825235000E-1,9.789342957E0,-1.670675812E0,4.563709717E0,1.092931103E1
4.925565000E-1,9.480684814E0,-1.643133087E0,5.325924683E0,1.099766996E1
5.025895000E-1,9.508526917E0,-1.639091492E0,5.939049683E0,1.133009339E1
5.126225000E-1,9.740993500E0,-1.775757294E0,6.447841644E0,1.181587619E1
5.226555000E-1,1.038420593E1,-2.203567657E0,6.946155396E0,1.268607575E1
5.326875000E-1,1.125644211E1,-2.957549744E0,7.450307007E0,1.381888794E1
5.427205000E-1,1.201805832E1,-3.884422302E0,7.880662079E0,1.488715208E1
5.527535000E-1,1.265423538E1,-4.524790649E0,8.009693756E0,1.564476263E1
5.627865000E-1,1.371268433E1,-4.912484436E0,7.846233673E0,1.654489642E1
5.728195000E-1,1.536494843E1,-5.178630981E0,7.672744446E0,1.793797275E1
5.828525000E-1,1.757989243E1,-5.226980438E0,7.742649078E0,1.990785164E1
5.928855000E-1,1.983465363E1,-4.836891632E0,8.243507538E0,2.201736636E1
6.029185000E-1,2.166175415E1,-4.074676666E0,9.041049042E0,2.382383577E1
6.129515000E-1,2.233670059E1,-2.960094452E0,9.470805359E0,2.444149150E1
6.229845000E-1,2.228999771E1,-1.642534332E0,9.252259827E0,2.418979597E1
6.330165000E-1,2.149859344E1,-5.721102905E-1,8.518785095E0,2.313193744E1
6.430495000E-1,2.043819855E1,1.631607056E-2,7.742948456E0,2.185574242E1
6.530825000E-1,1.930715057E1,8.831634521E-2,7.278314667E0,2.063365521E1
6.631155000E-1,1.844838638E1,-3.290158081E-1,7.111860809E0,1.977447283E1
6.731485000E-1,1.800830154E1,-1.348994751E0,7.457492065E0,1.953798606E1
6.831815000E-1,1.776715302E1,-2.473007355E0,8.004903717E0,1.964347157E1
6.932143750E-1,1.779679138E1,-3.571273499E0,8.306077423E0,1.996173089E1
7.032473750E-1,1.771910294E1,-4.944368134E0,8.244405670E0,2.015895855E1
7.132803750E-1,1.753753052E1,-6.356381836E0,7.897726593E0,2.025691615E1
7.233133750E-1,1.686677536E1,-7.832612000E0,7.201823730E0,1.994252208E1
7.333453750E-1,1.603510483E1,-9.216334534E0,6.577023010E0,1.962963680E1
7.433783750E-1,1.494761627E1,-1.015727783E1,5.785618744E0,1.897563989E1
7.534113750E-1,1.451756058E1,-1.096320190E1,4.711153107E0,1.879218786E1
7.634443750E-1,1.595083008E1,-1.179562088E1,4.152963867E0,2.026851650E1
