"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.434291666E-3,2.776725769E0,3.600313110E0,7.328460388E0,8.624314010E0
1.446629166E-2,3.077749786E0,3.514092407E0,8.774902496E0,9.940840156E0
2.449929167E-2,3.575464783E0,3.101250916E0,1.049722092E1,1.151491870E1
3.453129167E-2,3.584745483E0,2.695893860E0,1.077579163E1,1.167201478E1
4.456329167E-2,3.234473877E0,2.727478180E0,9.906249847E0,1.077194247E1
5.459529167E-2,2.901117096E0,2.993924103E0,8.681945801E0,9.631004352E0
6.462829166E-2,2.999312897E0,3.286415863E0,7.987090759E0,9.142758111E0
7.466029167E-2,3.104693756E0,3.400179291E0,7.888146515E0,9.133630054E0
8.469229166E-2,2.906356201E0,3.269351349E0,8.079897766E0,9.188052706E0
9.472529167E-2,2.844235382E0,3.124003601E0,8.135881348E0,9.167422686E0
1.047572917E-1,2.604583740E0,3.039429474E0,7.969277802E0,8.918036592E0
1.147892917E-1,2.079775085E0,2.758014679E0,7.471862183E0,8.231696900E0
1.248212917E-1,2.118095398E0,2.388133850E0,7.433242493E0,8.089660398E0
1.348542917E-1,3.107537842E0,2.148332520E0,8.693322144E0,9.478711618E0
1.448862917E-1,3.671115875E0,2.171085205E0,9.473350067E0,1.038918015E1
1.549182917E-1,3.599115601E0,2.491119690E0,9.211993561E0,1.019902622E1
1.649502917E-1,3.736978912E0,2.951412506E0,8.644523621E0,9.869328032E0
1.749832917E-1,4.149521027E0,3.198997650E0,8.339757385E0,9.849043809E0
1.850152917E-1,4.672683105E0,2.552791443E0,7.730224915E0,9.386537636E0
1.950472917E-1,4.966821442E0,1.492097168E0,6.927144928E0,8.653381191E0
2.050802917E-1,5.033582611E0,2.016606445E0,7.353159027E0,9.136334229E0
2.151122917E-1,5.332960052E0,2.260748749E0,6.959178314E0,9.054369698E0
2.251442917E-1,5.473667450E0,2.152823181E0,6.186634827E0,8.536400499E0
2.351762917E-1,5.386548615E0,1.982776794E0,5.811065826E0,8.167912575E0
2.452092917E-1,5.081333313E0,1.939516754E0,5.628445587E0,7.826945330E0
2.552412917E-1,4.698130188E0,2.096839600E0,5.335055695E0,7.411611352E0
2.652732917E-1,4.250560913E0,2.082319794E0,5.311105499E0,7.114152474E0
2.753052917E-1,4.229754181E0,1.754651184E0,5.397176514E0,7.078074281E0
2.853382917E-1,4.944368134E0,1.319356384E0,5.237608337E0,7.322569126E0
2.953697083E-1,5.363197174E0,1.716480560E0,4.466561737E0,7.187514396E0
3.054017083E-1,6.050418091E0,1.436412964E0,3.782933350E0,7.278834110E0
3.154347083E-1,6.929240570E0,1.363065491E0,3.699556732E0,7.972392516E0
3.254667083E-1,8.086035004E0,1.806293793E0,3.260370026E0,8.903744833E0
3.354987083E-1,9.473649445E0,2.349963226E0,2.607427826E0,1.010302137E1
3.455307083E-1,1.062745010E1,2.824027405E0,2.169288940E0,1.120819526E1
3.555637083E-1,1.102592148E1,2.654280396E0,1.926793213E0,1.150342040E1
3.655957083E-1,1.088266937E1,2.086511078E0,1.623224487E0,1.119914635E1
3.756277083E-1,1.023960663E1,1.295106812E0,1.238823853E0,1.039526479E1
3.856597083E-1,9.518406372E0,6.397695923E-1,7.479945374E-1,9.569161971E0
3.956927083E-1,9.106762390E0,1.749861145E-1,4.617897034E-1,9.120142055E0
4.057247083E-1,8.878337402E0,-2.089654541E-1,1.811233521E-1,8.882643033E0
4.157567083E-1,9.355844421E0,-9.294172668E-1,-1.398092651E-1,9.402935070E0
4.257897083E-1,1.154100037E1,-2.643502808E0,-1.463955688E-1,1.184078664E1
