"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.574583240E-4,-1.546284485E-1,6.632108459E0,7.234006805E0,9.815275189E0
1.071345835E-2,-3.101550293E-1,6.753506012E0,7.286248169E0,9.939590131E0
2.076945832E-2,-1.764830017E-1,6.859934692E0,7.058871002E0,9.844669119E0
3.082445834E-2,2.035766602E-1,6.834936676E0,6.758146362E0,9.614070162E0
4.088045837E-2,3.727249146E-1,6.851402435E0,6.615343323E0,9.531180749E0
5.093645834E-2,5.821394348E-1,6.756948853E0,6.299200745E0,9.256088490E0
6.099245837E-2,4.263134766E-1,6.789880371E0,6.075715485E0,9.121323220E0
7.104745833E-2,1.197509766E-2,6.515800323E0,6.101012878E0,8.926262118E0
8.110345836E-2,-1.255888367E-1,5.903573456E0,6.245612183E0,8.595092998E0
9.115945833E-2,4.806504822E-1,6.597081299E0,6.459367676E0,9.245319752E0
1.012154584E-1,8.723858643E-1,6.833589478E0,6.569388885E0,9.519236974E0
1.112704583E-1,9.848020935E-1,6.455475769E0,6.735842743E0,9.381608605E0
1.213264583E-1,1.294208679E0,6.073619843E0,6.967261505E0,9.333089894E0
1.313824583E-1,1.855691071E0,5.368735657E0,6.960824890E0,8.984430703E0
1.414384583E-1,2.261347504E0,4.773573303E0,6.549330597E0,8.413942351E0
1.514934584E-1,2.471510468E0,4.668192444E0,6.347699890E0,8.257946390E0
1.615494583E-1,2.336341553E0,4.581223297E0,6.337970123E0,8.161860329E0
1.716054584E-1,2.182910614E0,4.264931030E0,6.870263214E0,8.375873213E0
1.816603334E-1,2.014361115E0,3.526366882E0,7.978259125E0,8.952403741E0
1.917163333E-1,1.882635040E0,2.913241882E0,8.921597443E0,9.572157222E0
2.017723334E-1,2.199825439E0,3.713627472E0,8.773704987E0,9.777942532E0
2.118283333E-1,2.282752991E0,4.405788116E0,8.923693085E0,1.021049599E1
2.218833333E-1,2.352957001E0,4.533472595E0,9.880204010E0,1.112237437E1
2.319393334E-1,2.448009338E0,4.253404999E0,9.898915100E0,1.104865259E1
2.419953333E-1,2.503992920E0,4.026925964E0,8.743916931E0,9.946969215E0
2.520513334E-1,2.481838989E0,4.220623169E0,7.981851654E0,9.363927623E0
