"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.989125020E-3,6.819967804E0,-6.246510315E-1,7.330256653E0,1.003169040E1
1.404512499E-2,6.655310211E0,-7.229965210E-1,7.377558289E0,9.962140547E0
2.410212503E-2,6.489006042E0,-8.068222046E-1,7.280859375E0,9.786167520E0
3.415812500E-2,6.555617523E0,-7.875123596E-1,7.220085754E0,9.783963161E0
4.421512503E-2,6.839577026E0,-7.939489746E-1,7.221582642E0,9.978047140E0
5.427112500E-2,7.078480225E0,-8.402027893E-1,7.276368713E0,1.018608682E1
6.432812498E-2,7.304809570E0,-8.918453979E-1,7.550299072E0,1.054336982E1
7.438474998E-2,7.348967743E0,-8.421487427E-1,7.752977600E0,1.071565225E1
8.444175002E-2,7.284601593E0,-7.909552002E-1,7.933502197E0,1.079960590E1
9.449774999E-2,6.921905823E0,-8.235873413E-1,8.062084808E0,1.065778062E1
1.045537500E-1,6.322252808E0,-8.430468750E-1,8.015531616E0,1.024355191E1
1.146107500E-1,5.893694000E0,-8.961863708E-1,7.908204803E0,9.903458093E0
1.246667500E-1,5.889652405E0,-1.040635986E0,7.535779266E0,9.620753497E0
1.347237500E-1,6.446644135E0,-1.158441010E0,7.348967743E0,9.844213176E0
1.447797500E-1,6.707401886E0,-1.214723969E0,7.152127075E0,9.880167816E0
1.548367500E-1,6.221512299E0,-1.343456268E0,6.519093475E0,9.111019140E0
1.648927500E-1,6.217919769E0,-1.479822693E0,6.334078217E0,8.998497003E0
1.749497500E-1,6.761888580E0,-1.401236115E0,6.857240295E0,9.731821222E0
1.850057500E-1,7.301067352E0,-1.177002411E0,7.084617462E0,1.024122667E1
1.950627500E-1,7.746241608E0,-1.175355835E0,6.906787262E0,1.044458858E1
2.051187500E-1,8.342900848E0,-1.196461945E0,6.486760712E0,1.063548684E1
2.151747500E-1,8.597521362E0,-1.444645844E0,6.275100861E0,1.074156720E1
2.252317500E-1,8.814420319E0,-1.950294342E0,6.634353790E0,1.120322738E1
2.352877500E-1,9.220825195E0,-1.588796082E0,6.813830566E0,1.157480787E1
2.453447500E-1,8.860374756E0,-1.099014587E0,6.790329437E0,1.121706948E1
2.554007500E-1,8.037685547E0,-9.680369568E-1,6.701564026E0,1.050963581E1
2.654577500E-1,8.204289093E0,-7.879614258E-1,6.773713989E0,1.066838525E1
2.755137500E-1,8.514593811E0,-5.608836365E-1,6.782395935E0,1.090017398E1
2.855707500E-1,8.500672760E0,-2.495310974E-1,6.798412628E0,1.088770487E1
2.956267500E-1,8.226892090E0,1.022373962E-1,6.885830841E0,1.072878708E1
3.056837500E-1,7.744744720E0,3.728746033E-1,6.969955902E0,1.042594799E1
3.157397500E-1,7.296876068E0,4.451742554E-1,7.029981079E0,1.014215039E1
3.257957500E-1,6.985224152E0,4.555027771E-1,7.044351196E0,9.930947740E0
3.358527500E-1,6.753506012E0,4.192781067E-1,7.080126801E0,9.793560798E0
3.459087500E-1,6.594386902E0,3.192860413E-1,7.104076996E0,9.698236548E0
3.559657500E-1,6.439309387E0,3.484753418E-1,6.939269714E0,9.473098998E0
3.660217500E-1,6.106102295E0,4.257147217E-1,6.763684845E0,9.122124256E0
3.760787500E-1,5.858068085E0,5.674699402E-1,6.770121460E0,8.970703897E0
3.861347500E-1,5.434449005E0,5.486091614E-1,6.531966705E0,8.514739987E0
3.961917500E-1,4.938979340E0,2.616558838E-1,6.696474609E0,8.324947622E0
4.062477500E-1,4.352498932E0,6.900650024E-2,6.544241180E0,7.859777444E0
4.163047500E-1,4.594545593E0,1.496887207E-1,6.384373627E0,7.867177545E0
4.263607500E-1,5.263504486E0,2.656974792E-1,6.502627716E0,8.370139894E0
4.364167500E-1,5.703289948E0,3.375480652E-1,6.471791840E0,8.632817879E0
4.464737500E-1,6.027066650E0,2.906954956E-1,6.251150665E0,8.688320949E0
4.565297500E-1,6.214177551E0,1.216969299E-1,5.912105713E0,8.578100416E0
4.665867500E-1,6.168672180E0,-1.718426514E-1,5.949677582E0,8.572088992E0
4.766427500E-1,5.727539520E0,-3.622467041E-1,6.086493073E0,8.365484418E0
4.866997500E-1,5.719456329E0,-5.803431702E-1,6.589896240E0,8.745039243E0
4.967557500E-1,8.019423523E0,-1.266665955E0,7.652237091E0,1.115671676E1
5.068127500E-1,7.780370636E0,-1.135688324E0,6.920109558E0,1.047434349E1
5.168687500E-1,2.291734314E0,-1.966909790E-1,7.195985870E0,7.554663868E0
5.269257500E-1,1.327589264E0,-4.210743713E-1,8.741970978E0,8.852223080E0
5.369817500E-1,4.656217346E0,-1.619482269E0,9.196425934E0,1.043443016E1
5.470377500E-1,4.631818085E0,-6.177653503E-1,6.766528931E0,8.223216315E0
5.570947500E-1,3.928879852E0,3.457809448E-2,9.275311890E0,1.007316749E1
5.671507500E-1,3.579955444E0,2.513273621E-1,1.099014587E1,1.156125221E1
5.772077500E-1,3.214415588E0,4.049079895E-1,1.050440598E1,1.099267770E1
5.872637500E-1,1.599573669E0,1.472937012E-1,1.065619034E1,1.077658220E1
5.973207500E-1,4.894821167E-1,-2.790197754E-1,1.075408676E1,1.076883591E1
6.073767500E-1,6.650669861E-1,-5.786965942E-1,1.059826080E1,1.063486417E1
6.174337500E-1,1.019978943E0,-2.481838989E-1,9.932595062E0,9.987912543E0
6.274897500E-1,1.135089569E0,1.812730408E-1,9.234746246E0,9.306010234E0
6.375467500E-1,1.224154358E0,3.869453430E-1,8.872200165E0,8.964609102E0
6.476027500E-1,7.650590515E-1,6.713539124E-1,8.873846741E0,8.932031539E0
6.576597500E-1,-5.665718079E-1,1.077908478E0,9.364526367E0,9.443370393E0
6.677157500E-1,-1.848655701E0,1.692081299E0,1.007629623E1,1.038327563E1
6.777717500E-1,-2.012265472E0,2.357747040E0,1.059975769E1,1.104368809E1
6.878287500E-1,-1.838776245E0,2.712509308E0,1.060095520E1,1.109590267E1
6.978847500E-1,-2.175875244E0,2.905458069E0,1.053314621E1,1.114106318E1
7.079417500E-1,-2.195484467E0,2.757415924E0,9.846823425E0,1.045865317E1
7.179977500E-1,-1.343007202E0,2.490670624E0,9.714797974E0,1.011851808E1
7.280547500E-1,-2.269281006E-1,1.977388000E0,9.869576111E0,1.006827156E1
7.381107500E-1,-6.346801758E-2,1.559307404E0,9.108558655E0,9.241282840E0
7.481677500E-1,-1.794767761E-1,1.480571136E0,8.594078522E0,8.722527641E0
7.582237500E-1,-6.219566345E-1,1.409618683E0,8.555758209E0,8.693379862E0
7.682807500E-1,-2.224224701E0,1.292711792E0,8.150700531E0,8.547057882E0
7.783367500E-1,-2.928659821E0,1.259181519E0,7.738008728E0,8.368952474E0
7.883927500E-1,-2.141596527E0,1.467548218E0,7.884404297E0,8.300841197E0
7.984497500E-1,-1.125958557E0,1.762135620E0,7.941286011E0,8.211999033E0
8.085057500E-1,-2.868035889E-1,1.905836792E0,7.667205963E0,7.905726877E0
8.185627500E-1,-3.275189209E-1,1.854942627E0,7.341932373E0,7.579713172E0
8.286187500E-1,-1.343755646E0,1.820065155E0,7.134912872E0,7.485004883E0
8.386757500E-1,-2.648442535E0,2.121837616E0,6.750512238E0,7.555518394E0
8.487317500E-1,-3.658092957E0,2.641706543E0,6.112538910E0,7.597591030E0
8.587887500E-1,-4.547693024E0,3.261268158E0,5.460195465E0,7.818639035E0
8.688447500E-1,-5.031786346E0,3.774850159E0,5.063520355E0,8.075122658E0
8.789017500E-1,-5.023104401E0,3.877686310E0,4.667593689E0,7.877465315E0
8.889577500E-1,-4.978048096E0,3.504811707E0,3.967050476E0,7.266509301E0
8.990137500E-1,-5.352419586E0,2.854114838E0,3.203638000E0,6.859858845E0
9.090707500E-1,-5.603746948E0,2.186952209E0,2.772534485E0,6.623570585E0
9.191267500E-1,-5.422773285E0,1.729653168E0,2.649190979E0,6.278246811E0
9.291837500E-1,-5.543572083E0,1.719174957E0,2.774330750E0,6.433013685E0
9.392397500E-1,-5.879024506E0,1.769320679E0,3.178789673E0,6.913619066E0
9.492967500E-1,-6.276298370E0,1.634002075E0,3.747457123E0,7.490348383E0
9.593527500E-1,-6.752757568E0,1.347348175E0,4.137994995E0,8.033559887E0
9.694097500E-1,-7.317084045E0,1.136885834E0,3.967649231E0,8.400861191E0
9.794657500E-1,-8.483757935E0,2.726130981E0,3.788920898E0,9.683070814E0
9.895227500E-1,-7.797884216E0,2.361489258E0,3.478765869E0,8.859200965E0
9.995787500E-1,-8.342451782E0,1.715432739E0,3.408262482E0,9.173628746E0
1.009635750E0,-8.568332062E0,1.262324982E0,3.022215271E0,9.172980095E0
1.019691750E0,-7.983947296E0,7.177574158E-1,2.368374939E0,8.358695472E0
1.029747750E0,-8.208929443E0,7.852670288E-1,2.141297150E0,8.519877957E0
1.039804750E0,-8.923393707E0,1.319206696E0,2.206711121E0,9.286379032E0
1.049860750E0,-9.695637817E0,2.102827148E0,2.083068237E0,1.013737875E1
1.059917750E0,-1.064750839E1,2.833308105E0,1.453327789E0,1.111347072E1
1.069973750E0,-1.151330795E1,3.447181549E0,2.450404358E-1,1.202078889E1
1.080030375E0,-1.158845169E1,3.680097198E0,-1.798659668E0,1.229107418E1
1.090086375E0,-1.115016312E1,3.766617279E0,-3.958218842E0,1.241696580E1
1.100143375E0,-1.040216858E1,4.060905304E0,-5.986201630E0,1.267006997E1
1.110199375E0,-9.729018402E0,5.047952728E0,-7.970325623E0,1.355218493E1
1.120256375E0,-9.495354309E0,6.368356934E0,-9.773925018E0,1.504152033E1
1.130312375E0,-1.041219772E1,7.012766876E0,-1.052925430E1,1.638468666E1
1.140368375E0,-1.193932205E1,7.241640930E0,-9.956245880E0,1.714979902E1
1.150425375E0,-1.302740936E1,7.005881195E0,-9.057215424E0,1.734442035E1
1.160481375E0,-1.303010376E1,6.488556976E0,-8.088130646E0,1.665241223E1
1.170538375E0,-1.225681183E1,6.473737793E0,-6.706503754E0,1.539856843E1
1.180594375E0,-1.119162689E1,6.419101410E0,-5.071154480E0,1.386268312E1
1.190651375E0,-1.011865814E1,6.217171326E0,-3.903432770E0,1.250108992E1
