"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.116750005E-3,5.807922363E-1,5.536237335E0,8.677904205E0,1.030986250E1
8.939250023E-3,9.156459045E-1,5.484594727E0,8.602610779E0,1.024324650E1
1.899524999E-2,9.717791748E-1,5.446573792E0,8.542286224E0,1.017743459E1
2.905125002E-2,8.123606873E-1,5.468877411E0,8.390801239E0,1.004858674E1
3.910724999E-2,5.316943359E-1,5.505251770E0,8.013435974E0,9.736819400E0
4.916425003E-2,2.874023438E-1,5.538782043E0,7.454947357E0,9.291767686E0
5.922025000E-2,3.058140564E-1,5.606740723E0,6.968908081E0,8.949566672E0
6.927625003E-2,5.051994324E-1,5.567073212E0,6.708599396E0,8.732287012E0
7.933225000E-2,7.607180786E-1,5.349725189E0,6.677763519E0,8.590155832E0
8.938925003E-2,8.776249695E-1,5.099894714E0,6.673272858E0,8.444626831E0
9.944525000E-2,8.003855896E-1,4.937931519E0,6.616840210E0,8.294959864E0
1.095012500E-1,1.323248291E0,4.884043579E0,6.819668427E0,8.491922348E0
1.195572500E-1,2.338586884E0,4.612957306E0,7.659272461E0,9.241905558E0
1.296142500E-1,2.627785492E0,4.335883484E0,8.210276642E0,9.649548420E0
1.396702500E-1,2.910098419E0,4.182003479E0,8.517288208E0,9.924818604E0
1.497262500E-1,3.186723175E0,3.921994171E0,8.653055878E0,1.002060971E1
1.597822500E-1,3.312461700E0,3.742068329E0,8.777746582E0,1.010070854E1
1.698382500E-1,3.407663727E0,3.768114166E0,8.910221100E0,1.025684632E1
1.798952500E-1,3.372786255E0,3.776796112E0,8.943601685E0,1.027754285E1
1.899512500E-1,3.308569794E0,3.721860352E0,8.844208374E0,1.014982267E1
2.000072500E-1,3.343746643E0,3.723207550E0,8.620872803E0,9.968067213E0
2.100632500E-1,3.384611664E0,3.659589844E0,8.366252289E0,9.738704806E0
2.201202500E-1,3.493135986E0,3.621718597E0,8.151149597E0,9.579148416E0
2.301762500E-1,3.738475800E0,3.712729340E0,7.822882233E0,9.431757359E0
2.402322500E-1,4.084107056E0,3.749702454E0,7.255711670E0,9.131568911E0
2.502882500E-1,4.465064850E0,3.654650116E0,6.460864563E0,8.662334702E0
2.603452500E-1,4.865631866E0,3.690725098E0,5.654341736E0,8.322704228E0
2.704012500E-1,5.128784637E0,3.705394592E0,5.040318604E0,8.089449460E0
2.804572500E-1,5.242548065E0,3.307222595E0,4.525239716E0,7.674622205E0
2.905132500E-1,5.148992615E0,3.023412781E0,4.109853516E0,7.248727179E0
3.005692500E-1,1.844015350E0,2.674338684E0,4.122127991E0,5.248277735E0
3.106262500E-1,-3.412902832E-2,3.036136322E0,6.235882416E0,6.935814160E0
3.206822500E-1,4.543052673E-1,3.478765869E0,9.352700958E0,9.989055034E0
3.307382500E-1,1.218166809E0,2.792293396E0,1.055874298E1,1.098944430E1
3.407942500E-1,2.155068512E0,2.651735687E0,1.119821320E1,1.170794607E1
3.508512500E-1,3.323388977E0,2.471809845E0,9.332942047E0,1.021070837E1
3.609072500E-1,3.608396301E0,2.149979095E0,7.798183594E0,8.857460208E0
3.709632500E-1,3.511697388E0,2.686463470E0,7.780370636E0,8.948925732E0
3.810192500E-1,3.780238953E0,2.621049500E0,8.203840027E0,9.405482348E0
3.910752500E-1,3.870501251E0,1.421593781E0,8.915609894E0,9.822922609E0
4.011322500E-1,1.968406677E0,-1.086590424E0,9.592053223E0,9.852044895E0
4.111882500E-1,3.434158630E0,4.415817261E-1,9.821226654E0,1.041368969E1
