"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.679708366E-3,-5.476661224E0,1.278491364E0,8.362210693E0,1.007744640E1
1.173570834E-2,-5.447172546E0,1.292861481E0,8.161927185E0,9.897486294E0
2.179270837E-2,-5.408103790E0,1.223256226E0,7.801925812E0,9.571519669E0
3.184970835E-2,-5.350174255E0,1.250798950E0,7.457941132E0,9.263355143E0
4.190570838E-2,-5.492528229E0,1.381327515E0,7.353159027E0,9.281426600E0
5.196270836E-2,-5.563929749E0,1.539099426E0,7.688611450E0,9.614618418E0
6.201870833E-2,-5.495522003E0,1.572629700E0,8.273145905E0,1.005578786E1
7.207570836E-2,-5.379213867E0,1.518741760E0,9.035061493E0,1.062425783E1
8.213170833E-2,-5.378315735E0,1.448986816E0,9.789342957E0,1.126308477E1
9.218870837E-2,-5.411396942E0,1.309925995E0,1.022882904E1,1.164594636E1
1.022447083E-1,-5.158722382E0,9.244775391E-1,1.000863693E1,1.129778246E1
1.123015833E-1,-4.972210236E0,4.496649170E-1,9.240883484E0,1.050328523E1
1.223585833E-1,-5.062472534E0,2.326162720E-1,8.376281433E0,9.790037239E0
1.324145833E-1,-5.724396057E0,1.814227295E-1,7.817194061E0,9.690724814E0
1.424715833E-1,-6.104755096E0,2.796185303E-1,7.293882294E0,9.515615599E0
1.525275834E-1,-6.368806000E0,4.281097412E-1,7.265740814E0,9.671398937E0
1.625845833E-1,-6.819668427E0,4.896318054E-1,7.613467712E0,1.023291295E1
1.726405834E-1,-7.192692719E0,4.731660461E-1,7.796986084E0,1.061846065E1
1.826975833E-1,-7.339387665E0,4.242178345E-1,7.873027954E0,1.077177521E1
1.927535834E-1,-7.629933472E0,3.689826965E-1,7.755073242E0,1.088545791E1
2.028105833E-1,-8.100405121E0,2.501298523E-1,7.625293121E0,1.112763332E1
2.128665834E-1,-8.316855011E0,1.103205872E-1,7.443720703E0,1.116204398E1
2.229235834E-1,-7.733368378E0,-7.828720093E-2,7.013066254E0,1.044002939E1
2.329805833E-1,-7.187902679E0,-5.129832458E-1,6.633455658E0,9.794479604E0
