"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.977749984E-3,-1.913171539E0,3.871698761E0,9.221573639E0,1.018271560E1
1.203375001E-2,-1.908381500E0,3.880829773E0,8.773555298E0,9.781514823E0
2.209074999E-2,-2.359692993E0,3.957620087E0,8.628806305E0,9.781983747E0
3.214675002E-2,-2.804418182E0,4.156556396E0,8.442294159E0,9.819065795E0
4.220375000E-2,-2.763403473E0,4.263134766E0,8.558302917E0,9.952651185E0
5.225975002E-2,-2.182311859E0,4.239334259E0,8.650810547E0,9.877801533E0
6.231574999E-2,-1.536405029E0,4.038751373E0,8.348139954E0,9.400185836E0
7.237275003E-2,-9.240284729E-1,3.710184631E0,8.015082550E0,8.880362994E0
8.242875000E-2,-4.797523499E-1,3.383264465E0,7.870183868E0,8.580002033E0
9.248575004E-2,-4.020639038E-1,3.209625549E0,8.130342865E0,8.750190092E0
1.025417500E-1,-4.682263184E-1,3.172502747E0,8.668623505E0,9.242783294E0
1.125987500E-1,-4.261637878E-1,3.153791656E0,9.073232117E0,9.615173344E0
1.226547500E-1,-3.671864319E-1,3.083437958E0,9.276060333E0,9.782009549E0
1.327107500E-1,-2.567161560E-1,2.987936554E0,9.291328583E0,9.763321918E0
1.427677500E-1,-9.639953613E-2,2.897075500E0,9.173373871E0,9.620453602E0
1.528237500E-1,1.342707825E-1,2.840193787E0,8.979826355E0,9.419236209E0
1.628807500E-1,3.421884155E-1,2.725083160E0,8.747509460E0,9.168538210E0
1.729367500E-1,5.254074097E-1,2.514920197E0,8.544082489E0,8.922007740E0
1.829927500E-1,7.695497131E-1,2.291285248E0,8.367898865E0,8.709990026E0
1.930497500E-1,1.089584198E0,2.084116058E0,8.274942169E0,8.602639210E0
2.031057500E-1,1.096619568E0,1.794917450E0,8.498577118E0,8.755005206E0
2.131627500E-1,-1.086889801E0,1.193318481E0,1.077309723E1,1.089334486E1
2.232187500E-1,-3.420387268E-1,1.866917725E0,1.145852188E1,1.161465006E1
2.332757500E-1,2.078427887E0,2.652334442E0,9.798324280E0,1.036155872E1
2.433317500E-1,2.424807587E0,1.752106476E0,8.258925476E0,8.784043429E0
2.533877500E-1,2.326761475E0,9.192384338E-1,7.728129272E0,8.122979768E0
2.634447500E-1,2.536175995E0,8.514294434E-1,8.672216034E0,9.075486307E0
2.735007500E-1,2.619851990E0,1.740131378E0,1.001193008E1,1.049430444E1
2.835577500E-1,2.541415100E0,2.751578064E0,9.842482452E0,1.053111739E1
2.936137500E-1,1.585353241E0,2.899470520E0,1.202793777E1,1.247363465E1
3.036697500E-1,6.004014587E-1,2.255659332E0,1.159698395E1,1.182956118E1
3.137267500E-1,1.148860931E0,1.601220245E0,9.560169525E0,9.761179696E0
3.237827500E-1,1.575623474E0,1.282682648E0,8.966054993E0,9.193367514E0
3.338397500E-1,1.560504913E0,1.143921204E0,8.365503845E0,8.586348810E0
3.438957500E-1,2.033670959E0,2.140848083E0,8.175249481E0,8.692166138E0
3.539527500E-1,1.855691071E0,2.175426178E0,7.726482697E0,8.238604449E0
3.640087500E-1,4.805007935E-1,2.289788361E0,6.839577026E0,7.228680768E0
3.740647500E-1,7.250921631E-1,2.508034515E0,6.984625397E0,7.456606984E0
