"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.840624989E-3,-3.309916992E0,6.227350159E0,5.673501892E0,9.051191315E0
1.977362495E-2,-3.311264191E0,6.473887482E0,6.473737793E0,9.735757324E0
2.970762504E-2,-3.168311462E0,6.496939545E0,6.880292358E0,9.979320814E0
3.964075004E-2,-3.263513489E0,6.490951996E0,6.745572510E0,9.913915805E0
4.957475001E-2,-3.842509460E0,6.593339081E0,6.446943512E0,9.989998991E0
5.950774997E-2,-4.042044525E0,6.922354889E0,5.849086761E0,9.923151571E0
6.944175006E-2,-3.933819580E0,7.535479889E0,5.798042908E0,1.028959160E1
7.937475003E-2,-3.952979736E0,7.395221558E0,6.044580231E0,1.033693866E1
8.930875000E-2,-3.511248322E0,7.761958923E0,5.841452637E0,1.032954210E1
9.924174997E-2,-3.204236755E0,7.811505890E0,5.471122742E0,1.006081217E1
1.091757501E-1,-2.644700317E0,7.583380280E0,5.222938843E0,9.580249808E0
1.191087500E-1,-1.583556976E0,7.320826263E0,5.703439636E0,9.414423698E0
1.290427500E-1,-2.291734314E0,7.942184143E0,6.000122681E0,1.021429426E1
1.389757500E-1,-2.715802460E0,7.978259125E0,6.516249390E0,1.065315483E1
1.489097500E-1,-3.368445282E0,7.806266785E0,6.742279358E0,1.085092419E1
1.588427500E-1,-3.159629517E0,7.381001129E0,7.069349213E0,1.069757611E1
1.687767500E-1,-2.364782410E0,6.693031769E0,7.674989777E0,1.045439325E1
1.787097501E-1,-2.401905212E0,5.170697479E0,8.599916382E0,1.031813078E1
1.886437500E-1,-2.072590027E0,4.132905579E0,9.318871307E0,1.040278330E1
1.985767500E-1,-8.232879639E-1,3.170856171E0,9.747729492E0,1.028349951E1
2.085107500E-1,1.833686829E-1,2.242935791E0,9.735305328E0,9.992024563E0
2.184437501E-1,1.131497040E0,1.034798126E0,9.854008484E0,9.972591234E0
2.283777500E-1,1.776056671E0,1.643582153E-1,1.058748322E1,1.073667508E1
2.383107500E-1,1.168619843E0,5.897735596E-1,1.309761337E1,1.316286372E1
2.482447500E-1,4.155358887E-1,2.052831116E0,1.465347794E1,1.480240525E1
2.581777500E-1,4.457730103E-1,2.226470032E0,1.317350555E1,1.336776462E1
2.681107500E-1,1.414558411E-1,2.674787750E0,1.101903580E1,1.133991398E1
2.780447500E-1,-2.734663239E0,3.348087616E0,8.671916656E0,9.689696188E0
2.879777501E-1,-6.910529480E0,4.154760132E0,7.352709961E0,1.091236882E1
2.979117500E-1,-7.215595093E0,4.472698975E0,8.809031525E0,1.223392354E1
3.078447500E-1,-4.057911530E0,4.256847839E0,9.905501404E0,1.151982455E1
3.177787500E-1,-3.663930817E0,3.876937866E0,8.981921997E0,1.044652856E1
3.277117501E-1,-3.041375427E0,2.557880859E0,2.832110596E0,4.879914897E0
3.376457500E-1,1.259480896E0,4.894372101E0,-1.030606842E0,5.157840716E0
3.475787500E-1,3.243754578E-1,2.260599060E0,5.857319641E-1,2.357670351E0
3.575127500E-1,-1.715133362E0,3.134481812E-1,9.979747009E-1,2.008951397E0
3.674457500E-1,-3.323688354E0,8.054750061E-1,3.839066620E0,5.141412916E0
3.773797500E-1,-2.158062286E0,-2.606080627E-1,9.462422791E0,9.708892546E0
3.873127500E-1,-4.225712585E-1,-2.689756622E0,1.418899384E1,1.444786847E1
3.972467500E-1,5.004093933E-1,-3.328777771E0,1.635738464E1,1.670015579E1
4.071797500E-1,2.944975891E0,-1.433419189E0,1.473715393E1,1.509673076E1
4.171137500E-1,6.873706055E0,2.333647156E-1,1.088955505E1,1.287962357E1
4.270467500E-1,9.861043854E0,3.936813354E-1,7.768844604E0,1.255986136E1
4.369807501E-1,1.025921585E1,-4.773573303E-1,6.570287018E0,1.219213072E1
4.469137500E-1,8.162376251E0,-2.158062286E0,6.678511963E0,1.076494965E1
4.568477500E-1,5.670957184E0,-3.954776001E0,7.126230927E0,9.928906074E0
4.667807500E-1,3.489693146E0,-5.316793671E0,7.047045593E0,9.492476220E0
4.767147501E-1,8.916957092E-1,-6.050867157E0,5.411696320E0,8.166674454E0
4.866477500E-1,-3.951782227E-2,-6.426585846E0,3.475472717E0,7.306262923E0
4.965817500E-1,-7.676037598E-1,-7.574548645E0,2.495310974E-1,7.617431882E0
5.065147500E-1,-1.866169281E0,-8.684340820E0,-1.623673553E0,9.029766280E0
5.164487500E-1,-1.890119476E0,-1.026205994E1,-1.018032990E0,1.048421752E1
5.263817500E-1,-2.566113739E0,-1.019814285E1,-1.069376221E0,1.057027071E1
5.363157500E-1,-2.883902893E0,-1.089494385E1,-1.049467621E0,1.131892573E1
5.462487501E-1,-3.718118134E0,-1.233375183E1,-8.437953186E-1,1.290960213E1
5.561817500E-1,-4.841531982E0,-1.322365128E1,-4.516108704E-1,1.408933417E1
5.661157500E-1,-5.967490540E0,-1.377076355E1,-3.315605164E-1,1.501182216E1
5.760487500E-1,-6.818021851E0,-1.502605316E1,-6.339317322E-1,1.651270920E1
5.859827501E-1,-7.898774414E0,-1.675450882E1,-1.010548553E0,1.855061755E1
5.959157500E-1,-1.012090347E1,-1.894759827E1,-3.742218018E-2,2.148128412E1
6.058497500E-1,-1.345896194E1,-2.062186661E1,2.020498352E0,2.470804429E1
6.157827500E-1,-1.642609177E1,-2.095103210E1,3.389701080E0,2.683751684E1
6.257167500E-1,-1.777134430E1,-2.082978424E1,3.876339111E0,2.765369043E1
6.356497500E-1,-1.848670670E1,-1.948857330E1,2.431992645E0,2.697178900E1
6.455837500E-1,-1.811727493E1,-1.893367722E1,5.875282288E-1,2.621192426E1
6.555167501E-1,-1.740760071E1,-2.017519547E1,1.694476318E-1,2.664754748E1
6.654507500E-1,-1.750250336E1,-1.942779968E1,-6.704557800E-1,2.615772420E1
6.753837500E-1,-1.810006073E1,-1.853804993E1,-1.775757294E0,2.596969017E1
6.853177500E-1,-1.866049530E1,-1.834225708E1,-1.657652893E0,2.621831979E1
6.952507501E-1,-1.826801147E1,-2.020483383E1,-1.442849579E0,2.727704838E1
7.051847500E-1,-1.950788315E1,-1.938573715E1,-1.654060364E0,2.755177355E1
7.151177500E-1,-1.992446686E1,-1.850317245E1,-7.279362488E-1,2.720076583E1
7.250517500E-1,-2.028656387E1,-1.793285843E1,1.132844238E0,2.710010002E1
7.349847500E-1,-1.918575302E1,-1.727003677E1,2.022893372E0,2.589284432E1
7.449187500E-1,-1.642309799E1,-1.626427826E1,1.421893158E0,2.315743239E1
7.548517500E-1,-1.459599747E1,-1.408705582E1,1.055006104E0,2.031259022E1
7.647857500E-1,-1.369053040E1,-1.221474930E1,2.349663849E0,1.849734152E1
7.747187500E-1,-1.291065216E1,-1.173664352E1,3.332519989E0,1.776342956E1
7.846527500E-1,-1.255334518E1,-1.072504715E1,3.285218353E0,1.683465982E1
7.945857500E-1,-1.074495575E1,-1.024035507E1,2.745440826E0,1.509491277E1
8.045187501E-1,-8.157735901E0,-9.898915100E0,2.950963440E0,1.316227034E1
8.144527500E-1,-6.150110779E0,-1.019949005E1,4.361180878E0,1.268358619E1
8.243857500E-1,-6.387517090E0,-7.463778992E0,1.555804688E1,1.840003244E1
