"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.905166777E-3,-4.985233154E0,5.093009033E0,7.441625061E0,1.030383784E1
8.027833304E-3,-5.215903473E0,4.790637817E0,6.985373840E0,9.947427176E0
1.796183328E-2,-4.910538483E0,4.597988434E0,6.456673279E0,9.324350683E0
2.789583325E-2,-4.451742554E0,4.580774231E0,5.990093536E0,8.756867299E0
3.782983334E-2,-4.400549011E0,4.612358551E0,5.771997070E0,8.599687970E0
4.776283330E-2,-4.567901001E0,4.535867615E0,5.737718353E0,8.623295569E0
5.769683328E-2,-4.612059174E0,4.370760956E0,5.826483765E0,8.621052964E0
6.763083325E-2,-3.941753082E0,4.371509399E0,5.747597809E0,8.226930920E0
7.756483334E-2,-4.346212006E0,3.846101990E0,6.126010895E0,8.438605856E0
8.749783330E-2,-4.648882599E0,3.538940735E0,5.875581665E0,8.286052790E0
9.743183327E-2,-5.017416229E0,3.304827576E0,5.223537598E0,7.961262209E0
1.073658332E-1,-4.660857697E0,3.053949280E0,4.627626801E0,7.243281748E0
1.172998333E-1,-4.201912079E0,2.666554871E0,4.285139008E0,6.567267035E0
1.272338333E-1,-3.921395416E0,2.399061127E0,4.837640076E0,6.673499667E0
1.371668333E-1,-3.717369690E0,1.773511963E0,5.516927490E0,6.884814524E0
1.471008332E-1,-3.936663666E0,1.241218872E0,6.442003784E0,7.650971040E0
1.570348333E-1,-4.252506866E0,7.436535645E-1,7.293582916E0,8.475446126E0
1.669688333E-1,-3.894002380E0,1.848655701E-1,7.657476196E0,8.592692914E0
1.769018333E-1,-3.633544006E0,9.160949707E-2,8.066276093E0,8.847363695E0
1.868358332E-1,-2.396067352E0,7.499404907E-2,8.437653809E0,8.771588491E0
1.967698333E-1,-1.884880371E0,2.210902405E-1,1.100601288E1,1.116843652E1
2.067038333E-1,-4.086651764E0,-3.911366272E-1,1.453357727E1,1.510227065E1
2.166368333E-1,-7.650291138E0,-1.038091278E0,1.445394287E1,1.638661199E1
2.265708332E-1,-8.761430511E0,-3.993695068E-1,1.051308792E1,1.369113502E1
2.365048333E-1,-8.229885864E0,-5.375321960E-1,6.607409821E0,1.056777303E1
2.464388333E-1,-8.103847961E0,-1.826501770E0,4.935237122E0,9.662557940E0
2.563718333E-1,-9.286987610E0,-2.214045868E0,5.322930908E0,1.093086142E1
