"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.761500025E-3,-2.211201782E0,6.611002350E0,7.922425232E0,1.055270520E1
1.169550000E-2,-2.193987579E0,6.537505188E0,7.755073242E0,1.037755831E1
2.162849996E-2,-2.378853149E0,6.248755646E0,7.621850281E0,1.013895908E1
3.156249993E-2,-2.634521484E0,6.079906769E0,7.543413391E0,1.004037128E1
4.149550002E-2,-2.642604675E0,6.030808868E0,7.580087128E0,1.004050477E1
5.142949999E-2,-2.678080902E0,6.005960541E0,7.840395813E0,1.023305848E1
6.136249995E-2,-2.826422424E0,5.933062134E0,8.121211853E0,1.044719924E1
7.129649993E-2,-2.886746979E0,5.757177887E0,8.093669128E0,1.034339815E1
8.122950001E-2,-2.711760864E0,5.519921265E0,7.571854248E0,9.754801613E0
9.116349998E-2,-2.645149384E0,5.506299591E0,6.766528931E0,9.116033360E0
1.010964999E-1,-2.681673431E0,5.911656647E0,5.959557037E0,8.812228820E0
1.110305000E-1,-2.379002838E0,6.315067749E0,5.431754608E0,8.662776305E0
1.209635000E-1,-1.831591187E0,6.404880981E0,5.314248962E0,8.521647065E0
1.308975000E-1,-1.331930237E0,6.191873932E0,5.582042084E0,8.442306247E0
1.408314999E-1,-9.060658264E-1,5.982010345E0,5.943540344E0,8.481218950E0
1.507645000E-1,-4.800517273E-1,6.148913269E0,6.333928528E0,8.840714600E0
1.606985000E-1,-1.808239746E-1,6.474486237E0,6.647676086E0,9.281339703E0
1.706315000E-1,-6.885681152E-2,6.664890289E0,6.779252472E0,9.507037809E0
1.805654999E-1,-1.004411316E-1,6.886279907E0,6.700366516E0,9.608634181E0
1.904985000E-1,-1.516346741E-1,7.116650848E0,6.560856628E0,9.680627669E0
2.004325000E-1,1.474433899E-1,7.497458954E0,6.622977448E0,1.000487184E1
2.103655000E-1,1.129700775E0,8.197253723E0,7.057972870E0,1.087594472E1
2.202994999E-1,2.437980194E0,8.962163086E0,7.909851379E0,1.219958456E1
2.302325000E-1,2.869383087E0,9.098080444E0,8.655151520E0,1.288099666E1
2.401665000E-1,2.386636963E0,8.615034943E0,8.654403076E0,1.244240956E1
2.501005000E-1,1.308578796E0,8.091723175E0,7.843988342E0,1.134533012E1
2.600335000E-1,2.157014465E-1,7.790848846E0,6.635251923E0,1.023574232E1
2.699675000E-1,-4.159849548E-1,7.481292572E0,5.563181305E0,9.332297052E0
