"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.916583278E-3,-5.292843475E0,3.040028229E0,6.104605408E0,8.632622479E0
1.184958336E-2,-4.678970032E0,3.528462524E0,5.750441895E0,8.210383080E0
2.178358333E-2,-4.229454803E0,4.069587250E0,5.442083130E0,8.004130003E0
3.171658330E-2,-4.193978577E0,4.400848389E0,5.009482727E0,7.877299032E0
4.165058339E-2,-4.425547028E0,4.247567139E0,4.595593414E0,7.664644279E0
5.158458336E-2,-5.144052887E0,3.890709229E0,4.700824585E0,7.981018117E0
6.151758332E-2,-6.290518799E0,3.152294769E0,5.073848877E0,8.674764060E0
7.145158330E-2,-6.761140137E0,2.662812653E0,5.206024017E0,8.939030889E0
8.138458338E-2,-6.840325470E0,2.119592285E0,5.441783752E0,8.994205601E0
9.131858335E-2,-6.432573395E0,1.334025879E0,5.948480072E0,8.862394749E0
1.012515833E-1,-5.297633514E0,9.984237671E-1,6.533613281E0,8.470529699E0
1.111855833E-1,-3.973187714E0,1.441652069E0,7.435338135E0,8.552709189E0
1.211185834E-1,-2.643502808E0,2.235151978E0,8.478219452E0,9.157740798E0
1.310525833E-1,-2.265987854E0,2.431543579E0,8.836424561E0,9.440842343E0
1.409865833E-1,-2.745590515E0,1.766925659E0,7.711364136E0,8.374092810E0
1.509195834E-1,-2.281705170E0,1.294508057E0,5.906267853E0,6.462656539E0
1.608535834E-1,-2.000290375E0,1.365161133E-1,5.296585693E0,5.663357506E0
1.707865833E-1,-2.186054077E0,-5.108876038E-1,4.665797424E0,5.177789507E0
1.807205833E-1,-3.144361267E0,4.490661621E-1,5.033732300E0,5.952069309E0
1.906535834E-1,-3.794758759E0,1.325194244E0,5.567073212E0,6.866486581E0
2.005875834E-1,-3.457061005E0,2.627186737E0,6.875202942E0,8.131531002E0
2.105205833E-1,-2.266586609E0,2.855611725E0,8.527916107E0,9.274550464E0
2.204545833E-1,-1.842219086E0,1.963916016E0,7.716603241E0,8.172924988E0
2.303885834E-1,-1.974693604E0,1.251397705E0,6.418951721E0,6.831423881E0
2.403215833E-1,-1.724563751E0,1.170565796E0,7.948471069E0,8.217209791E0
2.502555833E-1,-4.830155640E0,1.045875092E0,9.004824371E0,1.027186060E1
2.601885833E-1,-9.068591766E0,6.676116943E-2,9.992919617E0,1.349452690E1
2.701225834E-1,-1.106558899E1,-2.185455322E0,9.387578430E0,1.467481187E1
2.800555833E-1,-1.020472916E1,-4.107458496E0,7.581434326E0,1.335985999E1
2.899895833E-1,-9.023834839E0,-4.547992401E0,6.809938660E0,1.218561015E1
2.999225834E-1,-8.593030701E0,-3.818708954E0,7.249275055E0,1.187327687E1
3.098565834E-1,-7.362888794E0,-2.803669739E0,6.516249390E0,1.022419686E1
3.197895833E-1,-6.318809967E0,-1.869312744E0,4.819976807E0,8.164181891E0
3.297235833E-1,-6.813680878E0,-3.697311401E-1,-6.877747650E0,9.688465356E0
3.396575834E-1,-7.900720367E0,-1.983375549E-1,-8.572822723E0,1.165993180E1
3.495905834E-1,-8.650511169E0,-5.075645142E0,-3.647614746E0,1.067232919E1
3.595245833E-1,-1.139714951E1,-9.346414032E0,-4.700525208E0,1.547079214E1
3.694575833E-1,-1.228285767E1,-8.704848175E0,1.456471252E0,1.512495563E1
3.793915834E-1,-6.077062683E0,-6.847660217E0,6.465654602E0,1.120829294E1
3.893245833E-1,-2.773282928E0,-6.510112152E0,7.692503357E0,1.045214171E1
3.992585833E-1,-5.200485535E0,-4.881648560E0,7.881560211E0,1.062988870E1
4.091915833E-1,-6.848857727E0,-5.159919891E0,6.938521271E0,1.103062568E1
4.191255834E-1,-7.906857605E0,-6.004014587E0,9.521699524E-1,9.973626019E0
4.290585833E-1,-6.000871124E0,-6.169420624E0,-7.463479614E-1,8.638821700E0
4.389925833E-1,-4.602329407E0,-6.145320740E0,1.975591736E0,7.927759183E0
4.489265833E-1,-6.676116943E0,-7.001091156E0,7.678731995E0,1.235106230E1
4.588588333E-1,-7.193291473E0,-6.270909576E0,1.175221115E1,1.513876534E1
4.687928334E-1,-6.266269226E0,-3.241658936E0,1.020742355E1,1.240830280E1
4.787258334E-1,-4.722978516E0,-1.597028961E0,7.583829346E0,9.075874344E0
4.886598333E-1,-4.015699310E0,-1.415306854E0,7.761060791E0,8.852287786E0
4.985928333E-1,-5.229674835E0,-1.952988739E0,7.335495758E0,9.218088843E0
5.085268334E-1,-8.551716614E0,-2.942580872E0,9.157955933E0,1.287085064E1
5.184598333E-1,-9.670639801E0,-4.618196411E0,7.753875732E0,1.322768314E1
5.283938333E-1,-1.033450928E1,-4.700225830E0,5.195994873E0,1.248569452E1
5.383278333E-1,-1.003453308E1,-5.496270447E0,3.869303741E0,1.207776281E1
5.482608334E-1,-1.023885818E1,-7.206763458E0,4.524191895E0,1.331315022E1
5.581948333E-1,-1.157243500E1,-8.305328979E0,5.970484314E0,1.544494818E1
5.681278333E-1,-1.276829819E1,-7.626939697E0,7.214846649E0,1.653038596E1
5.780618333E-1,-1.506033188E1,-6.749314728E0,7.022346954E0,1.793544542E1
5.879948334E-1,-1.745729736E1,-8.227790222E0,6.142027588E0,2.025285822E1
5.979288333E-1,-1.869911499E1,-1.040276733E1,4.205055542E0,2.180726855E1
6.078618333E-1,-1.911988998E1,-1.113264954E1,3.761976929E0,2.244233832E1
6.177958334E-1,-1.728844849E1,-9.963281250E0,4.945266266E0,2.055755537E1
6.277288334E-1,-1.628568375E1,-8.383616180E0,4.836592255E0,1.894468633E1
6.376628333E-1,-1.723964996E1,-7.752678223E0,3.729943542E0,1.926712302E1
6.475968333E-1,-1.384381165E1,-6.987619171E0,-1.049317932E-1,1.550770625E1
6.575298334E-1,-1.008602600E1,-7.131320343E0,-2.856659546E0,1.267849179E1
6.674638333E-1,-5.879772949E0,-6.884483643E0,-3.044967957E0,9.551946127E0
6.773968333E-1,-2.753524017E0,-6.759643250E0,5.752537537E-1,7.321583726E0
6.873308333E-1,-2.045346680E0,-5.708828430E0,3.558849335E0,7.031328016E0
6.972638334E-1,-3.700604553E0,-2.615361328E0,3.841311951E0,5.940561122E0
7.071978333E-1,-7.069648590E0,-1.673519897E0,3.223396912E0,7.948011555E0
7.171308333E-1,-8.445886688E0,-4.509073334E0,1.095422058E0,9.636632906E0
7.270648333E-1,-8.122559052E0,-5.891748047E0,-7.806266785E-1,1.006469267E1
7.369988334E-1,-7.576943665E0,-6.255341949E0,-7.792794800E-1,9.856300255E0
7.469318333E-1,-7.107819214E0,-5.018613739E0,-2.300715637E0,9.000048349E0
7.568658333E-1,-6.504873047E0,-3.936513977E0,-2.395318909E0,7.971641507E0
7.667988334E-1,-7.787555695E0,-4.027824097E0,7.791297913E-1,8.802069863E0
7.767328334E-1,-6.705755310E0,-3.043920135E0,-4.255650330E-1,7.376564896E0
7.866658333E-1,-5.347180481E0,-3.663930817E0,-2.118245087E0,6.819361434E0
7.965998333E-1,-5.291047211E0,-4.523293762E0,-6.533912659E-1,6.991586886E0
