"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.466458332E-3,-2.497556305E0,6.549929352E0,5.272485809E0,8.771457611E0
1.249945833E-2,-3.006497955E0,6.726711731E0,5.509592743E0,9.200178958E0
2.253345833E-2,-3.176095276E0,6.817872162E0,5.805227966E0,9.501138551E0
3.256645833E-2,-2.466271362E0,6.517446899E0,6.470744019E0,9.509476151E0
4.260045833E-2,-2.079924774E0,6.553222504E0,7.141349487E0,9.913106715E0
5.263345833E-2,-2.019151154E0,6.678362274E0,7.576494598E0,1.029955166E1
6.266745833E-2,-1.987716522E0,6.669979706E0,7.741451569E0,1.041007774E1
7.270045833E-2,-2.142344971E0,6.539451141E0,7.653883667E0,1.029252148E1
8.273445833E-2,-2.393522644E0,6.412664795E0,7.512577515E0,1.016317083E1
9.276745833E-2,-2.484084320E0,6.396947479E0,7.333100739E0,1.004320558E1
1.028014583E-1,-2.113904114E0,6.299799500E0,7.115303650E0,9.735687462E0
1.128344583E-1,-2.247276764E0,6.749165039E0,7.330705719E0,1.021473093E1
1.228684583E-1,-2.563419342E0,6.918912048E0,7.214098206E0,1.031918968E1
1.329014583E-1,-2.402653656E0,6.616989899E0,7.028184814E0,9.947496253E0
1.429354583E-1,-2.191293182E0,6.538852386E0,6.954987030E0,9.794396405E0
1.529684583E-1,-2.155517578E0,6.436914368E0,6.624025269E0,9.484610343E0
1.630024583E-1,-2.533780975E0,6.480324097E0,6.336024170E0,9.410624247E0
1.730354583E-1,-2.606230316E0,6.423292694E0,6.267317047E0,9.345072951E0
1.830695000E-1,-2.444267120E0,6.498885498E0,6.433770905E0,9.465905267E0
1.931035000E-1,-2.171683960E0,6.664890289E0,6.769822083E0,9.745125182E0
2.031365000E-1,-1.937570801E0,6.725364532E0,7.033723297E0,9.922599061E0
2.131705000E-1,-1.739083557E0,6.735842743E0,7.019203491E0,9.882570856E0
2.232035000E-1,-1.578018494E0,6.691684570E0,6.812932434E0,9.679092577E0
2.332375000E-1,-1.486408997E0,6.721772003E0,6.600673828E0,9.537322767E0
2.432705000E-1,-1.360221405E0,6.726562042E0,6.326743469E0,9.334051752E0
2.533045000E-1,-1.394200745E0,6.764882355E0,6.251300354E0,9.315910321E0
2.633375000E-1,-1.604663086E0,6.870263214E0,6.191275177E0,9.386551474E0
2.733715000E-1,-1.992207184E0,6.751560059E0,5.785768433E0,9.111946501E0
2.834045000E-1,-2.605781250E0,6.616690521E0,5.524561615E0,9.005080256E0
2.934385000E-1,-2.953657837E0,6.593339081E0,5.754184113E0,9.236170725E0
3.034715000E-1,-3.168461151E0,6.586902466E0,6.076613617E0,9.505349189E0
3.135055000E-1,-2.862647095E0,6.868766327E0,6.403084717E0,9.817035863E0
3.235385000E-1,-1.989961853E0,7.277865601E0,6.829847260E0,1.017713562E1
3.335725000E-1,-1.239123230E0,7.466174011E0,6.749015350E0,1.014043337E1
3.436055000E-1,-9.322613525E-1,7.582781525E0,6.152356110E0,9.809137199E0
3.536395000E-1,-8.560697937E-1,7.545209656E0,5.425916748E0,9.332931844E0
3.636725000E-1,-8.400531006E-1,7.576644287E0,5.028642883E0,9.132276666E0
3.737065000E-1,-8.065228271E-1,7.748037872E0,5.031337280E0,9.273452689E0
3.837395000E-1,-5.695655823E-1,7.770341492E0,4.938829651E0,9.224676155E0
3.937735000E-1,5.134323120E-2,7.818391571E0,4.857249298E0,9.204496381E0
4.038065000E-1,7.072792053E-1,7.939340057E0,4.747377777E0,9.277443623E0
4.138405000E-1,1.117725677E0,8.188721466E0,4.921615448E0,9.619083561E0
4.238745000E-1,1.310524750E0,8.246052246E0,5.466033325E0,9.979597841E0
4.339075000E-1,1.308578796E0,8.187523956E0,5.861061859E0,1.015381569E1
4.439415000E-1,1.523382111E0,8.183781738E0,5.975573730E0,1.024707070E1
4.539745000E-1,2.038460999E0,8.274343414E0,6.049220581E0,1.045050964E1
4.640085000E-1,2.592908020E0,8.438851318E0,5.802084503E0,1.056416434E1
4.740415000E-1,2.774630127E0,8.553363190E0,5.509293365E0,1.054565823E1
4.840755000E-1,2.948568420E0,8.558901672E0,5.167853394E0,1.042379788E1
4.941085000E-1,3.151696014E0,8.569978638E0,4.926854553E0,1.037552974E1
5.041425000E-1,3.509601746E0,8.717571716E0,4.766088867E0,1.053702824E1
5.141755000E-1,4.148772583E0,8.705297241E0,4.297263794E0,1.055750871E1
5.242095000E-1,4.347708893E0,8.661139069E0,3.599564667E0,1.033802536E1
5.342425000E-1,4.335883484E0,8.698561249E0,3.146307220E0,1.021587502E1
5.442765000E-1,4.731510773E0,8.579708405E0,2.929258575E0,1.022639459E1
5.543095000E-1,4.954097900E0,8.300538940E0,2.940185852E0,1.010379758E1
5.643435000E-1,5.088668060E0,8.243208160E0,3.042273560E0,1.015383926E1
5.743765000E-1,4.730462952E0,7.431146851E0,4.286186829E0,9.796459604E0
5.844105000E-1,4.759352875E0,7.808811493E0,4.555177460E0,1.021658546E1
5.944435000E-1,5.540428619E0,8.500822449E0,4.800068207E0,1.122501610E1
6.044775000E-1,6.412215729E0,8.524772644E0,4.607568512E0,1.161972232E1
6.145105000E-1,6.784042511E0,8.528365173E0,3.976331177E0,1.160032133E1
6.245445000E-1,6.584806824E0,8.410260773E0,3.781735840E0,1.133109408E1
