"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.253333336E-3,-4.153712311E0,5.147346039E0,6.436165924E0,9.228907249E0
8.780666663E-3,-3.977229309E0,5.040468292E0,6.784341888E0,9.340876214E0
1.881466667E-2,-3.692072296E0,5.170996857E0,6.839277649E0,9.335219606E0
2.884866666E-2,-3.683540039E0,5.285209351E0,6.941215668E0,9.470078144E0
3.888166666E-2,-3.740870819E0,5.167853394E0,7.000941467E0,9.471747706E0
4.891566667E-2,-3.693120117E0,4.989723816E0,7.175628204E0,9.488209530E0
5.894966667E-2,-3.211421814E0,4.844376068E0,7.390730896E0,9.402346129E0
6.898366666E-2,-2.305954742E0,4.725373535E0,7.789052582E0,9.397655157E0
7.901766666E-2,-1.471739502E0,4.510121155E0,8.341853027E0,9.596547396E0
8.905166667E-2,-7.912545776E-1,4.962330780E0,8.919202423E0,1.023733278E1
9.908566666E-2,1.758842468E-1,5.747897186E0,9.167236633E0,1.082162117E1
1.091196667E-1,1.005309448E0,5.711522827E0,9.109157410E0,1.079855957E1
1.191526667E-1,1.172960815E0,5.143304443E0,8.726852417E0,1.019741981E1
1.291866667E-1,8.828640747E-1,4.806953888E0,8.059240723E0,9.425370851E0
1.392206667E-1,5.448669434E-1,4.652624817E0,7.634723511E0,8.957276414E0
1.492546667E-1,5.638774109E-1,4.531526642E0,7.706274719E0,8.957642630E0
1.592886667E-1,1.292562103E0,4.622836761E0,7.692802734E0,9.067554821E0
1.693226667E-1,2.255210266E0,4.880301361E0,7.510930939E0,9.236741757E0
1.793566667E-1,2.773881683E0,5.042414246E0,7.375462646E0,9.355095417E0
1.893906667E-1,2.780767365E0,5.194947052E0,7.278614044E0,9.364740488E0
1.994236667E-1,2.650837555E0,5.448968811E0,7.433691559E0,9.590514639E0
2.094576667E-1,2.774929504E0,5.447471924E0,7.948022003E0,1.002727470E1
2.194916667E-1,2.794239349E0,5.231770477E0,8.460107117E0,1.033211538E1
2.295256667E-1,2.514321442E0,4.756508789E0,8.671168213E0,1.020467277E1
2.395596667E-1,2.219734039E0,4.098177795E0,8.796457672E0,9.954895681E0
2.495940000E-1,1.468596039E0,4.031117249E0,8.601562958E0,9.612157194E0
2.596280000E-1,1.388662262E0,4.530778198E0,8.145910492E0,9.424022055E0
2.696620000E-1,1.647174683E0,4.459676056E0,8.315058746E0,9.578209484E0
2.796950000E-1,1.884131927E0,4.618346100E0,8.201295319E0,9.598974879E0
2.897290000E-1,2.255509644E0,4.788841553E0,8.005203094E0,9.597062246E0
2.997630000E-1,2.339335327E0,4.522994385E0,8.068222046E0,9.540763856E0
3.097970000E-1,2.526446228E0,4.167184296E0,8.184081116E0,9.525100483E0
3.198310000E-1,2.928360443E0,3.889811096E0,8.438551941E0,9.742437278E0
3.298650000E-1,3.029250641E0,4.080364838E0,8.637039185E0,1.002118668E1
3.398990000E-1,2.925666046E0,4.130061493E0,8.611741791E0,9.988945211E0
3.499330000E-1,3.279230804E0,3.562890930E0,7.990982666E0,9.343626192E0
3.599660000E-1,3.377875671E0,3.255729675E0,7.726482697E0,9.039267372E0
3.700000000E-1,2.180216217E0,3.804937592E0,8.207282867E0,9.305395472E0
3.800340000E-1,1.483714600E0,3.802692261E0,8.630901947E0,9.547478508E0
3.900680000E-1,6.761439514E-1,4.203708344E0,9.223519592E0,1.015882120E1
4.001020000E-1,4.742138672E-1,4.876708832E0,9.301956482E0,1.051349429E1
4.101360000E-1,9.770182800E-1,4.981790314E0,8.855135651E0,1.020716547E1
4.201700000E-1,1.715283051E0,4.916825409E0,9.737251282E0,1.104225659E1
4.302040000E-1,3.022065582E0,5.565276947E0,1.030831375E1,1.209820318E1
4.402370000E-1,4.237238617E0,4.949607239E0,1.112202164E1,1.289000265E1
4.502710000E-1,6.566844177E-1,2.990331573E0,9.203610992E0,9.699472802E0
4.603050000E-1,-4.474195862E0,1.810634766E0,6.218817902E0,7.872135857E0
4.703390000E-1,-9.326056366E0,7.530839539E-1,4.468807068E0,1.036883308E1
4.803730000E-1,-9.572893066E0,-3.287164307E-1,4.665198669E0,1.065422051E1
4.904070000E-1,-5.190157013E0,7.643106079E-1,7.018455048E0,8.762454666E0
5.004410000E-1,-2.200424194E0,1.352587280E0,8.718020782E0,9.092592884E0
5.104750000E-1,-8.789721680E-1,1.390757904E0,9.389225006E0,9.532279152E0
5.205080000E-1,-4.572990417E-1,7.077282715E-1,1.001716919E1,1.005254596E1
5.305420000E-1,3.924838257E-1,-4.740641785E-1,1.051862640E1,1.053661624E1
5.405760000E-1,1.221759338E0,-1.125509491E0,9.719887390E0,9.860815300E0
5.506100000E-1,1.159937897E0,-1.688488770E0,8.525521088E0,8.768178834E0
5.606440000E-1,-2.098635864E-1,-2.075733490E0,7.699987793E0,7.977626480E0
5.706780000E-1,-2.078427887E0,-2.176923065E0,7.258705444E0,7.857968010E0
5.807120000E-1,-1.896705780E0,-2.653382263E0,6.305038605E0,7.098692982E0
5.907460000E-1,1.168919220E0,-3.884871368E0,5.940995636E0,7.194027164E0
6.007790000E-1,4.708309021E0,-5.738167419E0,5.620661774E0,9.310562708E0
6.108130000E-1,7.021897888E0,-7.399562531E0,4.798571320E0,1.127328090E1
6.208470000E-1,9.595645752E0,-7.700287170E0,5.199587402E0,1.335689144E1
6.308810000E-1,1.122949814E1,-7.376959534E0,6.846163330E0,1.507949312E1
6.409150000E-1,1.118264557E1,-7.191495209E0,8.112679596E0,1.557513196E1
6.509490000E-1,1.128892456E1,-7.162006531E0,8.394842834E0,1.578630867E1
6.609830000E-1,1.143966110E1,-6.576424255E0,8.469836884E0,1.567971106E1
6.710170000E-1,1.304177948E1,-6.096821594E0,9.029672699E0,1.699394700E1
6.810500000E-1,1.608989090E1,-6.066135406E0,9.895322571E0,1.983935475E1
6.910840000E-1,1.818822739E1,-5.160818024E0,1.120150635E1,2.197542724E1
7.011180000E-1,1.926164520E1,-3.403622131E0,1.283086807E1,2.339287915E1
7.111520000E-1,1.858699814E1,-1.211730194E0,1.416339706E1,2.339971381E1
7.211860000E-1,1.699445984E1,1.219663696E0,1.555759781E1,2.307245315E1
7.312200000E-1,1.567046310E1,3.283571777E0,1.652593414E1,2.300981870E1
7.412540000E-1,1.443223801E1,4.604874115E0,1.711121704E1,2.285362352E1
7.512880000E-1,1.273401947E1,6.087391205E0,1.719653961E1,2.224707977E1
7.613210000E-1,1.080138840E1,7.631580048E0,1.666873718E1,2.127810623E1
7.713550000E-1,9.091494141E0,8.488248596E0,1.566372711E1,2.000144937E1
7.813890000E-1,7.398664398E0,8.491841125E0,1.477577362E1,1.857888820E1
7.914230000E-1,5.620063019E0,7.993976440E0,1.472038879E1,1.766857702E1
8.014570000E-1,4.951553192E0,7.195985870E0,1.405816589E1,1.655089484E1
8.114910000E-1,4.692891083E0,5.984105988E0,1.236353989E1,1.451516000E1
8.215250000E-1,4.303251343E0,4.846022644E0,1.150103348E1,1.320135139E1
8.315590000E-1,3.814218292E0,4.101321259E0,1.074854828E1,1.212024700E1
8.415920000E-1,3.038980408E0,3.626957703E0,9.933493195E0,1.100293193E1
8.516260000E-1,2.797981567E0,2.933300171E0,9.092242584E0,9.954990003E0
8.616600000E-1,2.871778107E0,2.295626221E0,8.282426605E0,9.061765816E0
8.716940000E-1,3.272494812E0,1.422342224E0,7.141199799E0,7.983045425E0
8.817280000E-1,3.977828064E0,7.903564453E-2,5.477559357E0,6.770008807E0
8.917620000E-1,4.536616058E0,-9.544152832E-1,3.854484558E0,6.029000332E0
9.017960000E-1,5.561834106E0,-1.861977997E0,2.604883118E0,6.417661314E0
9.118300000E-1,6.348598022E0,-3.222349091E0,1.583556976E0,7.293550796E0
9.218630000E-1,6.510710907E0,-4.646337891E0,8.280780029E-1,8.041363410E0
9.318970000E-1,6.533313904E0,-6.259982300E0,3.305126953E-1,9.054325353E0
9.419310000E-1,6.776408386E0,-7.655230865E0,5.328918457E-2,1.022375224E1
9.519650000E-1,6.791077881E0,-9.218430176E0,1.098565521E0,1.150239279E1
9.619990000E-1,6.502178650E0,-1.027598099E1,3.334915009E0,1.260935250E1
9.720330000E-1,6.075116730E0,-9.512119446E0,6.029910736E0,1.279637773E1
9.820670000E-1,6.858437805E0,-8.037386169E0,5.981411591E0,1.214145915E1
9.921000000E-1,6.985074463E0,-7.395071869E0,4.633913727E0,1.117817112E1
1.002134000E0,7.803722076E0,-7.069049835E0,3.410507812E0,1.106802184E1
1.012168000E0,9.488468628E0,-6.732699280E0,3.014880524E0,1.201872627E1
1.022202000E0,1.077564194E1,-5.833818512E0,3.346441040E0,1.270222678E1
1.032236000E0,1.099852844E1,-4.943769379E0,3.181334381E0,1.247114157E1
1.042270000E0,1.118069962E1,-4.121828613E0,2.715353394E0,1.222172897E1
1.052304000E0,1.118683685E1,-2.748584290E0,2.381996613E0,1.176324540E1
1.062338000E0,1.087144272E1,-9.813592529E-1,2.421065369E0,1.118091634E1
1.072371000E0,9.911638641E0,8.809181213E-1,3.395838318E0,1.051419589E1
1.082405000E0,9.070986786E0,2.424957275E0,5.025649109E0,1.064989991E1
1.092439000E0,8.509055328E0,3.027454376E0,6.231242065E0,1.097259679E1
1.102473000E0,8.717272339E0,2.381248169E0,6.630162506E0,1.120804331E1
1.112507000E0,8.896000671E0,1.839075623E0,7.053182831E0,1.150080063E1
1.122541000E0,9.192983093E0,1.156794434E0,7.835156708E0,1.213419928E1
1.132575000E0,1.008288254E1,1.211730194E0,6.786736908E0,1.221444261E1
1.142609000E0,1.048943710E1,8.207432556E-1,6.173162842E0,1.219876427E1
1.152642000E0,9.846673737E0,-3.115022278E-1,6.595434723E0,1.185553780E1
1.162676000E0,9.126970367E0,-1.218615875E0,6.320007477E0,1.116821862E1
1.172710000E0,8.497978363E0,-1.730102234E0,4.649331665E0,9.839978401E0
1.182744000E0,7.697293396E0,-1.899100800E0,3.041824493E0,8.491619735E0
1.192778000E0,6.755451965E0,-1.921404419E0,2.001787262E0,7.303086912E0
1.202812000E0,6.087540894E0,-2.068847809E0,1.908082123E0,6.706643182E0
1.212846000E0,5.629343719E0,-2.386337585E0,1.983974304E0,6.428084615E0
1.222880000E0,5.132377167E0,-2.291584625E0,1.615889740E0,5.848397655E0
1.232913000E0,4.618944855E0,-2.102677460E0,1.499282227E0,5.291857072E0
1.242947000E0,4.292324066E0,-2.009720764E0,1.550176392E0,4.986589043E0
1.252980667E0,4.459825745E0,-1.819466400E0,2.014361115E0,5.220934241E0
1.263014667E0,4.673431549E0,-1.323098602E0,3.191213837E0,5.811660529E0
1.273048667E0,4.784650269E0,-1.502725067E0,4.923860779E0,7.028190791E0
1.283082667E0,4.986730042E0,-1.902393951E0,6.276448059E0,8.238955000E0
1.293116667E0,5.085075531E0,-1.553619232E0,6.489006042E0,8.389214820E0
1.303150667E0,5.586383057E0,-8.791218567E-1,5.504802704E0,7.891982242E0
1.313183667E0,5.807323608E0,-3.412902832E-1,4.304299164E0,7.236606791E0
1.323217667E0,6.454577637E0,-4.076023865E-1,4.004921722E0,7.607043458E0
1.333251667E0,6.893914032E0,-7.918533325E-1,4.326004028E0,8.177248512E0
1.343285667E0,8.215216370E0,-1.406924286E0,4.516707458E0,9.479971636E0
1.353319667E0,1.020218445E1,-2.512824554E0,2.021695862E0,1.069981817E1
1.363353667E0,1.130404312E1,-3.373834076E0,-3.619473267E-1,1.180233677E1
1.373387667E0,1.209559708E1,-3.310815125E0,1.715283051E0,1.265729676E1
1.383420667E0,1.358844269E1,-4.015399933E0,2.898722076E0,1.446277294E1
1.393454667E0,1.434332291E1,-5.204676819E0,3.971541138E0,1.576682314E1
1.403488667E0,1.426219162E1,-5.608536987E0,4.124373322E0,1.587060970E1
1.413522667E0,1.458986023E1,-4.970563660E0,3.140768738E0,1.573006525E1
1.423556667E0,1.522334290E1,-3.597019958E0,2.415676575E0,1.582795675E1
1.433590667E0,1.509146713E1,-2.772085419E0,3.089275818E0,1.565185174E1
1.443624667E0,1.500359985E1,-2.813100128E0,4.610711975E0,1.594616587E1
1.453658667E0,1.472862167E1,-2.909349976E0,5.450765076E0,1.597208357E1
1.463691667E0,1.444136902E1,-2.959046631E0,5.236261139E0,1.564376958E1
1.473725667E0,1.388916733E1,-2.746488647E0,4.486170959E0,1.485186516E1
1.483759667E0,1.311377975E1,-2.338886261E0,3.914958801E0,1.388411001E1
1.493793667E0,1.206146805E1,-2.102677460E0,3.800746307E0,1.281974791E1
1.503827667E0,1.065589096E1,-2.240391083E0,3.798650665E0,1.153243735E1
1.513861667E0,9.684860229E0,-2.450404358E0,3.450923767E0,1.056928919E1
1.523895667E0,8.637039185E0,-2.760858765E0,2.965183868E0,9.540078740E0
1.533929667E0,7.590415649E0,-3.148253174E0,2.366279297E0,8.551326534E0
1.543962667E0,6.414461060E0,-3.705544281E0,2.043400726E0,7.684520521E0
1.553996667E0,5.825435944E0,-4.620591431E0,1.864373016E0,7.665602119E0
1.564030667E0,5.530100098E0,-4.949906616E0,1.364113312E0,7.546150524E0
1.574064667E0,5.826932831E0,-5.115761719E0,9.903405762E-1,7.816964797E0
1.584098667E0,6.015091553E0,-5.867797852E0,1.427581329E0,8.523518432E0
1.594132667E0,5.989644470E0,-6.457721100E0,2.234403534E0,9.086834533E0
1.604166667E0,6.335425415E0,-6.463558960E0,2.700085144E0,9.444875298E0
1.614199667E0,8.152796173E0,-6.283333740E0,3.338956604E0,1.082113670E1
1.624233667E0,9.148974609E0,-5.890550537E0,3.792663116E0,1.152330749E1
1.634267667E0,8.714428253E0,-5.182971954E0,3.865561523E0,1.085113008E1
1.644301667E0,8.483608246E0,-4.720882874E0,4.067940674E0,1.052646595E1
1.654335667E0,8.294551392E0,-4.709656219E0,4.220174103E0,1.043025953E1
