"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.013916667E-3,6.218069458E-1,-5.149291992E-1,8.813522186E0,8.850421984E0
1.404791667E-2,1.279988251E0,-4.860392761E-1,8.879834290E0,8.984768284E0
2.408191667E-2,2.181114349E0,-6.252497864E-1,8.952583008E0,9.235634229E0
3.411591667E-2,2.552641754E0,-1.016087036E0,9.417965240E0,9.810529143E0
4.414991667E-2,2.342329102E0,-1.229094086E0,1.037522461E1,1.070712210E1
5.418291667E-2,2.058519287E0,-1.241218872E0,1.112726074E1,1.138393858E1
6.421691667E-2,1.980830841E0,-1.295256500E0,1.081650696E1,1.107240728E1
7.425091667E-2,1.708696747E0,-1.318308563E0,1.025038422E1,1.047511139E1
8.428491667E-2,1.526375885E0,-1.255888367E0,9.695637817E0,9.895073098E0
9.431891667E-2,1.508413239E0,-1.268162842E0,9.328601074E0,9.534481921E0
1.043529167E-1,1.767374725E0,-1.333277435E0,9.321416016E0,9.580711804E0
1.143859167E-1,1.964215393E0,-1.306483154E0,9.412277069E0,9.703401464E0
1.244199167E-1,2.075134735E0,-1.221160583E0,9.484726410E0,9.785573688E0
1.344539167E-1,2.044747925E0,-1.191971283E0,9.477990417E0,9.769037413E0
1.444879167E-1,1.904639282E0,-1.226699066E0,9.425599365E0,9.694037590E0
1.545219167E-1,2.070793762E0,-1.307530975E0,9.344168701E0,9.659778091E0
1.645559167E-1,2.469265137E0,-1.413959656E0,9.258846130E0,9.686216180E0
1.745889167E-1,2.574496307E0,-1.388961639E0,9.371262360E0,9.817219764E0
1.846229167E-1,2.374512177E0,-1.278191986E0,9.491911469E0,9.867546106E0
1.946569167E-1,2.300416260E0,-1.259929962E0,9.516909485E0,9.871722475E0
2.046909167E-1,2.340682526E0,-1.321152649E0,9.614506531E0,9.983134520E0
2.147249167E-1,2.334245911E0,-1.421144714E0,9.699080658E0,1.007673171E1
2.247579167E-1,2.116149445E0,-1.482966156E0,9.752220154E0,1.008875984E1
2.347919167E-1,1.943408661E0,-1.461560669E0,9.800120544E0,1.009729466E1
2.448259167E-1,1.925895081E0,-1.390308838E0,9.821825409E0,1.010496338E1
2.548599167E-1,1.956880646E0,-1.294358368E0,9.765392761E0,1.004328837E1
2.648939167E-1,1.975142670E0,-1.213227081E0,9.495653687E0,9.774484511E0
2.749279167E-1,1.973945160E0,-1.176852722E0,9.173822937E0,9.457297135E0
2.849609167E-1,1.756597137E0,-1.249451752E0,8.849896545E0,9.108646005E0
2.949949167E-1,1.313368835E0,-1.391955414E0,8.594228210E0,8.804728054E0
3.050289167E-1,6.236032104E-1,-1.608405304E0,8.916358337E0,9.081701084E0
3.150629167E-1,7.634124756E-3,-2.096091156E0,9.524393921E0,9.752319518E0
