"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.958154166E-2,-2.039957886E0,4.829407196E0,8.459059296E0,9.951898623E0
3.961654167E-2,-1.800455933E0,4.671934662E0,8.813522186E0,1.013640905E1
4.965154167E-2,-1.995650024E0,4.554129639E0,8.796757050E0,1.010473406E1
5.968654167E-2,-2.213896179E0,4.545896759E0,8.525221710E0,9.911907932E0
6.972154167E-2,-2.379601593E0,4.601580963E0,8.242759094E0,9.735508646E0
7.975654167E-2,-2.251168671E0,4.797673187E0,8.278385010E0,9.829399105E0
8.979154167E-2,-1.816322937E0,4.899760895E0,8.115823059E0,9.652630199E0
9.982654167E-2,-1.718127136E0,4.879403229E0,7.846083984E0,9.397955661E0
1.098615417E-1,-1.897005157E0,4.981191559E0,7.802225189E0,9.449106615E0
1.198965417E-1,-1.994452515E0,5.147645416E0,7.747738495E0,9.513335164E0
1.299315417E-1,-1.942660217E0,5.190157013E0,7.566465454E0,9.378862298E0
1.399665417E-1,-1.833088074E0,5.182223511E0,7.416327667E0,9.231336223E0
1.500015417E-1,-1.971400452E0,5.125042419E0,7.489375763E0,9.286723257E0
1.600365417E-1,-2.142494659E0,5.092559967E0,7.690407715E0,9.469256634E0
1.700715417E-1,-2.119143219E0,5.149890747E0,8.000113678E0,9.747510531E0
1.801065417E-1,-1.939217377E0,5.139262848E0,8.239615631E0,9.902719445E0
1.901415417E-1,-1.824406128E0,5.053191833E0,8.124654694E0,9.740288462E0
2.001765417E-1,-1.804198151E0,5.093757477E0,7.882907410E0,9.557286510E0
2.102115417E-1,-1.769470367E0,5.176984406E0,7.551795959E0,9.325331905E0
2.202465417E-1,-1.789828033E0,5.192402344E0,7.353608093E0,9.178239400E0
2.302815417E-1,-1.843715973E0,5.299878845E0,7.420668640E0,9.303457821E0
2.403165417E-1,-1.569635925E0,5.479205933E0,7.555837555E0,9.464467008E0
2.503515417E-1,-1.168170776E0,5.493875427E0,7.321574707E0,9.227824574E0
2.603865417E-1,-1.127305756E0,5.399571533E0,6.874005432E0,8.813520391E0
2.704215417E-1,-1.205592957E0,5.395380249E0,6.398743744E0,8.456210966E0
2.804565417E-1,-1.126557312E0,5.324278107E0,5.831273804E0,7.976266226E0
2.904915417E-1,-1.141526184E0,5.176984406E0,5.222340088E0,7.441578163E0
3.005265417E-1,-1.210981750E0,4.947810974E0,4.670288086E0,6.910781507E0
3.105615417E-1,-1.256487122E0,4.650978241E0,4.123624878E0,6.341501448E0
3.205965417E-1,-1.282682648E0,4.302502899E0,3.430865479E0,5.650455194E0
3.306315417E-1,-1.219663696E0,3.902384949E0,2.661615143E0,4.878563619E0
3.406655417E-1,-1.012195129E0,3.558549957E0,1.887125702E0,4.153198790E0
3.507005417E-1,-7.842192078E-1,3.310665436E0,1.197509766E0,3.606873304E0
3.607355417E-1,-4.595443726E-1,3.051703949E0,6.337820435E-1,3.150517053E0
3.707705417E-1,-1.718426514E-1,2.647095337E0,2.269281006E-1,2.662356096E0
3.808055417E-1,7.963439941E-2,2.039658508E0,-4.161346436E-2,2.041636635E0
3.908405417E-1,1.811233521E-1,1.382824402E0,-2.005828857E-1,1.408986334E0
4.008755417E-1,7.469467163E-2,9.530680847E-1,-1.085243225E-1,9.621307586E-1
4.109105417E-1,1.231938171E-1,6.336323547E-1,1.857637024E-1,6.716954895E-1
4.209455417E-1,7.506889343E-1,2.145039368E-1,5.629792786E-1,9.625442759E-1
4.309805417E-1,2.970422974E0,-1.073268127E-1,5.592370605E-1,3.024512816E0
4.410155417E-1,2.482437744E0,-3.848497009E-1,1.370998993E0,2.861860354E0
4.510505417E-1,1.983974304E0,-5.321434021E-1,2.315983887E0,3.095660189E0
4.610855417E-1,3.497476959E0,-9.737251282E-1,2.241438904E0,4.266677169E0
4.711205417E-1,4.220922546E0,-1.573527832E0,2.363884277E0,5.087251307E0
4.811555417E-1,4.020189972E0,-1.824555817E0,2.558928680E0,5.102846983E0
4.911905417E-1,4.248315582E0,-1.997146912E0,2.970872040E0,5.555435334E0
5.012255417E-1,6.022426300E0,-2.316432953E0,3.839665375E0,7.508562469E0
5.112605417E-1,7.590715027E0,-2.484832764E0,4.814438324E0,9.325886813E0
5.212955417E-1,9.345665588E0,-2.579885101E0,5.908064117E0,1.135352342E1
5.313305417E-1,1.100421661E1,-2.595901794E0,6.954238586E0,1.327376826E1
5.413655417E-1,1.224468704E1,-2.520009613E0,7.902217255E0,1.478945052E1
5.514005417E-1,1.262594421E1,-2.196232910E0,8.462951202E0,1.535771628E1
5.614355417E-1,1.226549377E1,-1.992356873E0,8.186326447E0,1.488044906E1
5.714705417E-1,1.165536255E1,-2.370021515E0,7.428901520E0,1.402330403E1
5.815055417E-1,1.132020950E1,-3.031945038E0,6.923702087E0,1.361166722E1
5.915405417E-1,1.118429214E1,-3.565884705E0,6.884034576E0,1.360859495E1
6.015755417E-1,1.175804901E1,-3.950285339E0,7.281158752E0,1.438303666E1
6.116095417E-1,1.248748215E1,-4.264182587E0,7.811805267E0,1.533443070E1
6.216455417E-1,1.293160858E1,-4.397405548E0,8.361761627E0,1.601507832E1
