"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.962916668E-3,-1.807341614E0,3.124003601E-1,8.906029816E0,9.092933782E0
1.499691667E-2,-1.361119537E0,2.963836670E-2,9.077423401E0,9.178950944E0
2.503091667E-2,-1.264121246E0,1.098715210E-1,9.457183685E0,9.541928397E0
3.506491667E-2,-1.566492462E0,2.383044434E-1,1.043809387E1,1.055767452E1
4.509891667E-2,-1.724414063E0,1.983375549E-1,1.153216873E1,1.166206917E1
5.513291667E-2,-1.750160522E0,3.966751099E-2,1.097876953E1,1.111746445E1
6.516691667E-2,-2.561623077E0,-3.137475586E-1,1.002585114E1,1.035268281E1
7.520091667E-2,-3.212769012E0,-6.230044556E-1,9.468110962E0,1.001774149E1
8.523591667E-2,-3.385659485E0,-5.819897461E-1,9.565258942E0,1.016344336E1
9.526991667E-2,-3.674858093E0,-4.541555786E-1,9.538614349E0,1.023210648E1
1.053039167E-1,-3.053051147E0,-3.376977539E-1,9.001531219E0,9.511189483E0
1.153379167E-1,-2.310894470E0,-1.242416382E-1,8.174351349E0,8.495627653E0
1.253719167E-1,-2.311642914E0,2.406994629E-1,7.724536743E0,8.066603814E0
1.354059167E-1,-2.214644623E0,4.974156189E-1,7.804021454E0,8.127411885E0
1.454399167E-1,-1.736688538E0,8.066725159E-1,7.793992310E0,8.025778700E0
1.554739167E-1,-2.592608643E-1,7.741900635E-1,9.204060059E0,9.240200648E0
1.655079167E-1,-7.165599060E-1,-2.154020691E-1,9.980645142E0,1.000865294E1
1.755419167E-1,-2.335593109E0,-4.950205994E-1,1.003079086E1,1.031100412E1
1.855759167E-1,-3.256627808E0,-2.395019531E-3,9.222621460E0,9.780714545E0
1.956099167E-1,-3.397784271E0,2.463876343E-1,9.683662720E0,1.026542588E1
2.056439167E-1,-3.029100952E0,3.891906738E-1,1.017239639E1,1.062094960E1
2.156779167E-1,-2.285746765E0,3.643423462E-1,1.009066635E1,1.035272578E1
2.257119167E-1,-2.121687927E0,1.302291870E-1,9.994117126E0,1.021767569E1
2.357459167E-1,-2.687361603E0,-5.387297058E-1,9.653575287E0,1.003512122E1
2.457799167E-1,-3.195255432E0,-1.067280579E0,8.956025848E0,9.568654247E0
2.558139167E-1,-3.228935394E0,-9.363029480E-1,8.644074554E0,9.274842958E0
2.658479167E-1,-3.829336853E0,-9.195378113E-1,8.367150421E0,9.247625462E0
2.758819167E-1,-3.939208374E0,-8.379574585E-1,8.050109711E0,9.001322218E0
2.859159167E-1,-3.388353882E0,-9.339079285E-1,7.951315155E0,8.693476793E0
2.959509167E-1,-3.494034119E0,-1.246607666E0,7.837701416E0,8.671324500E0
3.059849167E-1,-4.018543396E0,-1.507814484E0,8.142767029E0,9.204718922E0
3.160189167E-1,-4.828359375E0,-1.796564026E0,8.673114166E0,1.008779490E1
3.260529167E-1,-5.900879059E0,-1.863325195E0,9.329199829E0,1.119492402E1
3.360869167E-1,-6.087840271E0,-2.007176056E0,9.675280151E0,1.160610188E1
3.461209167E-1,-5.812712402E0,-1.972747650E0,1.007779312E1,1.180005394E1
3.561549167E-1,-5.754483490E0,-1.853296051E0,9.891730042E0,1.159289048E1
3.661889167E-1,-5.801785126E0,-2.249073029E0,9.210646362E0,1.111553177E1
3.762229167E-1,-5.806874542E0,-2.730172577E0,8.277337189E0,1.047320129E1
3.862569167E-1,-5.001249847E0,-2.709365845E0,7.741002502E0,9.606054500E0
3.962909167E-1,-3.691772919E0,-1.773661652E0,7.918383636E0,8.914923575E0
4.063249167E-1,-3.042423248E0,-1.420545959E-1,8.604107666E0,9.127277111E0
4.163589167E-1,-2.546504517E0,1.002315674E0,9.200018463E0,9.598419749E0
4.263929167E-1,-2.224224701E0,1.183139648E0,9.825268250E0,1.014312038E1
4.364269167E-1,-2.574645996E0,6.092330933E-1,9.652078400E0,1.000812592E1
4.464609167E-1,-3.928131409E0,-6.755451965E-1,7.658673706E0,8.633762830E0
4.564949167E-1,-4.519102478E0,-1.750609589E0,6.675218811E0,8.248967651E0
4.665289167E-1,-4.877756653E0,-1.691183167E0,6.512058105E0,8.310205246E0
4.765629167E-1,-4.102219391E0,-1.589394836E0,5.666466522E0,7.173787195E0
