"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.960250005E-3,5.493725739E0,-6.105802917E-1,7.363188171E0,9.207082645E0
1.789425000E-2,5.708978119E0,-8.803193665E-1,7.918233948E0,9.801317371E0
2.782725000E-2,6.015540619E0,-9.704319763E-1,8.546327820E0,1.049610339E1
3.776125000E-2,5.943091278E0,-1.046324158E0,8.856183472E0,1.071667457E1
4.769425000E-2,5.483247528E0,-1.008452911E0,8.753197632E0,1.037793089E1
5.762725000E-2,5.279371490E0,-6.840774536E-1,8.520731049E0,1.004701861E1
6.756025001E-2,5.197940826E0,-3.480262756E-1,8.275241547E0,9.778513884E0
7.749425000E-2,5.065017242E0,-2.372566223E-1,8.173752594E0,9.618779644E0
8.742725000E-2,5.076243896E0,-2.282752991E-1,8.130791931E0,9.588020606E0
9.736025000E-2,5.269791412E0,-3.129991150E-1,8.065976715E0,9.639950744E0
1.072942500E-1,5.611530762E0,-4.216731262E-1,7.955656128E0,9.744719090E0
1.172272500E-1,6.087091827E0,-4.670288086E-1,7.959398346E0,1.003109290E1
1.271602500E-1,6.306685181E0,-5.153782654E-1,8.156089325E0,1.032287197E1
1.370942500E-1,6.547234955E0,-6.658154297E-1,8.632548523E0,1.085497535E1
1.470272500E-1,6.780899048E0,-8.211923218E-1,9.010662231E0,1.130694400E1
1.569602500E-1,6.602470093E0,-9.662406921E-1,9.085805969E0,1.127289238E1
1.668943750E-1,6.228996735E0,-1.007554779E0,8.987610168E0,1.098147092E1
1.768273750E-1,5.744454346E0,-8.752299500E-1,8.803493042E0,1.054828294E1
1.867603750E-1,5.358706512E0,-6.256988525E-1,8.493787079E0,1.006238806E1
1.966943750E-1,5.198539581E0,-3.246748352E-1,8.152197418E0,9.674117545E0
2.066273750E-1,5.517526245E0,2.380050659E-2,7.925718384E0,9.657156633E0
2.165603750E-1,5.777984619E0,1.682501221E-1,7.595954132E0,9.545257123E0
2.264943750E-1,6.427184601E0,2.883004761E-1,7.134912872E0,9.607226486E0
2.364273750E-1,7.325616302E0,4.128414917E-1,7.079827423E0,1.019603102E1
2.463603750E-1,7.452552338E0,3.674858093E-1,7.224726105E0,1.038615663E1
2.562943750E-1,7.292235718E0,5.197192383E-1,7.686815186E0,1.060820143E1
2.662273750E-1,6.176306305E0,2.441423035E-1,7.888595581E0,1.002179152E1
2.761603750E-1,5.836512909E0,-3.631448364E-1,8.600664825E0,1.040039387E1
2.860943750E-1,5.834117889E0,-8.433462524E-1,7.299720154E0,9.382647749E0
2.960273750E-1,5.755980377E0,-1.558858337E0,5.895639954E0,8.385697340E0
3.059603750E-1,5.588478699E0,-1.470242615E0,7.006479950E0,9.082041004E0
3.158943750E-1,5.485792236E0,-6.500981140E-1,6.846313019E0,8.797075990E0
3.258273750E-1,5.677992554E0,-1.962419128E-1,4.893623657E0,7.498377346E0
3.357603750E-1,5.716911621E0,-3.088078308E-1,4.480782166E0,7.270202857E0
3.456943750E-1,5.745202789E0,-2.492317200E-1,6.050717468E0,8.347493841E0
3.556273750E-1,6.261030121E0,7.240443420E-1,8.183632050E0,1.032940327E1
3.655603750E-1,5.449567566E0,3.638932800E-1,7.455546112E0,9.242043757E0
3.754943750E-1,5.778283997E0,-2.153721313E0,7.703430634E0,9.867620025E0
3.854273750E-1,4.792733459E0,-5.389392700E0,4.668042755E0,8.591069250E0
3.953603750E-1,4.766238556E0,-7.156617737E0,4.197870483E0,9.568506884E0
4.052943750E-1,5.008434906E0,-7.757019196E0,2.791694641E0,9.646207855E0
4.152273750E-1,6.855144653E0,-7.550448761E0,2.653082886E0,1.053760568E1
4.251603750E-1,6.887627106E0,-5.312602386E0,3.229983215E0,9.278789945E0
4.350943750E-1,6.970854034E0,-3.419638824E0,2.806813202E0,8.256205909E0
4.450273750E-1,8.482710114E0,-2.096390533E0,1.968706055E0,8.956954151E0
4.549603750E-1,8.812923431E0,-1.766925659E0,1.844614105E0,9.175633324E0
4.648943750E-1,8.648714905E0,-2.201322327E0,4.520150299E0,1.000389165E1
4.748273750E-1,8.441695404E0,-2.876268768E0,5.186265106E0,1.031661229E1
4.847603750E-1,7.768994293E0,-4.033661957E0,3.316802673E0,9.361029916E0
4.946943750E-1,7.689210205E0,-4.705464935E0,2.550097046E0,9.368476332E0
5.046273750E-1,6.532715149E0,-4.485572205E0,2.524200897E0,8.316749088E0
5.145603750E-1,5.348976746E0,-4.203109589E0,2.641107788E0,7.297474412E0
5.244943750E-1,4.684358826E0,-3.972588959E0,2.688708801E0,6.704762163E0
5.344273750E-1,4.364024963E0,-4.024231567E0,2.309996338E0,6.369869439E0
5.443603750E-1,4.903203735E0,-3.586541748E0,1.583407288E0,6.277887162E0
5.542943750E-1,6.395450592E0,-2.792143707E0,1.175355835E0,7.076674084E0
5.642273750E-1,7.761060791E0,-2.030377808E0,1.368753662E0,8.138180708E0
5.741603750E-1,7.964637451E0,-2.001637573E0,1.357826385E0,8.323802929E0
5.840943750E-1,7.340884552E0,-2.561772766E0,1.253792725E0,7.875484868E0
5.940273750E-1,6.807843018E0,-2.789299622E0,1.742676086E0,7.560677144E0
6.039603750E-1,6.569538574E0,-3.567231903E0,2.801574097E0,7.983282404E0
6.138943750E-1,5.627098389E0,-5.233716431E0,2.726280670E0,8.154056061E0
6.238273750E-1,5.416186981E0,-5.309458923E0,2.455044708E0,7.971993477E0
6.337603750E-1,6.879693604E0,-6.273154907E0,2.490071869E0,9.637588624E0
6.436943750E-1,8.724307709E0,-8.401429138E0,2.669997711E0,1.240267892E1
6.536273750E-1,9.616153107E0,-8.705147552E0,3.073708191E0,1.333032920E1
6.635603750E-1,1.165820663E1,-7.295379181E0,3.171604614E0,1.411366059E1
6.734943750E-1,1.116393448E1,-7.713609467E0,2.632425842E0,1.382254933E1
6.834273750E-1,9.355395355E0,-8.357420654E0,2.847977600E0,1.286393714E1
6.933603750E-1,9.618548126E0,-7.385791168E0,3.193608856E0,1.254055488E1
7.032943750E-1,1.074061478E1,-7.024143219E0,2.464475098E0,1.306801558E1
7.132273750E-1,9.489217072E0,-7.001091156E0,2.260898438E0,1.200717201E1
7.231603750E-1,8.018375702E0,-7.161407776E0,2.199226685E0,1.097345471E1
7.330943750E-1,7.782466278E0,-7.189399567E0,2.641706543E0,1.091938006E1
7.430273750E-1,6.650071106E0,-6.696474609E0,2.700534210E0,9.816267260E0
7.529603750E-1,6.549031219E0,-5.820496216E0,3.016826477E0,9.266565065E0
7.628943750E-1,7.143894196E0,-5.171894989E0,3.865262146E0,9.629328819E0
7.728273750E-1,8.494984589E0,-4.208049316E0,4.429588623E0,1.046392362E1
7.827603750E-1,8.998986511E0,-3.796704712E0,5.443280640E0,1.118150388E1
7.926943750E-1,8.436306610E0,-4.461771698E0,4.813390503E0,1.068865773E1
8.026273750E-1,7.840395813E0,-5.629942474E0,4.152065735E0,1.050750725E1
8.125603750E-1,8.413104858E0,-5.819747772E0,4.847070465E0,1.132006579E1
8.224943750E-1,9.493258667E0,-5.558690643E0,4.596192169E0,1.192249908E1
8.324273750E-1,1.018317398E1,-4.973258057E0,3.995790710E0,1.201651661E1
8.423603750E-1,1.061143341E1,-4.039499817E0,4.005221100E0,1.204001137E1
8.522933750E-1,1.101828735E1,-4.093238068E0,4.227359161E0,1.249110962E1
8.622273750E-1,1.021161484E1,-4.599185944E0,4.277205505E0,1.198849765E1
8.721603750E-1,8.753197632E0,-5.070555725E0,4.162993011E0,1.093889917E1
8.820943750E-1,6.987918549E0,-5.930367737E0,3.663332062E0,9.870170664E0
8.920273750E-1,5.088518372E0,-6.644083557E0,2.677332458E0,8.786636138E0
9.019603750E-1,3.898792419E0,-6.866371307E0,1.862127686E0,8.112654114E0
9.118933750E-1,4.930147705E0,-7.064409485E0,2.536475372E0,8.980308741E0
9.218273750E-1,9.784552917E0,-8.790320435E0,5.527555389E0,1.426748323E1
9.317603750E-1,9.268725586E0,-9.981543274E0,4.780908051E0,1.443598150E1
9.416933750E-1,7.782466278E0,-9.826765137E0,4.056115265E0,1.317513436E1
9.516273750E-1,8.728648682E0,-8.194259949E0,2.726280670E0,1.227875442E1
9.615603750E-1,8.575816498E0,-7.598199463E0,2.515518951E0,1.173051999E1
9.714933750E-1,8.314609680E0,-6.741530914E0,3.220103760E0,1.117810545E1
9.814273750E-1,7.222181396E0,-6.909481659E0,3.202590179E0,1.049559073E1
9.913603750E-1,4.374203796E0,-5.986800385E0,2.519261169E0,7.830843795E0
1.001293375E0,2.622995453E0,-4.678970032E0,2.439926147E0,5.892885991E0
1.011227375E0,2.462080078E0,-4.815186768E0,3.250340881E0,6.309720894E0
1.021160375E0,3.226240997E0,-5.561085663E0,3.911066895E0,7.525340456E0
1.031093375E0,4.499792633E0,-6.264323273E0,5.489534454E0,9.467041160E0
1.041027375E0,4.912933502E0,-6.313271484E0,6.588549042E0,1.036355590E1
1.050960375E0,5.259612579E0,-6.164780273E0,6.929390259E0,1.066229289E1
1.060893375E0,5.237907715E0,-6.089935913E0,6.528972931E0,1.035135180E1
1.070827375E0,4.623585205E0,-5.863905945E0,6.118077393E0,9.653693804E0
1.080760375E0,3.734883270E0,-5.964347076E0,5.330714722E0,8.828324220E0
1.090693375E0,3.179388428E0,-6.362369385E0,4.766687622E0,8.562100551E0
1.100627375E0,2.656974792E0,-6.877298584E0,4.197271729E0,8.483739790E0
1.110560375E0,4.415817261E0,-7.947722626E0,3.917653198E0,9.900189069E0
1.120493375E0,5.949677582E0,-8.494086456E0,3.766916656E0,1.103348672E1
1.130427375E0,7.425009613E0,-8.219407654E0,3.455414429E0,1.160298749E1
1.140360375E0,9.067094879E0,-7.677384796E0,2.547103271E0,1.215080993E1
1.150293375E0,9.368567963E0,-6.469247131E0,1.745071106E0,1.151809434E1
1.160227375E0,7.842341766E0,-5.000351715E0,9.595046997E-1,9.350213416E0
1.170160125E0,6.723568268E0,-4.250111847E0,4.249662781E-1,7.965577022E0
1.180093125E0,5.683531036E0,-3.841311951E0,3.384461975E-1,6.868242015E0
1.190027125E0,3.963008881E0,-3.414549408E0,5.719606018E-1,5.262292844E0
1.199960125E0,2.900518341E0,-2.986888733E0,1.066981201E0,4.298018129E0
1.209893125E0,3.261866913E0,-3.024161224E0,1.838327179E0,4.812979710E0
1.219827125E0,3.602259064E0,-3.461851044E0,2.248324585E0,5.478653708E0
1.229760125E0,2.443219299E0,-3.736529846E0,2.382146301E0,5.060197312E0
1.239693125E0,1.525178375E0,-4.906796265E0,3.411855011E0,6.167947250E0
1.249627125E0,1.584155731E0,-7.039710846E0,4.842130737E0,8.689839369E0
1.259560125E0,2.105820923E0,-7.934999084E0,4.652475128E0,9.436324340E0
1.269493125E0,3.049009552E0,-8.204139404E0,3.787573700E0,9.536774987E0
1.279427125E0,4.221970367E0,-8.680448914E0,3.234174500E0,1.018013319E1
1.289360125E0,4.590204620E0,-8.489296417E0,2.657872925E0,1.001011591E1
1.299293125E0,4.085304565E0,-7.459288330E0,2.055375824E0,8.749586594E0
1.309227125E0,4.169729004E0,-6.916517029E0,2.591860199E0,8.481897610E0
1.319160125E0,4.542902985E0,-7.582033081E0,3.742517395E0,9.598522262E0
1.329093125E0,4.308191071E0,-8.537645874E0,2.686463470E0,9.933226734E0
1.339027125E0,4.300107880E0,-1.112666199E1,3.894750824E0,1.254841100E1
1.348960125E0,3.542533264E0,-1.377091324E1,4.430037689E0,1.489338200E1
