"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.897083342E-4,-2.303260345E0,7.875273285E0,3.417992249E0,8.888622421E0
1.072370834E-2,-2.084415436E0,7.529192963E0,3.414848785E0,8.526120255E0
2.065670834E-2,-1.906136169E0,7.283254395E0,3.736230469E0,8.404675353E0
3.058970833E-2,-2.501298523E0,7.254663849E0,4.725523224E0,9.012059232E0
4.052270833E-2,-1.963017883E0,7.549101563E0,5.325176239E0,9.444568576E0
5.045670833E-2,-1.893861694E0,7.422913971E0,5.593119049E0,9.485217163E0
6.038970833E-2,-1.937570801E0,7.218738556E0,5.943989410E0,9.549627064E0
7.032270834E-2,-1.943558350E0,7.457791443E0,6.194119263E0,9.887526774E0
8.025670833E-2,-1.963167572E0,7.711962891E0,6.018235016E0,9.977351916E0
9.018970833E-2,-1.971849518E0,7.640411682E0,5.042414246E0,9.364295095E0
1.001227083E-1,-2.068698120E0,7.523804169E0,3.638633423E0,8.609691880E0
1.100567083E-1,-1.929936676E0,7.261100464E0,2.443219299E0,7.900478217E0
1.199897083E-1,-1.067879333E0,6.463858337E0,1.660347290E0,6.758593345E0
1.299227083E-1,-1.263821869E0,6.026168518E0,1.396595764E0,6.313670284E0
1.398567083E-1,-1.690285034E0,5.775888977E0,2.341730347E0,6.457682091E0
1.497897083E-1,-1.629511414E0,5.157375183E0,3.012335815E0,6.190960611E0
1.597227083E-1,1.851649475E-1,3.583847351E0,2.888543243E0,4.606726600E0
1.696567083E-1,5.704637146E-1,3.081342316E0,2.794089661E0,4.198456424E0
1.795897083E-1,2.320175171E-2,2.516866150E0,2.360291748E0,3.450526144E0
1.895227083E-1,6.399192810E-1,2.433639221E0,2.149230652E0,3.309273174E0
1.994557083E-1,1.750010834E0,2.371817780E0,1.508113861E0,3.310961328E0
2.093897083E-1,-2.679428101E-1,2.614463196E0,1.000669098E0,2.812214394E0
2.193227083E-1,-3.157533875E0,2.366129608E0,6.152206421E-1,3.993380264E0
2.292557083E-1,-2.217788086E0,1.486109619E0,-2.374063110E-1,2.680199163E0
2.391897083E-1,1.980381775E-1,-4.757107544E-1,-6.242019653E-2,5.190531018E-1
2.491227083E-1,1.566342773E0,-2.342778168E0,9.214837646E-1,2.964990987E0
2.590557083E-1,2.249671783E0,-4.676874390E0,2.578986969E0,5.795286962E0
2.689897083E-1,2.680775299E0,-9.062005463E0,4.746329956E0,1.057516654E1
2.789227083E-1,2.413730621E0,-1.133772308E1,7.234156494E0,1.366393356E1
2.888557083E-1,5.607339478E-1,-9.330397339E0,1.105121887E1,1.447412089E1
2.987897083E-1,-1.483415222E0,-5.960904236E0,1.578916626E1,1.694197955E1
