"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.229749992E-3,-4.177063751E0,5.200335846E0,6.744824066E0,9.485989995E0
8.703249972E-3,-3.976181488E0,5.031187592E0,6.474635925E0,9.112835902E0
1.863724994E-2,-3.805236969E0,5.040168915E0,6.545289001E0,9.095270155E0
2.857025003E-2,-4.004173279E0,5.131329346E0,6.951244812E0,9.522801528E0
3.850425000E-2,-4.185895386E0,5.375321960E0,7.237000580E0,9.939315054E0
4.843724996E-2,-4.432432709E0,5.432353363E0,7.064858551E0,9.953348639E0
5.837025004E-2,-4.365072784E0,5.536686401E0,6.585255890E0,9.647504955E0
6.830425002E-2,-3.100502472E0,5.536237335E0,5.839656372E0,8.623492677E0
7.823724998E-2,-2.725981293E0,5.189857635E0,5.883964233E0,8.305819128E0
8.817124995E-2,-3.328628082E0,5.185816040E0,6.203699341E0,8.744045884E0
9.810425004E-2,-3.605851593E0,5.126539307E0,6.873256989E0,9.301894033E0
1.080382500E-1,-3.162174225E0,4.787344666E0,6.846313019E0,8.932525775E0
1.179712500E-1,-2.336790619E0,4.971461792E0,7.270680542E0,9.112563761E0
1.279052499E-1,-2.658920746E0,4.896467743E0,7.265441437E0,9.155975926E0
1.378389583E-1,-3.172802124E0,4.455035706E0,6.839726715E0,8.757618283E0
1.477729583E-1,-3.176394653E0,4.064647522E0,6.463858337E0,8.269964152E0
1.577059584E-1,-2.917882233E0,3.662433929E0,5.947132874E0,7.569402118E0
1.676389583E-1,-2.988834686E0,2.885699158E0,5.489384766E0,6.884310969E0
1.775729583E-1,-3.201392670E0,2.033371582E0,5.546715546E0,6.719342852E0
1.875059584E-1,-4.014352112E0,1.113983459E0,7.269782410E0,8.378885267E0
1.974399583E-1,-5.174439697E0,3.938310242E-1,1.244062958E1,1.347958432E1
2.073729583E-1,-4.839436340E0,8.961863708E-1,1.537407944E1,1.614266436E1
2.173069583E-1,-4.426744537E0,2.061962128E0,1.504117172E1,1.581406342E1
2.272399584E-1,-5.432503052E0,2.722239075E0,1.374831024E1,1.503125775E1
2.371739583E-1,-6.608607330E0,1.937570801E0,1.126602219E1,1.320420870E1
2.471069583E-1,-6.925198975E0,1.209335175E0,9.169631653E0,1.155435057E1
2.570409583E-1,-6.458768921E0,9.095086670E-1,8.532107391E0,1.073963493E1
2.669739584E-1,-5.993686066E0,9.053173828E-1,8.267906799E0,1.025193421E1
2.769069583E-1,-7.841892700E0,7.126679993E-1,7.653434601E0,1.098081226E1
2.868409583E-1,-7.388186188E0,1.834285583E0,5.943839722E0,9.658112102E0
2.967739584E-1,-4.515060883E0,2.537523193E0,2.945574646E0,5.958289077E0
3.067079583E-1,1.254241791E0,4.336033173E0,-1.766775970E0,4.847246999E0
3.166409583E-1,3.042722626E0,3.632496185E0,4.281247101E0,6.386099455E0
3.265749583E-1,6.270460510E-1,1.009351044E0,1.148217270E1,1.154349454E1
3.365079584E-1,-6.348298645E-1,1.062490540E0,1.462368988E1,1.467597359E1
3.464419583E-1,3.420536957E0,2.058070221E0,1.367241806E1,1.424327005E1
3.563749583E-1,7.311844940E0,3.102598114E0,1.130808472E1,1.381889907E1
3.663079584E-1,7.907156982E0,2.674039307E0,9.407187653E0,1.257651769E1
3.762419584E-1,6.409221954E0,1.609153748E0,7.347770233E0,9.882167234E0
3.861749583E-1,4.902155914E0,8.279283142E-1,5.860762482E0,7.685384491E0
3.961089583E-1,3.857777710E0,6.002517700E-2,4.915029144E0,6.248484886E0
4.060419584E-1,3.281476135E0,-9.857002258E-1,3.481759644E0,4.884909495E0
4.159759583E-1,2.323767700E0,-1.897753601E0,1.808389435E0,3.503089694E0
4.259089583E-1,1.918560333E0,-2.506687317E0,9.363029480E-1,3.292570161E0
4.358429583E-1,2.910846863E0,-2.753074951E0,1.008003845E0,4.131406891E0
4.457759584E-1,3.946543121E0,-3.010539551E0,2.090702362E0,5.386054898E0
4.557099583E-1,3.140169983E0,-3.638932800E0,3.011587372E0,5.672050594E0
4.656429583E-1,1.450334015E0,-4.938230896E0,3.478466492E0,6.212030447E0
4.755769583E-1,-1.152603149E-1,-6.582262115E0,2.807112579E0,7.156768861E0
4.855099584E-1,-2.580633545E0,-7.137307892E0,2.009421387E0,7.851025904E0
4.954429583E-1,-4.184548187E0,-8.396190033E0,1.639241180E0,9.523316767E0
5.053769583E-1,-4.558620300E0,-1.006447083E1,2.420466614E0,1.131075818E1
5.153099584E-1,-4.996160431E0,-1.103834564E1,3.400029602E0,1.258439092E1
5.252439583E-1,-5.741161194E0,-1.127934448E1,4.674479370E0,1.349204585E1
5.351769583E-1,-6.458020477E0,-1.158560760E1,6.500981140E0,1.477142809E1
5.451109583E-1,-7.727380829E0,-1.184127594E1,8.221203918E0,1.635592933E1
5.550439584E-1,-9.319320374E0,-1.246592697E1,9.141939240E0,1.805059890E1
5.649779583E-1,-1.050575317E1,-1.297367111E1,9.383087769E0,1.915017827E1
5.749109583E-1,-1.142035126E1,-1.377959518E1,8.916058960E0,1.999494370E1
5.848439584E-1,-1.223989700E1,-1.445394287E1,8.329578552E0,2.069090191E1
5.947779584E-1,-1.304836578E1,-1.480137039E1,9.044940948E0,2.170602156E1
6.047109583E-1,-1.305061111E1,-1.491752884E1,1.026146118E1,2.231924512E1
6.146449583E-1,-1.287083496E1,-1.489866806E1,1.076187057E1,2.243761487E1
6.245779584E-1,-1.318054092E1,-1.472562790E1,1.073507629E1,2.249027877E1
6.345119583E-1,-1.370984024E1,-1.486034775E1,1.041803558E1,2.274478226E1
6.444449583E-1,-1.386910904E1,-1.513831970E1,9.912985840E0,2.279886395E1
6.543789583E-1,-1.351374802E1,-1.515373764E1,9.677525482E0,2.249247984E1
6.643119584E-1,-1.348126556E1,-1.515703079E1,9.989476776E0,2.261127484E1
6.742459583E-1,-1.363140335E1,-1.485615646E1,1.122725281E1,2.307751607E1
6.841789583E-1,-1.331556015E1,-1.373513763E1,1.297456924E1,2.311487822E1
6.941119584E-1,-1.259570709E1,-1.234677475E1,1.430904419E1,2.271218681E1
7.040459584E-1,-1.238644226E1,-1.121138580E1,1.532153870E1,2.266867159E1
7.139789583E-1,-1.263462616E1,-1.015278717E1,1.550685333E1,2.243157074E1
7.239129583E-1,-1.196222443E1,-9.561367035E0,1.445708633E1,2.105995959E1
7.338459584E-1,-8.800798645E0,-9.078920288E0,1.299657349E1,1.813261627E1
7.437799583E-1,-5.331463165E0,-7.865543518E0,1.295570847E1,1.606678736E1
7.537129583E-1,-4.264182587E0,-8.055199127E0,1.371702530E1,1.646894864E1
7.636469583E-1,-5.784570923E0,-8.250842285E0,1.432476151E1,1.751389310E1
7.735799584E-1,-7.360493774E0,-7.402705994E0,1.396356262E1,1.743439146E1
7.835139583E-1,-7.918084259E0,-6.371500397E0,1.275841873E1,1.631163156E1
7.934469583E-1,-4.992118835E0,-7.361391907E0,1.158830200E1,1.460821976E1
8.033799584E-1,3.416345673E0,-8.509953461E0,1.480960327E1,1.741881381E1
8.133139584E-1,3.215613098E0,-6.683002625E0,1.657697800E1,1.816036594E1
8.232469583E-1,-4.324507141E-1,-4.550537109E0,7.350015564E0,8.655468237E0
8.331809583E-1,-5.821843414E0,-6.054908752E0,3.716920624E0,9.185384024E0
8.431139584E-1,-8.872798920E0,-6.845564575E0,2.349514160E0,1.145026339E1
8.530479583E-1,-7.333250427E0,-8.306077423E0,1.018482056E0,1.112676007E1
8.629809583E-1,-5.035079498E0,-1.055215668E1,-9.030720520E-1,1.172670351E1
