"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.561958336E-3,-5.170248413E0,5.741310883E0,1.019829254E1,1.279450234E1
1.149595834E-2,-4.356540527E0,4.779710541E0,1.171164551E1,1.337862918E1
2.142895834E-2,-3.225941620E0,4.414470062E0,1.265213974E1,1.378299261E1
3.136195833E-2,-2.606380005E0,4.723577271E0,1.267564087E1,1.377596713E1
4.129495833E-2,-1.751956787E0,4.589605865E0,1.071082672E1,1.178370246E1
5.122895833E-2,-1.487157440E0,3.370840302E0,7.881859589E0,8.700454710E0
6.116195834E-2,-2.106719055E0,2.786605225E0,6.343209229E0,7.241528649E0
7.109495834E-2,-2.577639771E0,3.114423523E0,6.011648712E0,7.244569063E0
8.102795834E-2,-2.367626495E0,3.374582520E0,6.362070007E0,7.580857285E0
9.096195833E-2,-1.532812500E0,3.012335815E0,7.122788086E0,7.884021267E0
1.008949583E-1,-4.948709106E-1,2.265538788E0,7.395820313E0,7.750852941E0
1.108279583E-1,5.192701721E-1,1.337768097E0,6.092480621E0,6.259200038E0
1.207619583E-1,-1.484912109E-1,1.455423431E0,5.323080597E0,5.520461398E0
1.306949583E-1,-8.021818542E-1,1.984273682E0,4.966222687E0,5.407791189E0
1.406279583E-1,-7.255412292E-1,2.296075287E0,4.499942322E0,5.103709700E0
1.505609583E-1,-3.329077148E-1,2.347568207E0,4.094285889E0,4.731287454E0
1.604949583E-1,1.672023010E-1,2.184706879E0,3.821403351E0,4.404999923E0
1.704279583E-1,8.173004150E-1,1.913470917E0,3.790268097E0,4.323827374E0
1.803609583E-1,1.063538361E0,1.699715424E0,4.150119781E0,4.609082400E0
1.902939583E-1,8.381071472E-1,1.537901917E0,4.532574463E0,4.859197172E0
2.002279583E-1,3.703298950E-1,1.515598297E0,4.319118347E0,4.592272392E0
2.101609583E-1,-1.296304321E-1,1.398691406E0,3.693868561E0,3.951937075E0
2.200939583E-1,1.137634277E-2,1.338217163E0,3.171005859E0,3.441835667E0
2.300269583E-1,1.137484589E0,1.259331207E0,3.285068665E0,3.697494072E0
2.399609583E-1,1.574276276E0,8.770262146E-1,5.246589661E0,5.547452013E0
2.498939583E-1,1.210233307E0,9.163943481E-1,6.621181183E0,6.792973098E0
2.598269583E-1,1.201701050E0,7.075785828E-1,5.943540344E0,6.104950834E0
2.697609583E-1,1.043330383E-1,5.269042969E-1,7.132368164E0,7.152565215E0
2.796939583E-1,-1.899549866E-1,7.358697510E-1,6.530320129E0,6.574394891E0
2.896269583E-1,-2.441123657E0,1.306034088E0,5.951473846E0,6.563905141E0
2.995599583E-1,-3.928730164E0,1.703906708E0,5.451962585E0,6.932684531E0
3.094939583E-1,-2.638263702E0,1.419198761E0,4.362079010E0,5.291719359E0
3.194269583E-1,-1.296004944E0,2.593207397E0,4.574936371E0,5.416123726E0
3.293599583E-1,-3.629951477E-1,3.835474091E0,5.360802155E0,6.601577593E0
3.392929583E-1,6.911128235E-1,3.758833466E0,5.076842651E0,6.354588678E0
3.492269583E-1,1.179846497E0,3.114423523E0,4.916526031E0,5.938341507E0
3.591599583E-1,1.471589813E0,2.125280457E0,4.237687683E0,4.963908792E0
3.690929583E-1,1.604513397E0,-9.984237671E-2,4.862638092E0,5.121492063E0
3.790259583E-1,1.644180908E0,-2.463576965E0,5.854026489E0,6.560653051E0
3.889599583E-1,4.529431000E0,-3.307372284E0,3.788172455E0,6.767917490E0
3.988929583E-1,6.305038605E0,-3.334166565E0,1.296903076E0,7.249285212E0
4.088259583E-1,8.201894073E0,-3.427572327E0,2.520758057E-1,8.892854472E0
4.187599583E-1,1.191851532E1,-4.272864532E0,-7.065307617E-2,1.266149164E1
4.286929583E-1,1.508518021E1,-5.505251770E0,1.032852173E-2,1.605834878E1
4.386259583E-1,1.706750793E1,-7.236252136E0,1.344653778E0,1.858685734E1
4.485589583E-1,1.836216568E1,-8.752598877E0,4.059857483E0,2.074269892E1
4.584929583E-1,1.875509857E1,-9.024283905E0,4.986730042E0,2.140231060E1
4.684259583E-1,1.824211533E1,-8.947942657E0,5.118156738E0,2.095318538E1
4.783589583E-1,1.751732254E1,-8.906778259E0,6.015989685E0,2.055187144E1
4.882919583E-1,1.676708267E1,-8.466693420E0,7.267088013E0,2.014027127E1
4.982259583E-1,1.620066055E1,-7.544161835E0,8.723858643E0,1.988671641E1
5.081589583E-1,1.640483597E1,-6.165229340E0,1.005848328E1,2.020647871E1
5.180919583E-1,1.649584671E1,-4.112248535E0,1.019455032E1,1.982302709E1
5.280249583E-1,1.631068176E1,-2.107916565E0,9.252259827E0,1.887024016E1
5.379589583E-1,1.593616058E1,-7.774832153E-1,7.528145142E0,1.764195748E1
5.478919583E-1,1.478834747E1,-1.011895752E-1,5.138514404E0,1.565598258E1
5.578249583E-1,1.307396255E1,3.592529297E-3,2.879412231E0,1.338728967E1
5.677579583E-1,1.127305756E1,-1.669029236E-1,1.175655212E0,1.133542449E1
5.776919583E-1,9.668095093E0,-3.420387268E-1,-4.864883423E-2,9.674265860E0
5.876249583E-1,8.617579651E0,-3.424877930E-1,-8.532257080E-1,8.666485507E0
5.975579583E-1,8.042026520E0,-1.827699280E-1,-1.262624359E0,8.142592687E0
6.074919583E-1,7.576943665E0,2.290237427E-1,-1.516047363E0,7.730519179E0
6.174249583E-1,7.413932648E0,7.011419678E-1,-1.577270050E0,7.612212436E0
6.273579583E-1,7.442373505E0,1.075363770E0,-1.320703583E0,7.634761854E0
6.372909583E-1,7.507937164E0,1.448537750E0,-7.105723572E-1,7.679342104E0
6.472249583E-1,7.453749847E0,1.820364532E0,-2.424957275E-2,7.672854870E0
6.571579583E-1,7.078480225E0,2.230361938E0,5.209167480E-1,7.439808527E0
6.670909167E-1,6.549330597E0,2.324216766E0,8.138575745E-1,6.997005002E0
6.770239167E-1,6.046675873E0,1.948647766E0,7.557783508E-1,6.397711946E0
6.869579167E-1,5.911506958E0,1.142574005E0,4.269122314E-1,6.036028821E0
6.968909167E-1,6.083798676E0,-2.005828857E-2,1.444496155E-1,6.085546348E0
7.068239167E-1,6.633156281E0,-1.166374512E0,2.872526550E-1,6.741046345E0
7.167569167E-1,8.083789673E0,-2.958747253E0,7.521858215E-1,8.641043010E0
7.266909167E-1,1.010922775E1,-5.980363770E0,1.506317596E0,1.184188453E1
7.366239167E-1,1.206401276E1,-1.010428802E1,2.838846588E0,1.599050000E1
7.465569167E-1,1.377106293E1,-1.555415497E1,4.819677429E0,2.132611548E1
7.564909167E-1,1.560025909E1,-2.161295563E1,7.008575592E0,2.756098813E1
7.664239167E-1,1.476424759E1,-2.345592316E1,8.238567810E0,2.891431026E1
7.763569167E-1,1.370295456E1,-2.148377426E1,8.837173004E0,2.697070905E1
