"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.342083358E-4,-2.284848633E0,3.883524170E0,7.982300720E0,9.166210670E0
1.086720834E-2,-2.105521545E0,3.520678711E0,7.496411133E0,8.545442027E0
2.080116667E-2,-1.718576202E0,3.333418121E0,7.233408051E0,8.147844657E0
3.073416667E-2,-1.444645844E0,3.366499329E0,7.214547272E0,8.091354131E0
4.066716666E-2,-1.297651520E0,3.454067230E0,7.317533112E0,8.195167523E0
5.060116667E-2,-1.122515717E0,3.437601471E0,7.476801910E0,8.305402592E0
6.053416667E-2,-1.116079102E0,3.242856445E0,7.619305573E0,8.355571069E0
7.046716667E-2,-1.084045715E0,2.893782349E0,7.635471954E0,8.237084640E0
8.040116667E-2,-9.035211182E-1,2.316582642E0,7.054230652E0,7.479644085E0
9.033416667E-2,-3.144960022E-1,1.538650360E0,6.729555817E0,6.910374386E0
1.002671667E-1,1.202000427E-1,6.676116943E-1,6.402186584E0,6.438023492E0
1.102011667E-1,7.563771057E-1,-1.071771240E-1,6.240522766E0,6.287107257E0
1.201341667E-1,1.549278259E0,-1.136736145E0,6.537804565E0,6.814346684E0
1.300671667E-1,1.933828583E0,-2.230661316E0,6.854695587E0,7.463403680E0
1.400011667E-1,1.800605621E0,-3.240162048E0,6.758296051E0,7.708138311E0
1.499341667E-1,1.574875031E0,-4.138294373E0,6.413113861E0,7.793185553E0
1.598671667E-1,1.098565521E0,-4.907395020E0,6.227948914E0,8.004793548E0
1.698011667E-1,8.584648132E-1,-5.364095306E0,6.691534882E0,8.618997585E0
1.797341667E-1,1.588197327E0,-5.807323608E0,7.993527374E0,1.000719032E1
1.896671667E-1,1.323397980E0,-5.272336121E0,1.096978821E1,1.224275964E1
1.996011667E-1,9.377998352E-1,-5.207670593E0,1.286335052E1,1.390917281E1
2.095341667E-1,1.880090332E-1,-5.298980713E0,1.310659470E1,1.413850659E1
2.194671667E-1,-1.385818176E0,-5.096302185E0,1.175625275E1,1.288806683E1
2.294011667E-1,-3.508104858E0,-4.604874115E0,1.048629364E1,1.197806410E1
2.393341667E-1,-4.580923920E0,-4.406087494E0,9.817783813E0,1.169561242E1
2.492671667E-1,-4.116739197E0,-4.860841827E0,9.430838470E0,1.138051137E1
2.592011667E-1,-3.505410461E0,-5.584886169E0,9.135203247E0,1.126635675E1
2.691341667E-1,-3.930376740E0,-5.930367737E0,8.689729614E0,1.123069560E1
2.790671667E-1,-5.228028259E0,-6.041436768E0,8.694220276E0,1.180765446E1
2.890011667E-1,-6.111790466E0,-6.193221130E0,9.260642395E0,1.270706371E1
2.989341667E-1,-6.999594269E0,-6.276448059E0,9.857900391E0,1.362227295E1
3.088671667E-1,-6.844816132E0,-6.005960541E0,1.003932312E1,1.355400600E1
3.188011667E-1,-6.337221680E0,-5.279371490E0,1.035576508E1,1.323910919E1
3.287341667E-1,-5.879024506E0,-4.870571594E0,1.095556778E1,1.335327159E1
3.386671667E-1,-5.539979553E0,-4.883744202E0,1.192884384E1,1.402995532E1
3.486011667E-1,-5.552553406E0,-4.380041656E0,1.212403793E1,1.403595063E1
3.585341667E-1,-5.595663757E0,-3.809577942E0,1.254990234E1,1.425918602E1
3.684671667E-1,-5.374274139E0,-3.384911041E0,1.334310287E1,1.477764662E1
3.784011667E-1,-5.514532471E0,-2.630928955E0,1.377390701E1,1.506825703E1
3.883341667E-1,-5.851032715E0,-1.971250763E0,1.407657761E1,1.537109139E1
3.982671667E-1,-6.193221130E0,-1.337618408E0,1.431637894E1,1.565579499E1
4.082011667E-1,-6.146218872E0,-9.475296021E-1,1.432790497E1,1.561930471E1
4.181341667E-1,-5.647755432E0,-1.063388672E0,1.392988266E1,1.506882769E1
4.280671667E-1,-5.203030243E0,-1.426533508E0,1.359113708E1,1.462277432E1
4.380011667E-1,-3.904929657E0,-1.707648926E0,1.424018738E1,1.486430210E1
4.479341667E-1,-3.976630554E0,-1.665885773E0,1.315853668E1,1.384687162E1
4.578671667E-1,-4.246219940E0,-9.409432983E-1,1.202479431E1,1.278715904E1
4.678011667E-1,-4.335733795E0,-6.319857788E-1,1.154489227E1,1.234838172E1
4.777341667E-1,-3.310366058E0,-1.341061249E0,1.184187469E1,1.236878996E1
4.876671667E-1,-7.107220459E-1,-2.245330811E0,1.291708878E1,1.313003499E1
4.976011667E-1,-1.393152924E0,-1.702709198E0,1.368963226E1,1.386528489E1
5.075341667E-1,-3.497177582E0,-1.511706390E0,1.294612839E1,1.349510087E1
5.174671667E-1,-6.123166809E0,-2.347268829E0,1.251532425E1,1.412926692E1
5.274011667E-1,-5.472469940E0,-3.158731384E0,9.722432098E0,1.159530927E1
5.373341667E-1,-4.060905304E0,-4.634063416E0,6.636000366E0,9.055495375E0
5.472671667E-1,-5.366340637E0,-5.567522278E0,4.967270508E0,9.190685091E0
5.572011667E-1,-6.104904785E0,-5.236859894E0,4.727319489E0,9.329636302E0
5.671341667E-1,-5.253175964E0,-4.897066498E0,4.174818420E0,8.306998666E0
5.770671667E-1,-3.633993073E0,-4.461771698E0,3.740421753E0,6.863240286E0
5.870011667E-1,-3.680546265E0,-4.575535126E0,3.881727905E0,7.039158616E0
5.969341667E-1,-4.950655060E0,-5.610033875E0,1.907932434E0,7.721507092E0
6.068671667E-1,-7.092550964E0,-6.444997559E0,2.183958435E-1,9.585925592E0
6.168011667E-1,-7.907156982E0,-5.617069244E0,-3.239263916E-1,9.704613684E0
6.267341667E-1,-6.530918884E0,-4.812342682E0,1.873204651E0,8.325889696E0
6.366671667E-1,-3.070415039E0,-4.271367645E0,4.604125671E0,6.990708353E0
6.466011667E-1,-3.379073181E0,-5.961952057E0,4.859195251E0,8.400880096E0
6.565341667E-1,-2.107467499E0,-2.496358795E0,6.472839661E0,7.250577892E0
6.664671667E-1,-2.489173737E0,-2.660866699E0,4.924758911E0,6.126128289E0
6.764011667E-1,-3.933669891E0,-4.514013062E0,3.635190582E0,7.004618712E0
6.863341667E-1,-4.595593414E0,-6.345753937E0,4.599934387E0,9.085563726E0
6.962671667E-1,-6.705006866E0,-8.445138245E0,4.770130463E0,1.179116710E1
7.062001667E-1,-9.523046722E0,-9.909542999E0,4.195325775E0,1.436969797E1
7.161341667E-1,-1.124805954E1,-1.050964508E1,6.079757080E0,1.655097971E1
7.260671667E-1,-1.102173019E1,-8.943601685E0,6.498436432E0,1.561077268E1
7.360001667E-1,-8.182733917E0,-6.235283661E0,6.763535156E0,1.231183595E1
7.459341667E-1,-4.928950195E0,-4.310885468E0,6.738686829E0,9.396179208E0
7.558671667E-1,-4.009861450E0,-3.542982330E0,6.389163666E0,8.333854150E0
7.658001667E-1,-3.685336304E0,-2.924618225E0,5.573060760E0,7.293428664E0
7.757341667E-1,-2.933749237E0,-2.765499115E0,5.266498260E0,6.632561637E0
7.856671667E-1,-2.968926086E0,-2.474803619E0,4.869224396E0,6.216793488E0
7.956001667E-1,-1.398242340E0,-1.527423706E0,3.990252228E0,4.495577567E0
8.055341667E-1,-1.977687378E0,-1.947749634E0,5.381608887E0,6.055302652E0
8.154671667E-1,-3.774401093E0,-2.878963165E0,4.401746521E0,6.473785983E0
8.254001667E-1,-4.606221313E0,-3.473377075E0,3.741619263E0,6.876142654E0
8.353341667E-1,-5.494474182E0,-4.254153442E0,3.921545105E0,7.979071629E0
8.452671667E-1,-4.947810974E0,-5.261708221E0,4.792134705E0,8.667811827E0
8.552001667E-1,-4.478536835E0,-8.098608856E0,7.904612274E0,1.217077043E1
8.651341667E-1,-8.096064148E0,-1.209948898E1,8.012837219E0,1.661774499E1
8.750671667E-1,-1.415815796E1,-1.332394272E1,3.312012634E0,1.972182329E1
8.850001667E-1,-1.782702850E1,-1.267818558E1,1.522783356E0,2.192847929E1
8.949341667E-1,-1.857607086E1,-1.341345657E1,1.321601715E0,2.295077029E1
9.048671667E-1,-1.611533798E1,-1.346135696E1,1.077309723E0,2.102552843E1
9.148001667E-1,-1.299822006E1,-1.247490829E1,1.602866821E0,1.808718452E1
9.247341667E-1,-1.125883713E1,-1.150253036E1,2.697989502E0,1.632019502E1
9.346671667E-1,-1.055679703E1,-1.079450272E1,2.917582855E0,1.537789134E1
9.446001667E-1,-1.090856552E1,-1.100152222E1,3.257825317E0,1.583173138E1
9.545341667E-1,-1.127350662E1,-1.063598236E1,3.639681244E0,1.592053240E1
9.644671667E-1,-9.223070526E0,-7.915838928E0,3.297343140E0,1.259357009E1
9.744001667E-1,-7.706873474E0,-4.031865692E0,4.351750488E0,9.725717044E0
9.843341667E-1,-3.359913025E0,-1.219963074E-1,5.804928589E0,6.708285515E0
9.942671667E-1,6.512956238E-1,2.495760040E0,6.591093750E0,7.077818943E0
1.004200167E0,3.591930542E0,3.699556732E0,5.124144287E0,7.269493772E0
1.014134167E0,2.954705658E0,1.488504639E0,3.637136536E0,4.916776766E0
1.024066583E0,2.673739929E0,-1.116228790E0,2.272125092E0,3.682038071E0
1.033999583E0,2.712509308E0,-2.353256378E0,1.464105377E0,3.878031315E0
1.043933583E0,8.937913513E-1,-1.853894806E0,1.527573395E0,2.563058604E0
1.053866583E0,4.644841003E-1,-1.969454498E0,1.481918335E0,2.508102560E0
1.063799583E0,4.983137512E-1,-1.971699829E0,1.821112976E0,2.729902797E0
1.073733583E0,3.806584167E-1,-1.490600281E0,2.127076721E0,2.625118170E0
1.083666583E0,1.106199646E-1,-1.918410645E0,2.368973694E0,3.050339742E0
1.093599583E0,1.553469543E0,-4.465214539E0,4.269571381E0,6.370294206E0
1.103533583E0,8.527766418E-1,-1.087234085E1,9.622889099E0,1.454424347E1
1.113466583E0,-4.690346375E0,-1.543664932E1,6.456074524E0,1.737729523E1
1.123399583E0,-7.118596802E0,-1.760548920E1,3.528163147E-1,1.899347650E1
1.133333583E0,-5.359754333E0,-1.903651337E1,-1.218466187E0,1.981414817E1
1.143266583E0,-5.293142853E0,-1.867980515E1,2.248025208E0,1.954497631E1
1.153199583E0,-1.068957092E1,-1.529878601E1,6.096522217E0,1.963383210E1
1.163133583E0,-1.478340775E1,-1.155073013E1,6.400689697E0,1.982264714E1
1.173066583E0,-1.390323807E1,-1.203871536E1,4.863985291E0,1.902338165E1
1.182999583E0,-1.409693527E1,-1.346929047E1,3.887565765E0,1.988111006E1
1.192933583E0,-1.002016296E1,-1.236997650E1,4.329746246E0,1.649747517E1
1.202866583E0,-6.949149170E0,-1.060394897E1,1.889071655E0,1.281807317E1
1.212799583E0,-7.314090271E0,-8.885522461E0,1.673519897E-1,1.150984068E1
1.222733583E0,-8.119265900E0,-7.981552277E0,1.069675598E0,1.143555252E1
1.232666583E0,-9.776619415E0,-7.645501099E0,2.660267944E0,1.269302957E1
1.242599583E0,-1.084869003E1,-7.977211304E0,3.831881561E0,1.400047470E1
1.252533583E0,-1.123997635E1,-7.658524017E0,4.154161377E0,1.422136123E1
1.262466583E0,-1.112396759E1,-6.950646057E0,4.346960449E0,1.381847317E1
1.272399583E0,-1.088371719E1,-6.350693665E0,3.911665649E0,1.319423124E1
1.282333583E0,-1.045021866E1,-6.056555328E0,3.303330688E0,1.252201765E1
1.292266583E0,-1.065843567E1,-6.647526398E0,3.433260498E0,1.302225540E1
1.302199583E0,-7.306156769E0,-9.888137512E0,2.880909119E0,1.262754242E1
1.312133583E0,-2.329904938E0,-1.055110886E1,2.433190155E0,1.107586428E1
1.322066583E0,9.276210022E-1,-1.128787674E1,3.134481812E0,1.175166449E1
1.331999583E0,5.078339539E0,-1.077908478E1,9.943821716E-1,1.195688074E1
1.341933583E0,7.824379120E0,-8.807235260E0,-7.460485840E-1,1.180444366E1
1.351866583E0,9.174122314E0,-7.633975067E0,-1.293160858E0,1.200476408E1
1.361799583E0,7.843838654E0,-8.311765594E0,-5.604345703E-1,1.144226110E1
1.371733583E0,5.354066162E0,-8.545729065E0,1.707499237E0,1.022795499E1
1.381666583E0,2.513722687E0,-9.091494141E0,3.551364899E0,1.007900095E1
1.391599583E0,-1.251397705E-1,-9.101822662E0,4.079317017E0,9.974951782E0
1.401533583E0,-2.048939209E0,-7.913443909E0,3.812571716E0,9.019781010E0
1.411466583E0,-5.013973389E0,-6.756499786E0,4.507875824E0,9.545216758E0
1.421399583E0,-6.686744843E0,-7.205116882E0,2.912343750E0,1.025221986E1
1.431333583E0,-4.962929535E0,-6.987619171E0,6.580316162E-1,8.595958170E0
1.441266583E0,-3.112776947E0,-5.020410004E0,5.119354248E-2,5.907327459E0
1.451199583E0,-3.144361267E0,-3.073857880E0,1.324595490E0,4.592402776E0
1.461133583E0,-2.931952972E0,-2.577340393E0,3.320395203E0,5.124846928E0
1.471066583E0,-2.989732819E0,-4.627926178E0,7.269483032E0,9.121490371E0
1.480999583E0,-5.860014038E0,-8.870852966E0,8.994944916E0,1.392626407E1
1.490933583E0,-9.558972015E0,-1.478909592E1,9.501341858E0,2.000916793E1
1.500866583E0,-7.113806763E0,-1.966939728E1,8.825946350E0,2.270217533E1
1.510799583E0,-7.319928131E0,-1.960443237E1,1.003153931E1,2.320661322E1
1.520733583E0,-7.424859924E0,-1.708277618E1,1.007494904E1,2.117674161E1
1.530666583E0,-5.287304993E0,-1.218256622E1,8.812773743E0,1.593849099E1
1.540599583E0,-2.714754639E0,-8.394094391E0,6.743027802E0,1.110401447E1
1.550532583E0,-1.594334564E0,-7.321574707E0,5.243595886E0,9.145635938E0
1.560466583E0,-2.708767090E0,-7.951165466E0,2.355052643E0,8.723802174E0
1.570399583E0,-2.827919312E0,-1.031909134E1,-2.779569855E0,1.105471765E1
1.580332583E0,-3.263214111E-1,-1.082249451E1,-5.866899719E0,1.231476290E1
1.590266583E0,1.219514008E0,-8.636440430E0,-5.601351929E0,1.036583143E1
1.600199583E0,3.836372223E0,-7.820936279E0,-5.902825012E0,1.052274390E1
1.610132583E0,4.523742828E0,-1.053913376E1,-3.931574249E0,1.212414391E1
1.620066583E0,1.748513947E0,-1.367945343E1,6.554869080E-1,1.380631777E1
1.629999583E0,-1.568139038E0,-1.257340347E1,3.997736664E0,1.328651321E1
1.639932583E0,-6.446195068E0,-9.692644043E0,7.613617401E0,1.390927566E1
1.649866583E0,-8.289461975E0,-9.235794067E0,5.508544922E0,1.357789155E1
1.659799583E0,-8.494984589E0,-1.071217392E1,2.949017487E0,1.398614090E1
1.669732583E0,-7.658224640E0,-1.194426178E1,1.036145325E0,1.422629225E1
1.679666583E0,-1.820214844E0,-1.182870209E1,-2.667303314E0,1.226156116E1
1.689599583E0,-3.052452393E0,-1.183139648E1,-6.831044769E0,1.399866354E1
1.699532583E0,7.590715027E-1,-1.046698380E1,-7.017107849E0,1.262433134E1
1.709466583E0,1.695973206E0,-9.729617157E0,-2.963537292E0,1.031136889E1
1.719399583E0,2.687511292E0,-9.024283905E0,-6.864724731E-1,9.440956593E0
1.729332583E0,3.015030212E0,-7.714956665E0,6.119274902E-1,8.305746130E0
1.739266583E0,3.473377075E0,-6.264023895E0,2.633773041E0,7.631454914E0
1.749199583E0,4.164340210E0,-5.264552307E0,4.293521576E0,7.968159631E0
1.759132583E0,4.352648621E0,-5.528154144E0,4.345912628E0,8.270005733E0
1.769066583E0,4.289180603E0,-6.629863129E0,4.660857697E0,9.169282950E0
1.778999583E0,3.985162811E0,-7.475754089E0,5.174140320E0,9.926739137E0
1.788932583E0,3.817960510E0,-8.135282593E0,5.866899719E0,1.073220190E1
1.798866583E0,3.728746033E0,-9.868079224E0,6.422693939E0,1.235044663E1
1.808799583E0,3.018772430E0,-1.150028503E1,7.247628479E0,1.392471405E1
1.818732583E0,1.224902802E0,-1.214155151E1,7.694598999E0,1.442652119E1
1.828666583E0,-1.636097717E-1,-1.242356506E1,6.967860260E0,1.424509788E1
1.838599583E0,-1.584604797E0,-1.297456924E1,6.402036896E0,1.455460394E1
1.848532583E0,-3.134930878E0,-1.366882553E1,5.735173645E0,1.515113196E1
1.858466583E0,-4.195625153E0,-1.396401169E1,4.977898407E0,1.540702325E1
1.868399583E0,-4.254901886E0,-1.312725174E1,3.689677277E0,1.428434971E1
1.878332583E0,-2.224673767E0,-1.199814972E1,1.834584961E0,1.233979222E1
1.888266583E0,-7.834707642E-1,-1.111753098E1,8.159532166E-1,1.117493182E1
1.898199583E0,-3.805087280E-1,-1.100271973E1,1.142424316E0,1.106841279E1
1.908132583E0,-3.029699707E-1,-1.106753494E1,1.440454559E0,1.116499126E1
1.918066583E0,-5.054988098E-1,-1.073836945E1,1.371448059E0,1.083738793E1
1.927999583E0,-9.187893677E-1,-1.009111542E1,1.204096069E0,1.020414777E1
1.937932583E0,-1.368603973E0,-9.370064850E0,1.017733612E0,9.524020886E0
1.947866583E0,-1.864971771E0,-9.069639587E0,8.256829834E-1,9.296140831E0
1.957799583E0,-2.384391632E0,-8.638835449E0,6.833290100E-1,8.987866260E0
1.967732583E0,-2.864593048E0,-8.174351349E0,6.658154297E-1,8.687302429E0
1.977666583E0,-3.133134613E0,-7.805218964E0,9.994715881E-1,8.469764993E0
1.987599583E0,-3.515140228E0,-7.611970825E0,1.067879333E0,8.452140376E0
1.997532583E0,-4.462669830E0,-7.688012695E0,6.135740662E-1,8.910523798E0
2.007466583E0,-4.514462128E0,-7.533533936E0,1.487456818E0,8.907694968E0
2.017399583E0,-4.176015930E0,-8.091723175E0,2.134710846E0,9.352651142E0
2.027332667E0,-3.327131195E0,-8.339158630E0,3.019520874E0,9.472532658E0
2.037265667E0,-2.458936615E0,-9.196725311E0,4.289929047E0,1.044172481E1
2.047199667E0,-2.906655579E0,-1.021206390E1,4.480632477E0,1.152436390E1
2.057132667E0,-3.116668854E0,-9.971813507E0,4.531526642E0,1.138795078E1
2.067065667E0,-2.104623413E0,-8.740923157E0,4.709955597E0,1.014972212E1
2.076999667E0,-4.255650330E-1,-8.646469574E0,5.025349731E0,1.000982925E1
2.086932667E0,1.042432251E0,-8.886869659E0,5.231171722E0,1.036476121E1
2.096865667E0,9.363029480E-1,-9.368867340E0,4.788392487E0,1.056319275E1
2.106799667E0,3.674858093E-1,-9.964778137E0,4.429588623E0,1.091114588E1
2.116732667E0,-4.008663940E-1,-1.017509079E1,4.147425385E0,1.099519458E1
2.126665667E0,-9.014254761E-1,-1.025337799E1,3.700903931E0,1.093805367E1
2.136599667E0,-1.238225098E0,-9.942175140E0,3.259022827E0,1.053571439E1
2.146532667E0,-1.430425415E0,-9.384135590E0,2.853665771E0,9.912190775E0
2.156465667E0,-1.389111328E0,-9.249116364E0,2.401306458E0,9.656192650E0
2.166399667E0,-1.260379028E0,-9.729317780E0,2.122136993E0,1.003751190E1
2.176332667E0,-1.103804626E0,-9.862391052E0,2.276615753E0,1.018175433E1
2.186265667E0,-2.787203979E-1,-9.345515900E0,2.348765717E0,9.640179090E0
2.196199667E0,-2.417472839E-1,-8.988957367E0,2.446362762E0,9.319038956E0
2.206132667E0,-9.746232605E-1,-9.329648895E0,2.611768799E0,9.737226261E0
2.216065667E0,-1.491797791E0,-9.092242584E0,2.819237366E0,9.635477943E0
2.225999667E0,-1.868264923E0,-9.706415405E0,3.274889832E0,1.041296390E1
2.235932667E0,-1.488804016E0,-9.710606689E0,3.537743225E0,1.044164962E1
2.245865667E0,-8.640032959E-1,-9.620943146E0,3.550167389E0,1.029139141E1
2.255799667E0,-4.269122314E-1,-8.738977203E0,3.274740143E0,9.342157118E0
2.265732667E0,4.195774841E-1,-7.872728577E0,3.038830719E0,8.449283558E0
2.275665667E0,9.072633362E-1,-6.817572784E0,2.928959198E0,7.475374734E0
2.285599667E0,1.101259918E0,-6.495143280E0,3.251239014E0,7.346442320E0
2.295532667E0,6.586303711E-2,-7.363936615E0,3.593277740E0,8.194116507E0
2.305465667E0,-8.343649292E-1,-8.660690002E0,4.241130524E0,9.679406194E0
2.315399667E0,-1.430874481E0,-8.829838257E0,4.753964081E0,1.012983810E1
2.325332667E0,-1.348994751E0,-8.809929657E0,4.999004517E0,1.021884013E1
2.335265667E0,-1.683249664E0,-8.112380219E0,4.021537170E0,9.209603871E0
2.345199667E0,-3.117716675E0,-7.906109161E0,3.344644775E0,9.133091919E0
2.355132667E0,-2.052531738E0,-7.626790009E0,2.879112854E0,8.406551207E0
2.365065667E0,-9.379495239E-1,-8.015531616E0,3.175197144E0,8.672391441E0
2.374999667E0,-9.357041931E-1,-8.492439880E0,3.247197418E0,9.140096746E0
2.384932667E0,-1.374741211E0,-9.415270844E0,3.247047729E0,1.005388270E1
2.394865667E0,-2.834206238E0,-1.026430527E1,3.428620148E0,1.118678344E1
2.404799667E0,-3.514242096E0,-1.038570282E1,3.144361267E0,1.140612679E1
2.414732667E0,-4.326602783E0,-1.020877075E1,2.885399780E0,1.145705127E1
